2017.11.03_23:50:50,45.22,56.25,69.09,8.73,10.74,13.74,23.21,4.62,985.75,51.52,67.76,82.64,18.47,20.38,23.53,24.33,73.09,993.00,80.63,N; Tset = 18.20; Ttrue = 0018.6; T1 = 23.40; RH1 = 78.47; T2 = 24.21; RH2 = 82.37
2017.11.03_23:51:50,48.66,60.44,73.34,7.95,9.43,13.10,24.01,4.80,1019.77,46.12,60.20,73.28,9.00,15.05,14.63,25.16,59.85,1027.25,57.11,N; Tset = 18.20; Ttrue = 0019.0; T1 = 24.13; RH1 = 58.05; T2 = 24.99; RH2 = 60.23
2017.11.03_23:52:50,45.70,61.49,74.51,8.44,9.42,12.50,24.01,4.80,1019.78,51.55,60.53,73.46,8.17,13.69,15.65,25.15,54.53,1027.27,52.02,N; Tset = 18.20; Ttrue = 0019.1; T1 = 24.10; RH1 = 54.68; T2 = 25.00; RH2 = 53.14
2017.11.03_23:53:50,47.46,61.23,77.72,8.96,9.18,13.42,24.00,4.80,1019.79,51.67,60.91,77.54,8.20,12.21,14.64,25.13,52.14,1027.27,50.35,N; Tset = 18.20; Ttrue = 0019.3; T1 = 24.06; RH1 = 53.04; T2 = 25.02; RH2 = 51.34
2017.11.03_23:54:52,47.67,63.66,76.96,9.70,9.96,13.52,24.01,4.79,1019.77,50.78,62.76,77.83,10.31,12.83,15.45,25.13,50.68,1027.25,49.52,N; Tset = 18.40; Ttrue = 0018.5; T1 = 24.01; RH1 = 52.24; T2 = 25.02; RH2 = 50.50
2017.11.03_23:55:56,50.16,66.13,79.89,8.93,10.47,14.09,24.00,4.77,1019.73,52.23,66.53,78.62,9.61,13.84,15.15,25.13,48.76,1027.24,47.72,N; Tset = 18.80; Ttrue = 0018.3; T1 = 23.97; RH1 = 50.28; T2 = 25.03; RH2 = 48.86
2017.11.03_23:57:02,51.15,68.50,82.00,9.64,10.04,14.42,23.99,4.77,1019.73,56.04,65.29,78.79,10.05,14.30,16.18,25.13,47.12,1027.22,46.44,N; Tset = 19.40; Ttrue = 0019.4; T1 = 23.90; RH1 = 49.41; T2 = 25.02; RH2 = 47.28
2017.11.03_23:58:08,51.47,65.81,83.21,11.09,12.27,14.21,23.99,4.78,1019.75,55.97,67.47,83.28,9.37,15.73,15.60,25.13,47.13,1027.22,47.61,N; Tset = 20.00; Ttrue = 0019.9; T1 = 23.85; RH1 = 51.25; T2 = 25.02; RH2 = 48.10
2017.11.03_23:59:12,50.17,67.61,83.13,10.12,11.17,13.82,23.99,4.79,1019.77,56.18,68.43,81.02,9.22,14.57,17.07,25.13,47.60,1027.22,48.96,N; Tset = 20.40; Ttrue = 0020.2; T1 = 23.81; RH1 = 52.87; T2 = 25.01; RH2 = 49.43
2017.11.04_00:00:18,55.44,68.54,85.18,11.22,11.35,14.42,23.99,4.81,1019.75,57.53,69.74,83.53,9.76,13.46,17.26,25.13,47.86,1027.24,49.77,N; Tset = 21.00; Ttrue = 0020.8; T1 = 23.75; RH1 = 54.02; T2 = 25.00; RH2 = 50.19
2017.11.04_00:01:22,51.04,67.63,81.79,10.08,11.84,14.63,23.99,4.86,1019.77,55.64,66.58,81.30,9.04,13.90,16.82,25.11,48.49,1027.23,51.12,N; Tset = 21.40; Ttrue = 0021.3; T1 = 23.70; RH1 = 55.72; T2 = 25.00; RH2 = 51.40
2017.11.04_00:02:28,48.77,64.45,77.16,8.77,10.90,12.72,23.99,4.90,1019.77,49.95,63.80,78.39,8.24,13.25,14.85,25.11,49.23,1027.24,52.40,N; Tset = 22.00; Ttrue = 0021.7; T1 = 23.66; RH1 = 57.29; T2 = 24.99; RH2 = 52.68
2017.11.04_00:03:32,48.46,63.16,76.95,8.75,9.56,13.31,23.99,4.91,1019.77,54.05,64.30,78.25,8.24,12.35,15.96,25.11,49.91,1027.24,53.48,N; Tset = 22.40; Ttrue = 0022.2; T1 = 23.61; RH1 = 58.68; T2 = 24.98; RH2 = 53.76
2017.11.04_00:04:36,52.53,66.31,77.70,10.76,10.25,13.72,23.99,4.94,1019.75,52.99,69.26,82.64,9.03,13.73,15.64,25.11,50.74,1027.24,54.80,N; Tset = 22.80; Ttrue = 0022.7; T1 = 23.57; RH1 = 60.32; T2 = 24.98; RH2 = 55.02
2017.11.04_00:05:40,48.83,67.43,78.08,10.11,10.43,14.94,23.99,5.01,1019.80,55.87,65.57,81.66,9.45,13.63,15.56,25.11,51.65,1027.25,56.14,N; Tset = 23.20; Ttrue = 0023.1; T1 = 23.54; RH1 = 61.91; T2 = 24.97; RH2 = 56.36
2017.11.04_00:06:44,46.75,64.48,81.40,9.97,10.34,13.51,23.98,5.06,1019.81,54.95,70.44,83.35,9.91,16.20,16.22,25.09,52.52,1027.26,57.37,N; Tset = 23.60; Ttrue = 0023.5; T1 = 23.50; RH1 = 63.36; T2 = 24.97; RH2 = 57.57
