2017.11.17_05:21:01,134.89,190.18,242.32,28.49,31.33,35.28,22.04,4.35,971.95,179.31,234.18,294.62,30.73,35.35,40.62,23.14,60.35,979.17,72.38,N; Tset = 10.00; Ttrue = 017.6; T1 = 23.83; RH1 = 64.18; T2 = 23.54; RH2 = 71.14
2017.11.17_05:22:01,143.38,197.51,255.75,28.78,31.96,37.39,22.80,4.48,1005.48,160.55,211.17,265.44,30.89,33.86,39.84,23.94,53.07,1012.96,58.40,N; Tset = 10.00; Ttrue = 017.7; T1 = 24.63; RH1 = 54.57; T2 = 24.33; RH2 = 58.52
2017.11.17_05:23:09,139.00,199.65,252.00,29.74,32.71,36.69,22.80,4.44,1005.47,161.38,215.73,259.63,31.18,35.70,38.20,23.94,50.49,1012.96,55.90,N; Tset = 10.80; Ttrue = 017.9; T1 = 24.61; RH1 = 53.30; T2 = 24.33; RH2 = 55.03
2017.11.17_05:24:21,139.51,196.87,249.45,29.07,30.40,37.17,22.82,4.41,1005.47,163.03,211.99,260.61,28.63,33.37,36.58,23.94,49.40,1013.00,55.40,N; Tset = 12.00; Ttrue = 018.0; T1 = 24.60; RH1 = 53.17; T2 = 24.32; RH2 = 54.25
2017.11.17_05:25:31,144.78,199.82,253.48,30.20,31.61,37.73,22.82,4.38,1005.51,158.81,215.42,268.51,31.98,34.06,38.74,23.94,48.92,1013.01,55.44,N; Tset = 13.00; Ttrue = 017.9; T1 = 24.59; RH1 = 53.38; T2 = 24.32; RH2 = 54.13
2017.11.17_05:26:41,142.32,196.29,255.63,29.81,31.53,37.96,22.82,4.37,1005.49,164.05,213.06,268.12,31.16,33.87,38.57,23.94,48.39,1013.00,55.08,N; Tset = 14.00; Ttrue = 016.9; T1 = 24.58; RH1 = 52.93; T2 = 24.33; RH2 = 53.89
2017.11.17_05:27:51,141.81,200.05,254.14,30.94,32.01,37.10,22.82,4.36,1005.45,156.12,210.54,255.16,29.03,34.11,38.49,23.94,46.80,1012.96,52.94,N; Tset = 15.00; Ttrue = 016.1; T1 = 24.57; RH1 = 50.73; T2 = 24.32; RH2 = 52.01
2017.11.17_05:29:01,140.81,201.99,252.08,28.45,33.16,38.16,22.82,4.35,1005.47,159.07,208.25,257.02,29.61,32.77,37.95,23.96,45.19,1013.00,50.87,N; Tset = 16.00; Ttrue = 015.5; T1 = 24.55; RH1 = 48.89; T2 = 24.32; RH2 = 50.01
2017.11.17_05:30:11,142.49,199.09,253.38,29.16,32.59,36.76,22.83,4.33,1005.49,166.95,207.82,257.41,30.53,33.81,38.74,23.96,43.79,1013.02,49.29,N; Tset = 17.00; Ttrue = 016.5; T1 = 24.53; RH1 = 47.50; T2 = 24.32; RH2 = 48.37
2017.11.17_05:31:21,142.91,197.96,256.64,28.82,30.88,36.94,22.84,4.33,1005.51,157.84,210.56,254.04,29.63,33.48,39.24,23.96,43.70,1013.06,49.98,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.51; RH1 = 48.73; T2 = 24.33; RH2 = 48.50
2017.11.17_05:32:29,139.61,194.75,243.28,28.87,31.04,36.70,22.85,4.32,1005.55,163.12,211.25,258.70,35.79,34.69,38.17,23.96,45.32,1013.07,52.88,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.50; RH1 = 51.86; T2 = 24.33; RH2 = 51.05
