2017.11.04_02:58:40,23.06,31.72,35.12,4.17,5.12,7.41,22.33,5.19,984.96,29.04,35.58,43.85,15.28,16.59,18.28,23.47,73.47,992.08,81.65,N; Tset = 17.40; Ttrue = 0018.2; T1 = 22.56; RH1 = 79.71; T2 = 23.35; RH2 = 83.13
2017.11.04_02:59:40,25.36,31.79,36.36,3.72,4.49,6.52,23.09,5.33,1018.91,22.56,29.60,35.36,4.17,7.17,9.30,24.28,61.03,1026.28,58.71,N; Tset = 17.40; Ttrue = 0018.6; T1 = 23.27; RH1 = 59.57; T2 = 24.11; RH2 = 62.02
2017.11.04_03:00:40,22.98,29.89,36.80,5.06,5.13,7.17,23.09,5.26,1018.91,26.21,28.53,40.23,3.99,7.74,8.97,24.26,55.65,1026.27,53.44,N; Tset = 17.40; Ttrue = 0018.7; T1 = 23.23; RH1 = 56.18; T2 = 24.12; RH2 = 54.53
2017.11.04_03:01:40,26.17,32.22,38.12,4.29,5.06,6.87,23.09,5.25,1018.91,28.10,30.17,40.98,4.63,8.44,8.96,24.26,53.29,1026.25,51.68,N; Tset = 17.40; Ttrue = 0018.8; T1 = 23.20; RH1 = 54.54; T2 = 24.12; RH2 = 52.64
2017.11.04_03:02:40,28.21,32.65,40.21,4.03,4.12,7.72,23.09,5.30,1018.91,25.20,32.28,40.13,6.09,9.80,9.26,24.24,51.83,1026.23,50.82,N; Tset = 17.40; Ttrue = 0018.0; T1 = 23.17; RH1 = 53.61; T2 = 24.11; RH2 = 51.79
2017.11.04_03:03:46,24.59,35.97,38.31,5.67,4.03,7.03,23.09,5.35,1018.90,25.75,30.99,41.81,4.52,8.46,9.44,24.24,49.89,1026.23,48.89,N; Tset = 18.00; Ttrue = 0017.5; T1 = 23.11; RH1 = 51.53; T2 = 24.11; RH2 = 50.05
2017.11.04_03:04:52,25.18,30.94,37.46,6.09,5.16,7.61,23.09,5.34,1018.89,29.26,34.24,38.98,4.38,7.52,9.31,24.24,47.95,1026.22,47.04,N; Tset = 18.60; Ttrue = 0018.3; T1 = 23.04; RH1 = 49.92; T2 = 24.10; RH2 = 48.07
2017.11.04_03:05:56,25.11,32.22,39.06,5.22,5.23,7.20,23.09,5.32,1018.87,25.02,33.93,40.46,4.74,8.33,10.29,24.24,47.44,1026.20,47.47,N; Tset = 19.00; Ttrue = 0019.0; T1 = 22.98; RH1 = 51.04; T2 = 24.09; RH2 = 48.07
2017.11.04_03:07:02,26.00,34.90,40.36,4.97,4.54,7.45,23.08,5.35,1018.88,27.02,33.76,41.09,4.96,8.04,11.07,24.22,47.92,1026.20,49.03,N; Tset = 19.60; Ttrue = 0019.3; T1 = 22.92; RH1 = 52.97; T2 = 24.09; RH2 = 49.49
2017.11.04_03:08:06,24.52,32.76,38.93,4.67,4.58,7.36,23.07,5.34,1018.88,25.17,32.69,40.61,4.62,8.12,10.03,24.22,48.15,1026.21,49.80,N; Tset = 20.00; Ttrue = 0019.8; T1 = 22.86; RH1 = 54.01; T2 = 24.08; RH2 = 50.27
2017.11.04_03:09:10,26.04,34.12,40.56,4.60,6.63,7.26,23.07,5.38,1018.86,29.74,34.73,43.42,5.17,9.12,10.48,24.22,48.64,1026.19,50.95,N; Tset = 20.40; Ttrue = 0020.3; T1 = 22.81; RH1 = 55.59; T2 = 24.07; RH2 = 51.30
2017.11.04_03:10:16,25.15,32.45,39.50,5.30,5.17,8.05,23.07,5.43,1018.83,29.27,38.55,41.62,4.75,8.63,10.24,24.22,49.37,1026.16,52.29,N; Tset = 21.00; Ttrue = 0020.7; T1 = 22.76; RH1 = 57.24; T2 = 24.07; RH2 = 52.63
2017.11.04_03:11:20,26.11,32.35,39.73,5.64,5.13,7.21,23.06,5.46,1018.79,26.40,34.01,42.81,4.75,8.23,9.67,24.21,50.01,1026.14,53.43,N; Tset = 21.40; Ttrue = 0021.2; T1 = 22.72; RH1 = 58.62; T2 = 24.06; RH2 = 53.71
2017.11.04_03:12:24,25.72,33.87,40.08,4.63,5.20,7.89,23.05,5.47,1018.78,28.13,33.98,41.66,5.02,8.29,9.56,24.20,50.78,1026.11,54.64,N; Tset = 21.80; Ttrue = 0021.6; T1 = 22.67; RH1 = 60.15; T2 = 24.06; RH2 = 54.88
2017.11.04_03:13:28,27.49,34.85,41.64,5.49,5.28,7.41,23.05,5.55,1018.78,28.59,35.41,43.57,4.72,8.30,9.56,24.20,51.62,1026.10,55.88,N; Tset = 22.20; Ttrue = 0022.0; T1 = 22.63; RH1 = 61.69; T2 = 24.06; RH2 = 56.12
2017.11.04_03:14:32,28.54,32.66,40.27,6.59,5.72,8.10,23.04,5.61,1018.75,30.20,36.06,43.17,5.38,8.46,9.97,24.18,52.44,1026.08,57.09,N; Tset = 22.60; Ttrue = 0022.4; T1 = 22.59; RH1 = 63.12; T2 = 24.05; RH2 = 57.29
2017.11.04_03:15:36,29.72,33.93,41.51,5.27,5.17,7.65,23.03,5.61,1018.71,31.66,34.34,43.32,5.37,8.58,11.45,24.18,53.31,1026.06,58.32,N; Tset = 23.00; Ttrue = 0022.8; T1 = 22.56; RH1 = 64.58; T2 = 24.05; RH2 = 58.51
2017.11.04_03:16:40,29.34,35.03,42.50,4.80,4.27,7.60,23.03,5.62,1018.69,30.53,37.16,42.42,5.36,8.76,9.88,24.18,54.20,1026.02,59.50,N; Tset = 23.40; Ttrue = 0023.2; T1 = 22.53; RH1 = 66.00; T2 = 24.05; RH2 = 59.71
2017.11.04_03:17:44,27.38,34.57,41.54,6.61,4.27,7.72,23.02,5.64,1018.65,29.52,35.56,43.94,5.77,9.06,10.52,24.16,55.10,1026.00,60.74,N; Tset = 23.80; Ttrue = 0023.6; T1 = 22.50; RH1 = 67.41; T2 = 24.04; RH2 = 60.92
2017.11.04_03:18:46,26.85,33.07,41.97,7.56,4.70,7.92,23.01,5.68,1018.67,29.23,36.93,44.83,6.08,9.02,10.92,24.16,56.03,1025.99,61.92,N; Tset = 24.00; Ttrue = 0023.9; T1 = 22.48; RH1 = 68.79; T2 = 24.04; RH2 = 62.12
2017.11.04_03:19:50,26.44,35.32,41.26,5.07,5.84,11.26,22.99,5.72,1018.64,29.06,37.80,46.58,4.98,9.01,10.54,24.15,56.94,1025.97,63.10,N; Tset = 24.40; Ttrue = 0024.3; T1 = 22.47; RH1 = 70.13; T2 = 24.03; RH2 = 63.30
2017.11.04_03:20:54,27.85,35.81,42.21,5.12,5.04,8.24,22.99,5.73,1018.65,29.54,36.34,46.00,5.12,8.96,11.23,24.14,57.84,1025.96,64.27,N; Tset = 24.80; Ttrue = 0024.6; T1 = 22.46; RH1 = 71.40; T2 = 24.03; RH2 = 64.44
2017.11.04_03:21:56,25.71,33.90,42.85,5.33,5.02,7.71,22.99,5.78,1018.64,27.93,36.50,47.08,5.40,8.89,11.39,24.14,58.80,1025.96,65.49,N; Tset = 25.00; Ttrue = 0025.0; T1 = 22.45; RH1 = 72.79; T2 = 24.03; RH2 = 65.69
2017.11.04_03:23:00,25.13,33.51,42.15,5.15,4.96,7.06,22.97,5.81,1018.64,29.25,35.82,46.87,5.39,9.06,10.32,24.13,59.79,1025.95,66.73,N; Tset = 25.40; Ttrue = 0025.3; T1 = 22.45; RH1 = 74.10; T2 = 24.02; RH2 = 66.92
2017.11.04_03:24:04,25.96,33.38,40.94,4.87,5.88,7.66,22.97,5.81,1018.60,30.25,34.74,44.42,5.63,9.40,10.39,24.12,60.72,1025.93,67.87,N; Tset = 25.80; Ttrue = 0025.6; T1 = 22.45; RH1 = 75.29; T2 = 24.02; RH2 = 68.07
2017.11.04_03:25:06,27.08,35.43,41.56,4.87,5.04,7.84,22.95,5.89,1018.58,30.74,36.62,46.70,6.30,10.04,10.79,24.11,61.62,1025.93,68.98,N; Tset = 26.00; Ttrue = 0025.9; T1 = 22.45; RH1 = 76.47; T2 = 24.01; RH2 = 69.20
2017.11.04_03:26:10,27.97,35.65,43.43,5.43,5.22,7.96,22.94,5.97,1018.59,30.58,37.89,49.25,5.44,8.77,11.24,24.10,62.60,1025.92,70.20,N; Tset = 26.40; Ttrue = 0026.2; T1 = 22.46; RH1 = 77.74; T2 = 24.01; RH2 = 70.37
2017.11.04_03:27:12,27.19,35.25,42.89,4.52,4.93,8.26,22.94,6.01,1018.59,30.35,39.29,47.77,5.74,9.63,10.77,24.10,63.56,1025.91,71.36,N; Tset = 26.60; Ttrue = 0026.5; T1 = 22.47; RH1 = 78.93; T2 = 24.00; RH2 = 71.58
2017.11.04_03:28:16,25.91,32.78,40.36,5.21,4.66,7.62,22.92,6.00,1018.58,30.12,38.68,45.81,5.26,8.78,11.02,24.10,64.49,1025.91,72.43,N; Tset = 27.00; Ttrue = 0026.8; T1 = 22.49; RH1 = 80.03; T2 = 24.00; RH2 = 72.71
2017.11.04_03:29:18,27.46,35.55,42.20,5.41,5.17,8.44,22.91,5.96,1018.58,30.57,40.61,50.50,8.42,9.36,11.31,24.08,65.42,1025.89,73.61,N; Tset = 27.20; Ttrue = 0027.1; T1 = 22.51; RH1 = 81.12; T2 = 23.99; RH2 = 73.84
2017.11.04_03:30:22,26.32,36.05,42.50,5.46,4.96,8.04,22.90,5.94,1018.57,33.53,41.07,49.35,6.86,9.82,11.20,24.08,66.36,1025.88,74.72,N; Tset = 27.60; Ttrue = 0027.4; T1 = 22.53; RH1 = 82.24; T2 = 23.99; RH2 = 74.97
2017.11.04_03:31:24,26.32,35.97,42.28,4.80,4.79,8.06,22.90,5.94,1018.54,31.66,40.86,50.75,5.59,9.44,11.93,24.08,67.32,1025.87,75.85,N; Tset = 27.80; Ttrue = 0027.7; T1 = 22.56; RH1 = 83.31; T2 = 23.98; RH2 = 76.14
2017.11.04_03:32:26,25.68,35.79,41.55,4.76,5.67,8.54,22.90,5.98,1018.54,31.84,42.15,53.20,6.24,10.06,11.54,24.08,68.23,1025.86,76.92,N; Tset = 28.00; Ttrue = 0028.0; T1 = 22.58; RH1 = 84.34; T2 = 23.98; RH2 = 77.26
2017.11.04_03:33:30,26.64,34.92,42.38,5.42,5.24,8.32,22.90,5.99,1018.53,32.79,42.70,53.91,6.21,9.93,12.10,24.07,69.18,1025.85,78.06,N; Tset = 28.40; Ttrue = 0028.2; T1 = 22.61; RH1 = 85.37; T2 = 23.97; RH2 = 78.36
2017.11.04_03:34:32,28.24,35.46,42.14,5.01,4.88,7.99,22.88,5.97,1018.54,34.80,44.96,56.99,7.07,10.26,12.46,24.06,70.11,1025.86,79.20,N; Tset = 28.60; Ttrue = 0028.5; T1 = 22.64; RH1 = 86.40; T2 = 23.97; RH2 = 79.50
2017.11.04_03:35:34,27.76,37.25,44.73,5.42,5.27,8.01,22.88,5.98,1018.53,37.11,47.49,58.70,6.17,10.04,12.71,24.06,71.08,1025.86,80.35,N; Tset = 28.80; Ttrue = 0028.8; T1 = 22.67; RH1 = 87.45; T2 = 23.97; RH2 = 80.69
2017.11.04_03:36:38,28.58,38.21,43.25,5.73,4.71,8.50,22.88,6.02,1018.53,35.38,45.41,56.09,7.30,10.39,13.73,24.06,72.03,1025.85,81.46,N; Tset = 29.20; Ttrue = 0029.0; T1 = 22.71; RH1 = 88.46; T2 = 23.96; RH2 = 81.85
2017.11.04_03:37:40,27.10,35.12,43.19,5.05,5.90,8.03,22.87,6.05,1018.51,35.24,45.40,56.51,7.59,11.53,13.69,24.06,72.97,1025.85,82.54,N; Tset = 29.40; Ttrue = 0029.3; T1 = 22.74; RH1 = 89.44; T2 = 23.96; RH2 = 82.97
2017.11.04_03:38:42,27.67,34.35,43.89,5.96,5.44,7.24,22.86,6.07,1018.50,37.20,47.64,59.11,7.77,12.01,13.99,24.06,73.87,1025.83,83.58,N; Tset = 29.60; Ttrue = 0029.5; T1 = 22.78; RH1 = 90.31; T2 = 23.96; RH2 = 84.04
2017.11.04_03:39:44,25.92,36.03,44.43,6.43,7.58,7.68,22.86,6.06,1018.51,35.65,45.61,59.32,8.23,12.09,14.99,24.04,74.75,1025.82,84.69,N; Tset = 29.80; Ttrue = 0029.8; T1 = 22.82; RH1 = 91.15; T2 = 23.95; RH2 = 85.10
2017.11.04_03:40:46,27.11,36.29,45.71,5.52,6.08,7.54,22.86,6.05,1018.51,35.14,46.20,58.12,9.56,12.88,15.90,24.04,75.65,1025.83,85.73,N; Tset = 30.00; Ttrue = 0030.0; T1 = 22.87; RH1 = 92.02; T2 = 23.95; RH2 = 86.19
2017.11.04_03:41:50,26.93,37.99,42.60,6.21,5.94,7.34,22.86,6.03,1018.51,36.95,46.67,59.27,11.40,14.22,16.44,24.04,76.52,1025.84,86.74,N; Tset = 30.40; Ttrue = 0030.2; T1 = 22.91; RH1 = 92.84; T2 = 23.94; RH2 = 87.22
2017.11.04_03:42:52,29.06,36.96,44.81,5.74,5.57,8.21,22.86,6.04,1018.51,37.77,49.22,62.25,13.17,15.92,17.83,24.04,77.42,1025.84,87.77,N; Tset = 30.60; Ttrue = 0030.5; T1 = 22.96; RH1 = 93.68; T2 = 23.94; RH2 = 88.29
2017.11.04_03:43:54,28.46,36.25,45.49,5.48,6.59,8.61,22.86,6.12,1018.52,40.87,51.73,64.22,16.29,18.87,20.72,24.04,78.32,1025.85,88.81,N; Tset = 30.80; Ttrue = 0030.7; T1 = 23.00; RH1 = 94.51; T2 = 23.94; RH2 = 89.39
