2017.11.21_03:03:00,223.22,318.44,402.10,40.18,45.81,52.32,24.55,6.50,973.70,385.44,506.78,609.22,57.58,63.59,71.13,25.43,59.21,980.89,68.02,N; Tset = 13.80; Ttrue = 016.9; T1 = 26.64; RH1 = 57.07; T2 = 25.81; RH2 = 68.46
2017.11.21_03:04:00,231.87,332.86,418.70,41.84,46.59,53.25,25.40,6.71,1007.26,348.84,452.05,548.36,57.53,60.15,69.02,26.31,49.02,1014.71,50.94,N; Tset = 13.80; Ttrue = 017.2; T1 = 27.54; RH1 = 45.56; T2 = 26.68; RH2 = 51.77
2017.11.21_03:05:04,233.61,338.34,425.19,43.67,46.83,55.01,25.41,6.69,1007.22,349.43,455.53,555.85,55.19,60.61,69.07,26.31,45.90,1014.67,48.49,N; Tset = 14.20; Ttrue = 017.4; T1 = 27.51; RH1 = 44.53; T2 = 26.68; RH2 = 48.13
2017.11.21_03:06:14,235.56,337.99,426.85,45.19,46.93,55.09,25.42,6.69,1007.17,355.47,466.08,563.08,55.05,61.50,69.66,26.31,44.46,1014.64,48.02,N; Tset = 15.20; Ttrue = 017.5; T1 = 27.50; RH1 = 44.49; T2 = 26.68; RH2 = 47.29
2017.11.21_03:07:24,238.64,339.16,431.53,43.60,48.90,56.33,25.42,6.67,1007.11,355.80,469.09,569.26,55.48,62.26,69.13,26.32,43.70,1014.58,48.03,N; Tset = 16.20; Ttrue = 017.7; T1 = 27.48; RH1 = 44.76; T2 = 26.68; RH2 = 47.11
2017.11.21_03:08:34,238.36,341.06,436.19,43.14,47.85,55.42,25.42,6.65,1007.10,349.13,461.60,565.91,56.08,61.98,71.67,26.33,43.28,1014.54,48.19,N; Tset = 17.20; Ttrue = 017.5; T1 = 27.45; RH1 = 45.12; T2 = 26.69; RH2 = 47.15
2017.11.21_03:09:42,241.95,342.74,435.21,43.42,47.28,55.61,25.44,6.63,1007.06,346.46,468.44,555.99,54.63,63.57,69.08,26.33,42.78,1014.50,47.89,N; Tset = 18.00; Ttrue = 017.4; T1 = 27.43; RH1 = 44.80; T2 = 26.70; RH2 = 46.96
2017.11.21_03:10:52,241.95,341.70,437.31,43.93,47.89,55.80,25.44,6.62,1007.05,346.15,457.84,551.54,54.49,60.02,68.50,26.33,41.89,1014.49,47.13,N; Tset = 19.00; Ttrue = 018.8; T1 = 27.39; RH1 = 44.37; T2 = 26.70; RH2 = 46.01
2017.11.21_03:12:00,241.42,343.46,436.35,43.99,48.64,56.01,25.44,6.61,1007.01,351.00,461.77,566.70,56.31,60.67,68.79,26.34,42.86,1014.48,49.27,N; Tset = 19.80; Ttrue = 019.5; T1 = 27.36; RH1 = 46.91; T2 = 26.70; RH2 = 47.69
2017.11.21_03:13:08,240.44,343.54,437.10,43.28,47.25,55.39,25.44,6.61,1006.99,353.73,468.22,565.38,56.74,62.30,68.44,26.35,44.28,1014.46,51.56,N; Tset = 20.60; Ttrue = 020.3; T1 = 27.34; RH1 = 49.19; T2 = 26.70; RH2 = 49.93
2017.11.21_03:14:16,241.63,344.43,436.21,44.92,48.26,55.57,25.45,6.60,1006.97,360.01,472.19,574.32,55.34,60.71,70.69,26.35,45.59,1014.44,53.54,N; Tset = 21.40; Ttrue = 021.2; T1 = 27.32; RH1 = 51.16; T2 = 26.70; RH2 = 51.83
2017.11.21_03:15:24,239.30,342.63,435.94,43.51,50.69,56.66,25.46,6.58,1006.96,364.94,478.44,580.52,55.96,61.10,70.00,26.35,47.22,1014.41,55.95,N; Tset = 22.20; Ttrue = 022.0; T1 = 27.31; RH1 = 53.59; T2 = 26.69; RH2 = 54.07
2017.11.21_03:16:32,244.29,345.94,434.70,44.01,49.16,55.72,25.46,6.59,1006.92,364.53,485.54,588.04,55.74,61.38,70.49,26.35,48.96,1014.38,58.39,N; Tset = 23.00; Ttrue = 022.8; T1 = 27.31; RH1 = 55.96; T2 = 26.69; RH2 = 56.45
2017.11.21_03:17:40,240.16,347.74,436.64,43.72,48.56,56.39,25.46,6.58,1006.90,371.26,494.99,594.56,57.41,62.36,70.55,26.35,50.68,1014.34,60.64,N; Tset = 23.80; Ttrue = 023.5; T1 = 27.30; RH1 = 58.14; T2 = 26.68; RH2 = 58.65
2017.11.21_03:18:48,239.94,348.21,438.90,44.23,49.52,57.25,25.48,6.56,1006.86,379.35,499.48,604.88,59.48,63.32,72.72,26.35,52.43,1014.33,62.98,N; Tset = 24.60; Ttrue = 024.3; T1 = 27.30; RH1 = 60.40; T2 = 26.67; RH2 = 60.92
2017.11.21_03:19:54,240.37,345.84,439.96,44.54,49.12,56.41,25.48,6.56,1006.84,390.09,507.83,617.18,59.76,64.08,72.21,26.35,54.31,1014.32,65.41,N; Tset = 25.20; Ttrue = 025.0; T1 = 27.30; RH1 = 62.72; T2 = 26.66; RH2 = 63.30
2017.11.21_03:21:02,239.97,344.11,437.74,43.78,47.85,56.67,25.48,6.56,1006.84,394.52,520.11,624.38,56.82,63.71,72.69,26.35,56.26,1014.31,67.92,N; Tset = 26.00; Ttrue = 025.8; T1 = 27.32; RH1 = 65.09; T2 = 26.65; RH2 = 65.74
2017.11.21_03:22:08,239.43,346.53,442.99,44.03,47.45,56.42,25.50,6.56,1006.86,405.77,535.38,642.07,59.01,64.76,74.12,26.35,58.25,1014.31,70.48,N; Tset = 26.60; Ttrue = 026.4; T1 = 27.34; RH1 = 67.44; T2 = 26.65; RH2 = 68.25
2017.11.21_03:23:14,240.75,349.25,435.45,43.74,48.13,56.57,25.50,6.56,1006.85,408.03,541.20,652.36,61.42,65.68,73.70,26.35,60.22,1014.33,72.98,N; Tset = 27.20; Ttrue = 027.1; T1 = 27.37; RH1 = 69.68; T2 = 26.64; RH2 = 70.71
2017.11.21_03:24:22,238.81,348.44,437.12,43.65,48.06,56.12,25.52,6.56,1006.84,427.73,562.54,671.22,61.02,66.69,74.29,26.33,62.21,1014.31,75.56,N; Tset = 28.00; Ttrue = 027.7; T1 = 27.41; RH1 = 71.92; T2 = 26.63; RH2 = 73.16
2017.11.21_03:25:28,241.01,345.21,436.23,43.28,48.55,55.86,25.52,6.56,1006.84,430.23,562.96,687.87,60.34,66.41,74.81,26.33,64.23,1014.32,78.11,N; Tset = 28.60; Ttrue = 028.4; T1 = 27.43; RH1 = 74.23; T2 = 26.62; RH2 = 75.66
2017.11.21_03:26:34,240.76,343.75,433.79,42.60,47.77,55.98,25.53,6.56,1006.84,460.53,609.35,718.96,62.25,68.10,79.43,26.33,66.31,1014.32,80.74,N; Tset = 29.20; Ttrue = 029.0; T1 = 27.47; RH1 = 76.55; T2 = 26.62; RH2 = 78.24
2017.11.21_03:27:40,240.31,345.57,438.47,43.63,47.05,55.73,25.54,6.56,1006.86,493.66,646.72,772.34,65.18,71.85,81.79,26.33,68.39,1014.33,83.41,N; Tset = 29.80; Ttrue = 029.6; T1 = 27.52; RH1 = 78.86; T2 = 26.61; RH2 = 80.86
2017.11.21_03:28:46,241.72,344.98,438.90,45.07,46.74,56.55,25.54,6.56,1006.86,516.42,671.82,802.28,71.52,75.00,84.11,26.33,70.42,1014.33,85.95,N; Tset = 30.40; Ttrue = 030.2; T1 = 27.56; RH1 = 81.04; T2 = 26.61; RH2 = 83.37
2017.11.21_03:29:52,240.63,343.50,437.35,44.16,48.21,55.80,25.54,6.57,1006.85,558.97,728.54,859.81,73.71,78.88,89.26,26.33,72.46,1014.34,88.51,N; Tset = 31.00; Ttrue = 030.8; T1 = 27.61; RH1 = 83.24; T2 = 26.60; RH2 = 85.85
2017.11.21_03:30:58,244.91,348.52,441.23,43.31,48.66,55.07,25.54,6.58,1006.84,590.69,758.57,908.28,76.98,83.44,95.25,26.31,74.53,1014.29,91.24,N; Tset = 31.60; Ttrue = 031.4; T1 = 27.66; RH1 = 85.47; T2 = 26.59; RH2 = 88.42
