2017.11.27_03:42:01,78.53,105.54,134.15,16.78,18.25,22.55,21.99,5.39,975.06,132.91,168.14,209.07,32.19,33.97,37.68,22.98,67.51,982.20,88.18,N; Tset = 12.20; Ttrue = 0013.2; T1 = 25.84; RH1 = 66.02; T2 = 24.73; RH2 = 82.38
2017.11.27_03:43:01,80.56,109.40,136.50,17.15,20.63,22.90,22.73,5.58,1008.67,120.81,153.28,182.89,27.54,31.71,32.00,23.77,53.06,1016.07,61.19,N; Tset = 12.20; Ttrue = 0013.6; T1 = 26.63; RH1 = 48.32; T2 = 25.52; RH2 = 58.60
2017.11.27_03:44:01,83.07,110.22,135.88,16.85,19.61,23.13,22.72,5.59,1008.67,121.20,152.63,179.32,26.88,30.16,34.59,23.76,47.81,1016.06,55.47,N; Tset = 12.20; Ttrue = 0013.8; T1 = 26.57; RH1 = 45.66; T2 = 25.48; RH2 = 51.39
2017.11.27_03:45:01,80.49,111.20,138.93,17.17,18.58,22.77,22.70,5.59,1008.68,122.67,156.07,185.74,26.86,29.87,34.66,23.74,45.39,1016.09,54.01,N; Tset = 12.20; Ttrue = 0014.0; T1 = 26.50; RH1 = 45.09; T2 = 25.46; RH2 = 49.55
2017.11.27_03:46:03,83.28,109.44,137.51,17.94,18.76,22.90,22.70,5.59,1008.68,125.54,153.22,184.66,26.19,32.81,36.26,23.74,43.95,1016.07,53.46,N; Tset = 12.40; Ttrue = 0013.6; T1 = 26.42; RH1 = 45.07; T2 = 25.43; RH2 = 48.86
2017.11.27_03:47:09,81.26,111.09,136.83,17.05,18.62,23.63,22.68,5.61,1008.69,125.18,157.82,182.78,27.14,32.44,33.08,23.72,42.47,1016.06,52.36,N; Tset = 13.00; Ttrue = 0012.9; T1 = 26.33; RH1 = 44.26; T2 = 25.39; RH2 = 47.96
2017.11.27_03:48:15,78.90,109.04,133.70,17.45,18.43,22.82,22.66,5.62,1008.67,124.58,157.18,187.89,28.31,29.98,33.23,23.72,40.62,1016.03,50.37,N; Tset = 13.60; Ttrue = 0013.2; T1 = 26.25; RH1 = 42.83; T2 = 25.36; RH2 = 46.18
2017.11.27_03:49:21,75.92,105.28,128.06,16.19,17.62,21.85,22.64,5.66,1008.67,123.50,158.24,187.96,27.71,30.55,32.81,23.70,39.68,1016.02,50.00,N; Tset = 14.20; Ttrue = 0014.2; T1 = 26.17; RH1 = 43.04; T2 = 25.34; RH2 = 45.47
2017.11.27_03:50:27,73.52,102.02,127.13,15.74,17.04,21.47,22.62,5.69,1008.64,122.35,155.99,185.19,27.02,29.89,33.08,23.69,40.09,1016.03,51.66,N; Tset = 14.80; Ttrue = 0014.6; T1 = 26.10; RH1 = 44.94; T2 = 25.33; RH2 = 46.66
2017.11.27_03:51:31,75.18,99.53,125.36,15.34,17.28,21.33,22.61,5.74,1008.63,123.45,159.70,188.48,26.98,29.78,33.43,23.68,40.58,1016.04,53.00,N; Tset = 15.20; Ttrue = 0015.0; T1 = 26.05; RH1 = 46.18; T2 = 25.33; RH2 = 47.83
2017.11.27_03:52:37,70.23,95.70,120.65,15.53,17.13,20.49,22.60,5.78,1008.63,131.64,157.95,187.41,27.33,30.48,33.25,23.68,40.99,1016.04,54.05,N; Tset = 15.80; Ttrue = 0015.6; T1 = 26.01; RH1 = 47.28; T2 = 25.34; RH2 = 48.69
2017.11.27_03:53:41,71.37,98.42,119.63,15.33,16.58,20.53,22.60,5.79,1008.61,128.54,157.03,187.63,29.10,30.21,33.94,23.68,41.66,1016.03,55.39,N; Tset = 16.20; Ttrue = 0016.1; T1 = 25.98; RH1 = 48.62; T2 = 25.34; RH2 = 49.78
2017.11.27_03:54:47,72.49,99.09,121.79,16.07,17.09,21.59,22.58,5.80,1008.60,129.84,156.88,187.30,28.05,31.67,33.45,23.68,42.31,1016.00,56.54,N; Tset = 16.80; Ttrue = 0016.6; T1 = 25.96; RH1 = 49.68; T2 = 25.35; RH2 = 50.80
2017.11.27_03:55:51,70.99,100.22,123.69,16.58,17.09,21.15,22.58,5.80,1008.56,125.00,158.05,187.95,28.50,32.38,33.54,23.68,42.98,1015.96,57.74,N; Tset = 17.20; Ttrue = 0017.0; T1 = 25.95; RH1 = 50.81; T2 = 25.36; RH2 = 51.80
2017.11.27_03:56:55,73.42,101.36,125.88,16.54,17.36,21.79,22.58,5.80,1008.53,126.55,159.39,187.94,26.61,30.30,32.21,23.68,43.75,1015.94,59.02,N; Tset = 17.60; Ttrue = 0017.5; T1 = 25.94; RH1 = 52.03; T2 = 25.37; RH2 = 52.89
2017.11.27_03:57:59,73.88,101.59,128.63,16.49,17.07,21.94,22.58,5.80,1008.53,127.48,162.76,192.16,27.71,31.10,33.94,23.70,44.53,1015.91,60.25,N; Tset = 18.00; Ttrue = 0017.9; T1 = 25.92; RH1 = 53.23; T2 = 25.38; RH2 = 53.98
2017.11.27_03:59:05,77.19,105.56,128.91,16.45,17.71,21.71,22.58,5.79,1008.53,125.32,157.60,187.57,28.59,30.77,33.33,23.70,45.34,1015.91,61.53,N; Tset = 18.60; Ttrue = 0018.4; T1 = 25.91; RH1 = 54.42; T2 = 25.40; RH2 = 55.09
2017.11.27_04:00:09,77.22,104.11,129.04,16.16,17.74,21.88,22.57,5.79,1008.52,121.61,154.78,190.08,27.64,30.54,35.25,23.70,46.20,1015.91,62.85,N; Tset = 19.00; Ttrue = 0018.8; T1 = 25.90; RH1 = 55.63; T2 = 25.40; RH2 = 56.22
2017.11.27_04:01:13,76.93,106.58,132.28,17.04,19.04,22.58,22.57,5.78,1008.51,127.01,161.62,193.71,27.22,30.17,33.57,23.70,47.06,1015.91,64.13,N; Tset = 19.40; Ttrue = 0019.2; T1 = 25.89; RH1 = 56.78; T2 = 25.41; RH2 = 57.34
2017.11.27_04:02:17,80.57,107.15,132.89,16.80,18.25,22.81,22.56,5.77,1008.47,127.94,163.90,196.21,26.85,30.18,32.97,23.70,47.93,1015.90,65.39,N; Tset = 19.80; Ttrue = 0019.6; T1 = 25.90; RH1 = 57.90; T2 = 25.42; RH2 = 58.45
2017.11.27_04:03:21,80.02,113.29,134.17,17.48,18.32,22.62,22.58,5.76,1008.48,127.43,162.33,195.72,28.20,31.74,33.39,23.71,48.80,1015.88,66.59,N; Tset = 20.20; Ttrue = 0020.0; T1 = 25.90; RH1 = 59.03; T2 = 25.42; RH2 = 59.55
2017.11.27_04:04:23,80.44,107.86,134.15,18.13,18.99,23.81,22.57,5.76,1008.46,126.97,162.29,194.19,27.69,30.73,33.97,23.72,49.73,1015.84,67.89,N; Tset = 20.40; Ttrue = 0020.3; T1 = 25.90; RH1 = 60.19; T2 = 25.42; RH2 = 60.71
2017.11.27_04:05:27,79.06,109.64,135.04,16.17,17.68,23.16,22.57,5.76,1008.42,130.86,163.57,197.47,28.21,31.17,33.28,23.72,50.62,1015.84,69.16,N; Tset = 20.80; Ttrue = 0020.7; T1 = 25.91; RH1 = 61.29; T2 = 25.43; RH2 = 61.83
2017.11.27_04:06:31,80.35,107.98,133.77,17.23,18.29,22.65,22.56,5.76,1008.41,133.29,161.93,198.18,29.08,34.45,33.86,23.72,51.53,1015.81,70.44,N; Tset = 21.20; Ttrue = 0021.1; T1 = 25.92; RH1 = 62.38; T2 = 25.43; RH2 = 62.95
2017.11.27_04:07:35,81.20,109.41,135.94,17.42,18.83,23.08,22.57,5.75,1008.39,130.35,165.56,200.31,27.95,32.14,33.87,23.72,52.49,1015.80,71.77,N; Tset = 21.60; Ttrue = 0021.4; T1 = 25.94; RH1 = 63.50; T2 = 25.44; RH2 = 64.11
2017.11.27_04:08:39,81.59,110.05,137.49,18.13,18.02,23.10,22.58,5.74,1008.41,133.49,170.23,200.57,28.87,31.71,34.67,23.72,53.40,1015.83,73.01,N; Tset = 22.00; Ttrue = 0021.8; T1 = 25.96; RH1 = 64.51; T2 = 25.44; RH2 = 65.22
2017.11.27_04:09:41,79.95,111.56,137.26,17.23,18.91,23.56,22.58,5.74,1008.45,130.56,167.62,201.71,28.20,31.79,34.63,23.73,54.33,1015.86,74.21,N; Tset = 22.20; Ttrue = 0022.1; T1 = 25.98; RH1 = 65.54; T2 = 25.45; RH2 = 66.31
2017.11.27_04:10:45,80.56,110.72,136.16,18.37,19.35,23.10,22.58,5.74,1008.45,132.88,164.39,200.56,28.32,33.09,34.37,23.74,55.27,1015.86,75.44,N; Tset = 22.60; Ttrue = 0022.4; T1 = 26.00; RH1 = 66.58; T2 = 25.44; RH2 = 67.46
2017.11.27_04:11:47,81.01,111.57,137.08,16.82,20.72,23.15,22.58,5.73,1008.43,136.39,172.47,203.55,28.49,32.71,35.54,23.74,56.21,1015.86,76.72,N; Tset = 22.80; Ttrue = 0022.8; T1 = 26.03; RH1 = 67.59; T2 = 25.45; RH2 = 68.56
2017.11.27_04:12:51,83.03,112.28,140.70,19.17,19.88,24.37,22.58,5.72,1008.46,142.96,173.57,208.48,30.58,32.47,35.38,23.74,57.16,1015.88,78.03,N; Tset = 23.20; Ttrue = 0023.1; T1 = 26.06; RH1 = 68.62; T2 = 25.46; RH2 = 69.73
2017.11.27_04:13:55,82.22,111.93,139.59,17.92,18.98,23.52,22.58,5.71,1008.46,138.90,176.55,214.68,30.14,33.43,35.64,23.74,58.10,1015.84,79.32,N; Tset = 23.60; Ttrue = 0023.4; T1 = 26.09; RH1 = 69.63; T2 = 25.46; RH2 = 70.85
2017.11.27_04:14:57,82.92,112.72,140.35,18.92,20.47,23.77,22.60,5.71,1008.41,138.64,178.85,214.14,30.76,35.08,35.29,23.76,59.04,1015.82,80.47,N; Tset = 23.80; Ttrue = 0023.7; T1 = 26.12; RH1 = 70.59; T2 = 25.46; RH2 = 71.98
2017.11.27_04:16:01,83.78,113.09,138.91,18.28,19.29,23.89,22.60,5.71,1008.40,141.04,178.37,215.79,32.93,33.09,36.83,23.76,59.98,1015.82,81.72,N; Tset = 24.20; Ttrue = 0024.0; T1 = 26.14; RH1 = 71.56; T2 = 25.46; RH2 = 73.12
2017.11.27_04:17:03,81.13,114.07,141.01,18.41,18.98,23.78,22.60,5.71,1008.40,140.60,179.22,219.81,30.58,34.29,36.35,23.76,60.92,1015.81,82.98,N; Tset = 24.40; Ttrue = 0024.3; T1 = 26.17; RH1 = 72.54; T2 = 25.45; RH2 = 74.27
2017.11.27_04:18:07,84.39,114.55,141.22,18.75,20.54,24.13,22.60,5.72,1008.40,142.88,182.99,218.84,30.89,33.39,36.52,23.76,61.88,1015.79,84.25,N; Tset = 24.80; Ttrue = 0024.6; T1 = 26.20; RH1 = 73.53; T2 = 25.45; RH2 = 75.43
2017.11.27_04:19:09,84.10,114.28,141.16,19.58,20.03,23.86,22.60,5.74,1008.42,150.15,186.32,221.03,31.96,33.32,37.55,23.76,62.82,1015.83,85.47,N; Tset = 25.00; Ttrue = 0024.9; T1 = 26.23; RH1 = 74.43; T2 = 25.45; RH2 = 76.55
2017.11.27_04:20:11,82.29,114.35,141.43,17.74,20.85,23.38,22.62,5.74,1008.47,146.91,190.47,227.79,31.03,35.44,37.42,23.76,63.73,1015.88,86.63,N; Tset = 25.20; Ttrue = 0025.2; T1 = 26.27; RH1 = 75.32; T2 = 25.45; RH2 = 77.64
