2017.11.05_14:11:12,409.34,578.23,741.37,68.98,75.57,86.05,22.58,11.63,971.56,758.23,942.57,1132.85,93.81,100.77,118.51,23.69,72.30,978.54,80.69,N; Tset = 15.40; Ttrue = 0016.5; T1 = 22.51; RH1 = 80.27; T2 = 23.60; RH2 = 81.80
2017.11.05_14:12:12,419.75,595.12,767.64,71.13,75.68,90.61,23.35,12.08,1005.03,496.99,658.94,809.38,68.01,78.78,92.23,24.48,59.51,1012.28,57.41,N; Tset = 15.40; Ttrue = 0016.9; T1 = 23.20; RH1 = 59.30; T2 = 24.37; RH2 = 60.32
2017.11.05_14:13:12,422.96,597.82,765.86,71.43,76.87,89.21,23.34,12.14,1005.01,492.65,663.58,805.62,68.48,78.26,91.86,24.45,54.23,1012.28,52.25,N; Tset = 15.40; Ttrue = 0017.1; T1 = 23.16; RH1 = 55.82; T2 = 24.35; RH2 = 53.17
2017.11.05_14:14:12,425.32,594.63,772.12,67.93,76.06,88.87,23.33,12.18,1005.00,492.63,662.24,809.56,69.71,80.31,92.52,24.43,51.95,1012.26,50.62,N; Tset = 15.40; Ttrue = 0017.2; T1 = 23.12; RH1 = 54.20; T2 = 24.34; RH2 = 51.40
2017.11.05_14:15:12,413.94,595.99,768.20,70.99,77.55,89.54,23.32,12.20,1005.01,495.35,661.93,804.76,70.52,77.75,93.69,24.42,50.58,1012.26,49.89,N; Tset = 15.40; Ttrue = 0016.5; T1 = 23.10; RH1 = 53.42; T2 = 24.34; RH2 = 50.68
2017.11.05_14:16:18,417.63,593.83,763.07,69.95,75.17,88.77,23.31,12.25,1004.96,486.60,648.71,791.03,67.02,77.08,90.81,24.41,48.83,1012.25,48.26,N; Tset = 16.00; Ttrue = 0015.8; T1 = 23.07; RH1 = 51.48; T2 = 24.34; RH2 = 49.21
2017.11.05_14:17:24,416.56,605.73,770.88,70.30,76.58,90.66,23.31,12.28,1004.94,487.65,645.22,794.44,69.12,79.48,92.17,24.41,46.85,1012.24,46.35,N; Tset = 16.60; Ttrue = 0016.2; T1 = 23.05; RH1 = 49.62; T2 = 24.33; RH2 = 47.17
2017.11.05_14:18:30,417.34,592.42,766.18,70.06,76.31,89.92,23.31,12.31,1004.94,483.02,643.22,786.02,67.43,78.08,89.74,24.39,45.98,1012.24,46.16,N; Tset = 17.20; Ttrue = 0017.1; T1 = 23.02; RH1 = 49.86; T2 = 24.33; RH2 = 46.56
2017.11.05_14:19:34,413.13,591.42,758.59,68.52,75.35,90.81,23.31,12.34,1004.94,485.91,644.67,799.33,67.42,77.87,90.63,24.39,46.34,1012.25,47.61,N; Tset = 17.60; Ttrue = 0017.4; T1 = 22.99; RH1 = 51.73; T2 = 24.34; RH2 = 47.80
2017.11.05_14:20:40,412.67,588.15,750.99,68.01,75.76,88.56,23.31,12.37,1004.94,485.38,648.12,792.34,66.92,78.30,90.61,24.40,46.62,1012.25,48.49,N; Tset = 18.20; Ttrue = 0017.9; T1 = 22.97; RH1 = 52.76; T2 = 24.34; RH2 = 48.69
2017.11.05_14:21:44,414.20,591.78,762.12,69.77,75.72,88.94,23.33,12.36,1004.94,484.63,652.31,798.64,72.02,79.61,90.51,24.40,46.92,1012.26,49.34,N; Tset = 18.60; Ttrue = 0018.5; T1 = 22.95; RH1 = 53.89; T2 = 24.36; RH2 = 49.40
