2017.11.07_16:33:38,27.54,28.12,31.51,4.69,4.89,7.78,22.68,6.13,970.14,29.12,29.87,33.55,18.47,19.44,19.41,23.59,72.48,977.23,80.89,N; Tset = 16.20; Ttrue = 0016.8; T1 = 22.69; RH1 = 78.71; T2 = 23.57; RH2 = 81.97
2017.11.07_16:34:38,28.29,31.17,30.66,3.98,5.23,6.69,23.48,6.27,1003.59,29.22,29.55,35.00,8.27,11.87,11.05,24.41,59.10,1010.93,56.94,N; Tset = 16.20; Ttrue = 0017.2; T1 = 23.41; RH1 = 57.80; T2 = 24.37; RH2 = 59.56
2017.11.07_16:35:38,26.54,28.19,31.83,5.89,4.86,7.13,23.50,6.20,1003.59,30.66,33.14,31.74,7.70,9.57,10.25,24.42,53.56,1010.92,51.40,N; Tset = 16.20; Ttrue = 0017.4; T1 = 23.35; RH1 = 54.26; T2 = 24.38; RH2 = 52.01
2017.11.07_16:36:38,27.18,30.11,30.96,6.12,6.86,7.82,23.51,6.15,1003.63,32.08,37.39,36.04,7.56,10.25,13.19,24.42,51.09,1010.91,49.55,N; Tset = 16.20; Ttrue = 0017.5; T1 = 23.28; RH1 = 52.56; T2 = 24.39; RH2 = 50.13
2017.11.07_16:37:38,26.94,31.31,33.80,5.66,7.67,7.83,23.51,6.11,1003.66,35.03,30.46,31.16,7.96,10.81,11.81,24.43,49.58,1010.93,48.71,N; Tset = 16.20; Ttrue = 0017.0; T1 = 23.17; RH1 = 51.93; T2 = 24.39; RH2 = 49.36
2017.11.07_16:38:44,30.18,27.82,31.96,5.70,6.10,7.36,23.50,6.08,1003.66,31.63,26.36,30.41,7.16,10.84,12.13,24.43,47.91,1010.95,47.26,N; Tset = 16.80; Ttrue = 0016.3; T1 = 23.05; RH1 = 50.54; T2 = 24.38; RH2 = 48.12
2017.11.07_16:39:50,27.48,29.45,31.25,8.24,6.10,7.60,23.49,6.07,1003.67,35.94,28.91,31.31,8.75,10.50,11.01,24.41,46.03,1010.94,45.49,N; Tset = 17.40; Ttrue = 0017.1; T1 = 22.93; RH1 = 49.04; T2 = 24.36; RH2 = 46.24
2017.11.07_16:40:54,30.65,32.20,29.57,6.46,6.49,6.35,23.46,6.10,1003.71,33.15,29.67,30.46,9.69,12.55,11.78,24.40,45.48,1010.97,45.83,N; Tset = 17.80; Ttrue = 0017.8; T1 = 22.83; RH1 = 50.13; T2 = 24.33; RH2 = 46.19
2017.11.07_16:42:00,26.92,27.07,28.61,5.48,4.65,7.17,23.44,6.13,1003.71,27.37,27.70,30.49,7.70,11.20,12.61,24.37,46.05,1010.97,47.49,N; Tset = 18.40; Ttrue = 0018.0; T1 = 22.77; RH1 = 52.22; T2 = 24.32; RH2 = 47.73
2017.11.07_16:43:04,27.79,26.79,33.92,5.98,4.90,7.18,23.43,6.17,1003.73,28.60,31.10,34.74,7.98,10.18,10.93,24.36,46.34,1010.99,48.36,N; Tset = 18.80; Ttrue = 0018.6; T1 = 22.72; RH1 = 53.29; T2 = 24.30; RH2 = 48.63
2017.11.07_16:44:08,20.00,25.99,26.22,9.92,4.68,5.85,23.41,6.20,1003.74,35.56,29.64,29.36,7.24,10.63,10.89,24.35,46.81,1011.00,49.43,N; Tset = 19.20; Ttrue = 0019.1; T1 = 22.67; RH1 = 54.74; T2 = 24.29; RH2 = 49.56
2017.11.07_16:45:14,23.46,26.42,29.58,5.52,5.52,7.44,23.39,6.23,1003.78,28.49,30.24,30.70,8.07,10.00,11.74,24.34,47.58,1011.05,50.79,N; Tset = 19.80; Ttrue = 0019.5; T1 = 22.63; RH1 = 56.42; T2 = 24.28; RH2 = 50.86
2017.11.07_16:46:18,24.13,27.43,27.55,8.07,5.56,5.24,23.38,6.29,1003.78,27.83,26.99,26.91,9.64,12.29,10.49,24.32,48.24,1011.08,51.89,N; Tset = 20.20; Ttrue = 0020.0; T1 = 22.60; RH1 = 57.68; T2 = 24.27; RH2 = 51.94
2017.11.07_16:47:22,25.67,27.30,28.19,5.98,5.03,7.26,23.37,6.33,1003.82,28.40,24.51,34.11,8.40,10.81,11.42,24.31,48.98,1011.11,53.10,N; Tset = 20.60; Ttrue = 0020.4; T1 = 22.59; RH1 = 59.10; T2 = 24.27; RH2 = 53.08
2017.11.07_16:48:26,27.78,29.65,27.74,5.42,6.14,8.26,23.37,6.38,1003.85,26.83,28.53,30.22,7.26,10.43,12.10,24.30,49.81,1011.14,54.34,N; Tset = 21.00; Ttrue = 0020.8; T1 = 22.58; RH1 = 60.52; T2 = 24.26; RH2 = 54.26
2017.11.07_16:49:30,25.59,29.56,28.27,6.52,5.43,7.88,23.37,6.40,1003.86,24.28,31.73,32.27,8.55,10.95,12.57,24.30,50.60,1011.13,55.47,N; Tset = 21.40; Ttrue = 0021.2; T1 = 22.58; RH1 = 61.78; T2 = 24.27; RH2 = 55.37
2017.11.07_16:50:34,26.17,31.33,30.34,4.18,4.02,6.25,23.37,6.42,1003.84,27.75,27.78,31.07,7.73,10.82,12.19,24.30,51.44,1011.16,56.65,N; Tset = 21.80; Ttrue = 0021.6; T1 = 22.59; RH1 = 63.08; T2 = 24.28; RH2 = 56.49
2017.11.07_16:51:38,27.97,31.39,33.20,6.06,5.91,8.88,23.37,6.44,1003.84,28.01,26.05,33.33,8.81,12.48,12.45,24.32,52.28,1011.18,57.73,N; Tset = 22.20; Ttrue = 0022.0; T1 = 22.61; RH1 = 64.29; T2 = 24.29; RH2 = 57.59
2017.11.07_16:52:42,27.38,30.51,29.81,5.72,6.32,7.58,23.38,6.46,1003.87,29.04,31.84,35.54,7.36,11.11,12.79,24.32,53.12,1011.19,58.90,N; Tset = 22.60; Ttrue = 0022.4; T1 = 22.64; RH1 = 65.51; T2 = 24.30; RH2 = 58.68
2017.11.07_16:53:44,46.63,56.93,57.69,9.23,8.07,10.35,23.39,6.47,1003.86,49.33,53.22,60.33,10.44,14.48,15.27,24.33,54.03,1011.21,60.10,N; Tset = 22.80; Ttrue = 0022.7; T1 = 22.67; RH1 = 66.76; T2 = 24.32; RH2 = 59.84
2017.11.07_16:54:48,33.07,37.62,40.68,6.13,6.53,8.52,23.41,6.46,1003.92,33.69,33.64,42.10,8.07,11.34,16.65,24.35,54.81,1011.23,61.08,N; Tset = 23.20; Ttrue = 0023.1; T1 = 22.71; RH1 = 67.71; T2 = 24.34; RH2 = 60.82
2017.11.07_16:55:52,28.80,30.07,31.79,6.47,3.80,6.90,23.43,6.41,1003.91,28.18,30.38,32.48,8.38,10.80,13.53,24.36,55.56,1011.22,62.03,N; Tset = 23.60; Ttrue = 0023.5; T1 = 22.75; RH1 = 68.72; T2 = 24.36; RH2 = 61.75
2017.11.07_16:56:54,27.05,29.45,30.19,6.77,4.08,8.16,23.45,6.36,1003.91,28.60,36.83,32.28,9.73,12.13,12.45,24.38,56.30,1011.23,62.96,N; Tset = 23.80; Ttrue = 0023.8; T1 = 22.77; RH1 = 69.77; T2 = 24.37; RH2 = 62.67
2017.11.07_16:57:58,25.93,26.89,33.35,9.70,6.02,5.97,23.47,6.29,1003.91,27.95,30.40,34.01,7.98,10.80,12.30,24.41,57.00,1011.22,63.81,N; Tset = 24.20; Ttrue = 0024.1; T1 = 22.75; RH1 = 70.85; T2 = 24.38; RH2 = 63.58
2017.11.07_16:59:02,24.42,25.95,29.66,5.36,5.15,7.22,23.48,6.24,1003.93,27.62,28.28,32.35,8.16,11.57,11.95,24.42,57.71,1011.22,64.73,N; Tset = 24.60; Ttrue = 0024.4; T1 = 22.72; RH1 = 72.09; T2 = 24.39; RH2 = 64.52
2017.11.07_17:00:04,27.28,29.32,29.61,6.09,5.00,7.47,23.49,6.19,1003.95,27.57,27.83,30.77,10.02,10.29,12.83,24.42,58.51,1011.23,65.77,N; Tset = 24.80; Ttrue = 0024.7; T1 = 22.66; RH1 = 73.52; T2 = 24.38; RH2 = 65.59
2017.11.07_17:01:08,27.77,25.60,27.15,6.75,4.98,7.31,23.49,6.18,1004.00,35.02,28.13,32.99,7.67,10.55,11.56,24.43,59.36,1011.26,66.77,N; Tset = 25.20; Ttrue = 0025.0; T1 = 22.58; RH1 = 74.94; T2 = 24.38; RH2 = 66.68
2017.11.07_17:02:10,22.53,26.41,26.14,4.75,4.77,7.37,23.49,6.18,1004.05,26.08,25.50,31.35,8.65,11.53,11.16,24.42,60.26,1011.28,67.87,N; Tset = 25.40; Ttrue = 0025.3; T1 = 22.53; RH1 = 76.39; T2 = 24.36; RH2 = 67.84
2017.11.07_17:03:14,23.39,32.79,29.02,4.94,4.23,6.12,23.46,6.20,1004.08,24.53,27.28,30.67,9.15,11.29,12.94,24.41,61.25,1011.31,69.10,N; Tset = 25.80; Ttrue = 0025.6; T1 = 22.51; RH1 = 77.83; T2 = 24.34; RH2 = 69.08
2017.11.07_17:04:16,24.53,27.79,27.90,5.39,4.67,5.72,23.45,6.26,1004.10,27.02,29.31,35.36,10.23,11.44,12.02,24.39,62.24,1011.34,70.32,N; Tset = 26.00; Ttrue = 0025.9; T1 = 22.50; RH1 = 79.14; T2 = 24.33; RH2 = 70.30
2017.11.07_17:05:20,25.62,31.03,32.31,6.82,5.58,8.04,23.43,6.32,1004.11,29.05,32.29,37.47,8.57,12.19,14.09,24.38,63.27,1011.35,71.57,N; Tset = 26.40; Ttrue = 0026.2; T1 = 22.49; RH1 = 80.43; T2 = 24.32; RH2 = 71.57
2017.11.07_17:06:22,27.74,27.04,28.01,6.15,5.21,6.50,23.41,6.36,1004.08,23.45,27.83,33.62,8.45,12.15,12.93,24.36,64.26,1011.35,72.73,N; Tset = 26.60; Ttrue = 0026.5; T1 = 22.51; RH1 = 81.57; T2 = 24.31; RH2 = 72.78
