2017.11.12_14:26:44,135.84,207.26,272.94,30.62,34.03,39.72,22.99,6.10,965.87,231.08,314.75,402.45,45.57,49.46,53.85,23.82,69.51,972.86,75.79,N; Tset = 15.00; Ttrue = 015.4; T1 = 22.27; RH1 = 76.16; T2 = 23.42; RH2 = 79.29
2017.11.12_14:27:44,143.67,214.20,283.44,32.25,35.16,43.09,23.76,6.32,999.19,162.70,230.63,287.95,33.21,37.70,43.69,24.63,54.34,1006.42,50.20,N; Tset = 15.00; Ttrue = 015.8; T1 = 22.89; RH1 = 52.96; T2 = 24.17; RH2 = 54.15
2017.11.12_14:28:44,143.92,215.22,283.87,30.53,35.29,41.69,23.74,6.37,999.17,169.60,227.57,292.85,33.38,38.36,42.88,24.60,49.55,1006.41,45.94,N; Tset = 15.00; Ttrue = 015.9; T1 = 22.81; RH1 = 50.54; T2 = 24.15; RH2 = 47.76
2017.11.12_14:29:44,143.56,211.09,280.81,30.29,35.45,42.82,23.72,6.45,999.18,162.00,227.49,293.40,31.72,37.33,42.55,24.58,47.43,1006.40,44.62,N; Tset = 15.00; Ttrue = 016.0; T1 = 22.74; RH1 = 49.22; T2 = 24.14; RH2 = 46.39
2017.11.12_14:30:50,148.25,212.17,276.72,31.02,35.57,41.05,23.70,6.50,999.17,162.33,223.87,287.61,32.40,36.34,43.88,24.56,46.10,1006.39,44.11,N; Tset = 15.60; Ttrue = 016.0; T1 = 22.69; RH1 = 48.82; T2 = 24.12; RH2 = 45.78
2017.11.12_14:31:56,142.56,211.92,282.22,30.87,34.80,41.46,23.68,6.54,999.14,158.15,222.43,289.94,31.35,36.81,42.88,24.53,45.08,1006.36,43.81,N; Tset = 16.20; Ttrue = 015.6; T1 = 22.64; RH1 = 48.58; T2 = 24.10; RH2 = 45.44
2017.11.12_14:33:02,140.59,211.40,279.55,29.45,37.01,41.82,23.66,6.58,999.10,160.83,223.46,283.69,30.05,37.29,42.76,24.51,43.75,1006.31,42.79,N; Tset = 16.80; Ttrue = 016.6; T1 = 22.57; RH1 = 47.58; T2 = 24.09; RH2 = 44.32
2017.11.12_14:34:08,143.11,209.99,277.05,30.28,34.04,43.14,23.64,6.63,999.04,163.12,223.27,295.98,33.75,39.59,45.12,24.47,43.58,1006.26,43.56,N; Tset = 17.40; Ttrue = 017.2; T1 = 22.52; RH1 = 48.93; T2 = 24.08; RH2 = 44.65
2017.11.12_14:35:12,139.99,207.75,275.31,29.87,32.51,40.75,23.61,6.67,999.00,164.81,233.80,291.96,31.06,36.10,42.00,24.45,44.22,1006.22,45.18,N; Tset = 17.80; Ttrue = 017.7; T1 = 22.48; RH1 = 50.91; T2 = 24.07; RH2 = 46.17
2017.11.12_14:36:18,140.00,212.84,276.01,28.77,33.34,41.32,23.60,6.71,998.97,166.51,228.87,296.65,31.53,37.01,43.22,24.42,44.83,1006.20,46.49,N; Tset = 18.40; Ttrue = 018.2; T1 = 22.45; RH1 = 52.46; T2 = 24.06; RH2 = 47.40
2017.11.12_14:37:24,144.31,205.15,274.63,30.16,34.48,40.47,23.58,6.74,998.97,173.65,239.30,302.70,32.03,35.82,42.82,24.41,45.53,1006.20,47.80,N; Tset = 19.00; Ttrue = 018.8; T1 = 22.42; RH1 = 54.06; T2 = 24.06; RH2 = 48.61
2017.11.12_14:38:28,145.04,206.50,277.38,32.16,33.98,40.43,23.56,6.77,998.98,169.85,234.37,297.37,30.22,36.49,42.54,24.39,46.36,1006.24,49.17,N; Tset = 19.40; Ttrue = 019.3; T1 = 22.40; RH1 = 55.73; T2 = 24.06; RH2 = 49.90
2017.11.12_14:39:34,144.83,207.51,280.26,31.26,33.19,41.90,23.56,6.79,998.98,169.84,236.83,300.66,32.70,36.91,42.39,24.38,47.27,1006.25,50.56,N; Tset = 20.00; Ttrue = 019.8; T1 = 22.38; RH1 = 57.37; T2 = 24.07; RH2 = 51.23
2017.11.12_14:40:38,142.18,205.37,274.18,29.08,33.62,41.71,23.55,6.81,998.98,171.77,238.36,306.28,32.78,37.29,44.37,24.38,48.20,1006.25,51.92,N; Tset = 20.40; Ttrue = 020.3; T1 = 22.38; RH1 = 58.96; T2 = 24.08; RH2 = 52.55
2017.11.12_14:41:44,139.32,204.58,277.42,30.53,32.90,40.05,23.55,6.84,999.00,174.23,243.71,308.36,34.12,39.87,43.95,24.38,49.15,1006.27,53.25,N; Tset = 21.00; Ttrue = 020.8; T1 = 22.37; RH1 = 60.51; T2 = 24.09; RH2 = 53.83
2017.11.12_14:42:48,141.63,207.56,277.69,33.12,33.57,39.35,23.56,6.85,998.99,177.49,244.76,309.95,31.00,39.10,44.67,24.38,50.13,1006.29,54.59,N; Tset = 21.40; Ttrue = 021.3; T1 = 22.39; RH1 = 62.03; T2 = 24.10; RH2 = 55.13
2017.11.12_14:43:52,139.62,205.45,274.16,31.33,34.29,42.52,23.56,6.86,999.02,177.13,243.44,314.03,32.51,37.53,43.36,24.38,51.13,1006.29,55.93,N; Tset = 21.80; Ttrue = 021.7; T1 = 22.40; RH1 = 63.50; T2 = 24.12; RH2 = 56.42
2017.11.12_14:44:58,142.29,207.43,279.86,31.21,33.95,42.93,23.57,6.89,998.98,182.87,248.01,319.26,32.56,38.12,44.24,24.39,52.14,1006.29,57.24,N; Tset = 22.40; Ttrue = 022.2; T1 = 22.42; RH1 = 64.98; T2 = 24.13; RH2 = 57.70
2017.11.12_14:46:02,142.15,204.90,283.26,30.13,33.88,41.81,23.58,6.91,998.96,179.90,252.12,323.64,32.84,38.35,45.04,24.40,53.17,1006.26,58.58,N; Tset = 22.80; Ttrue = 022.6; T1 = 22.45; RH1 = 66.43; T2 = 24.15; RH2 = 59.01
2017.11.12_14:47:06,141.79,209.47,284.16,29.81,33.95,41.18,23.60,6.91,998.88,182.35,254.78,329.19,32.91,38.36,43.71,24.43,54.21,1006.21,59.83,N; Tset = 23.20; Ttrue = 023.0; T1 = 22.48; RH1 = 67.85; T2 = 24.17; RH2 = 60.29
2017.11.12_14:48:10,145.25,211.47,281.09,31.03,35.53,43.59,23.61,6.89,998.83,184.58,261.24,337.40,33.68,38.33,44.24,24.45,55.23,1006.16,61.06,N; Tset = 23.60; Ttrue = 023.4; T1 = 22.51; RH1 = 69.22; T2 = 24.18; RH2 = 61.54
2017.11.12_14:49:14,148.85,209.84,279.66,30.16,34.59,43.47,23.63,6.89,998.80,191.63,263.31,336.44,33.26,38.81,44.65,24.47,56.27,1006.14,62.31,N; Tset = 24.00; Ttrue = 023.8; T1 = 22.55; RH1 = 70.55; T2 = 24.20; RH2 = 62.80
2017.11.12_14:50:18,140.71,212.17,281.16,29.30,33.52,42.14,23.65,6.85,998.81,193.09,268.75,340.07,33.28,39.61,45.41,24.50,57.28,1006.16,63.53,N; Tset = 24.40; Ttrue = 024.2; T1 = 22.59; RH1 = 71.85; T2 = 24.23; RH2 = 64.03
2017.11.12_14:51:22,144.19,207.69,278.64,30.40,34.37,42.32,23.67,6.81,998.81,196.65,269.76,347.65,37.01,39.84,48.83,24.52,58.31,1006.17,64.81,N; Tset = 24.80; Ttrue = 024.6; T1 = 22.64; RH1 = 73.12; T2 = 24.27; RH2 = 65.28
2017.11.12_14:52:26,150.45,211.62,278.89,30.79,34.35,40.62,23.69,6.73,998.82,207.32,276.40,354.07,34.25,39.89,46.98,24.54,59.26,1006.18,65.92,N; Tset = 25.20; Ttrue = 025.0; T1 = 22.68; RH1 = 74.24; T2 = 24.29; RH2 = 66.42
2017.11.12_14:53:28,143.11,211.90,277.62,30.65,34.01,40.05,23.71,6.62,998.83,197.88,279.63,354.89,35.84,41.17,46.25,24.56,60.17,1006.17,67.01,N; Tset = 25.40; Ttrue = 025.3; T1 = 22.72; RH1 = 75.37; T2 = 24.31; RH2 = 67.57
2017.11.12_14:54:32,141.52,206.21,278.69,31.48,34.15,41.89,23.73,6.54,998.84,200.39,285.35,363.84,35.15,41.07,46.51,24.59,61.04,1006.15,68.07,N; Tset = 25.80; Ttrue = 025.7; T1 = 22.74; RH1 = 76.58; T2 = 24.32; RH2 = 68.72
