2017.11.24_23:28:21,95.25,139.84,178.32,20.73,23.73,28.78,22.85,6.25,970.70,177.25,235.05,296.29,39.67,43.43,47.83,23.94,66.02,977.90,84.33,N; Tset = 10.00; Ttrue = 0011.8; T1 = 26.26; RH1 = 64.37; T2 = 25.50; RH2 = 80.77
2017.11.24_23:29:21,99.62,140.36,184.20,21.33,25.50,29.67,23.66,6.49,1004.11,139.30,186.01,233.08,31.73,36.15,42.66,24.77,48.97,1011.58,54.39,N; Tset = 10.00; Ttrue = 0012.3; T1 = 27.09; RH1 = 43.99; T2 = 26.33; RH2 = 53.16
2017.11.24_23:30:29,97.66,143.70,184.47,21.77,25.09,30.97,23.66,6.50,1004.06,139.49,189.94,230.13,32.22,37.15,42.38,24.75,43.28,1011.55,48.51,N; Tset = 10.80; Ttrue = 0012.6; T1 = 27.04; RH1 = 41.07; T2 = 26.32; RH2 = 45.57
2017.11.24_23:31:41,99.11,140.26,182.28,22.23,24.86,29.42,23.67,6.51,1004.11,141.56,180.22,230.78,33.12,37.65,45.84,24.76,40.54,1011.59,47.08,N; Tset = 12.00; Ttrue = 0012.9; T1 = 27.00; RH1 = 40.54; T2 = 26.31; RH2 = 43.66
2017.11.24_23:32:51,99.39,140.57,180.84,21.14,23.43,29.46,23.68,6.53,1004.12,140.14,185.49,224.43,32.53,37.48,43.73,24.77,39.05,1011.62,46.64,N; Tset = 13.00; Ttrue = 0012.4; T1 = 26.94; RH1 = 40.58; T2 = 26.30; RH2 = 43.06
2017.11.24_23:34:01,99.62,140.03,178.23,21.18,24.05,29.91,23.68,6.54,1004.15,140.93,183.94,227.34,32.00,37.34,41.47,24.78,37.56,1011.62,45.51,N; Tset = 14.00; Ttrue = 0013.5; T1 = 26.88; RH1 = 39.76; T2 = 26.29; RH2 = 42.08
2017.11.24_23:35:11,97.06,139.42,179.63,21.42,24.13,29.96,23.70,6.56,1004.12,142.25,190.54,233.07,32.13,37.58,40.61,24.79,37.21,1011.60,46.33,N; Tset = 15.00; Ttrue = 0015.0; T1 = 26.82; RH1 = 41.22; T2 = 26.28; RH2 = 42.28
2017.11.24_23:36:21,98.63,139.77,182.79,22.36,24.79,29.96,23.70,6.58,1004.10,149.97,195.51,233.08,32.92,37.06,41.15,24.79,38.54,1011.59,49.39,N; Tset = 16.00; Ttrue = 0015.5; T1 = 26.78; RH1 = 44.25; T2 = 26.28; RH2 = 44.88
2017.11.24_23:37:31,97.95,139.85,179.52,21.66,24.16,29.63,23.70,6.60,1004.06,143.95,192.06,239.15,33.63,36.37,41.37,24.80,39.35,1011.52,51.07,N; Tset = 17.00; Ttrue = 0016.7; T1 = 26.73; RH1 = 45.85; T2 = 26.27; RH2 = 46.48
2017.11.24_23:38:41,94.47,139.94,180.71,21.42,23.81,31.22,23.70,6.61,1004.05,142.48,194.60,235.69,33.84,36.57,40.09,24.81,40.60,1011.52,53.40,N; Tset = 18.00; Ttrue = 0017.8; T1 = 26.69; RH1 = 48.32; T2 = 26.27; RH2 = 48.42
2017.11.24_23:39:49,97.40,137.93,181.80,20.82,23.69,30.01,23.70,6.61,1004.01,137.84,185.14,235.82,32.76,36.60,41.64,24.81,42.39,1011.50,56.33,N; Tset = 18.80; Ttrue = 0018.5; T1 = 26.66; RH1 = 51.14; T2 = 26.27; RH2 = 51.00
2017.11.24_23:40:59,96.07,134.47,178.09,20.35,24.00,29.08,23.72,6.61,1004.00,136.07,181.47,230.29,31.43,34.94,41.49,24.83,43.98,1011.48,58.68,N; Tset = 19.80; Ttrue = 0019.4; T1 = 26.63; RH1 = 53.35; T2 = 26.27; RH2 = 53.24
2017.11.24_23:42:07,95.73,136.54,180.09,21.18,23.95,29.99,23.72,6.62,1004.00,141.64,192.60,236.55,32.05,36.26,40.78,24.83,45.50,1011.47,60.98,N; Tset = 20.60; Ttrue = 0020.3; T1 = 26.62; RH1 = 55.58; T2 = 26.27; RH2 = 55.26
2017.11.24_23:43:15,97.60,138.66,180.63,20.34,23.65,29.03,23.72,6.64,1004.00,142.88,192.04,235.50,32.79,38.30,42.01,24.83,47.29,1011.46,63.64,N; Tset = 21.40; Ttrue = 0021.1; T1 = 26.60; RH1 = 58.08; T2 = 26.28; RH2 = 57.61
2017.11.24_23:44:23,95.62,136.16,176.98,20.89,23.25,29.34,23.73,6.65,1004.01,140.72,186.07,233.24,36.45,36.59,38.46,24.83,49.16,1011.43,66.38,N; Tset = 22.20; Ttrue = 0022.0; T1 = 26.61; RH1 = 60.61; T2 = 26.28; RH2 = 60.04
2017.11.24_23:45:31,93.03,135.45,176.95,20.82,23.76,28.74,23.72,6.68,1003.95,126.28,172.12,213.75,28.70,33.89,36.91,24.85,51.25,1011.41,69.34,N; Tset = 23.00; Ttrue = 0022.9; T1 = 26.61; RH1 = 63.40; T2 = 26.29; RH2 = 62.71
2017.11.24_23:46:39,93.53,134.74,171.93,20.31,23.44,27.81,23.74,6.71,1003.97,142.10,183.51,232.20,31.77,33.79,38.23,24.85,53.34,1011.43,72.23,N; Tset = 23.80; Ttrue = 0023.6; T1 = 26.62; RH1 = 65.96; T2 = 26.30; RH2 = 65.36
2017.11.24_23:47:47,92.63,133.47,174.15,20.05,22.94,27.57,23.74,6.74,1003.96,140.92,192.59,243.08,33.02,35.76,40.96,24.85,55.35,1011.42,74.98,N; Tset = 24.60; Ttrue = 0024.3; T1 = 26.64; RH1 = 68.35; T2 = 26.31; RH2 = 67.83
2017.11.24_23:48:55,92.18,129.73,169.88,20.39,22.72,28.96,23.74,6.79,1003.93,139.95,186.50,230.54,31.80,35.51,40.66,24.87,57.32,1011.39,77.58,N; Tset = 25.40; Ttrue = 0025.1; T1 = 26.67; RH1 = 70.70; T2 = 26.32; RH2 = 70.20
2017.11.24_23:50:01,91.44,129.34,166.44,20.27,22.19,28.84,23.75,6.85,1003.92,133.90,182.96,225.78,30.01,33.95,35.81,24.87,59.48,1011.41,80.62,N; Tset = 26.00; Ttrue = 0025.8; T1 = 26.71; RH1 = 73.31; T2 = 26.34; RH2 = 72.86
2017.11.24_23:51:09,89.81,127.80,166.31,20.28,22.11,27.85,23.76,6.94,1003.93,140.24,183.60,226.60,30.58,35.21,37.79,24.88,61.67,1011.40,83.55,N; Tset = 26.80; Ttrue = 0026.6; T1 = 26.75; RH1 = 75.83; T2 = 26.36; RH2 = 75.53
2017.11.24_23:52:17,90.59,126.47,166.38,21.80,21.79,27.46,23.76,7.02,1003.90,142.40,193.65,239.59,31.00,33.71,37.66,24.89,63.86,1011.38,86.64,N; Tset = 27.60; Ttrue = 0027.3; T1 = 26.81; RH1 = 78.38; T2 = 26.37; RH2 = 78.26
2017.11.24_23:53:23,87.42,125.94,161.61,19.96,21.97,27.05,23.78,7.11,1003.84,134.49,184.21,235.78,29.46,32.30,36.54,24.90,66.20,1011.34,89.93,N; Tset = 28.20; Ttrue = 0028.0; T1 = 26.88; RH1 = 81.13; T2 = 26.39; RH2 = 81.15
