2017.11.19_15:50:57,186.18,278.75,369.90,40.70,45.47,53.54,26.49,1.97,976.30,230.58,327.15,415.18,42.85,48.24,55.26,26.99,56.49,984.03,60.79,N; Tset = 13.80; Ttrue = 014.2; T1 = 28.79; RH1 = 47.08; T2 = 27.15; RH2 = 64.47
2017.11.19_15:51:57,192.20,289.36,387.05,41.59,47.07,53.42,27.42,2.04,1009.92,206.74,296.71,377.64,42.71,48.20,54.59,27.93,43.03,1017.92,40.72,N; Tset = 13.80; Ttrue = 014.5; T1 = 29.74; RH1 = 34.30; T2 = 28.06; RH2 = 43.01
2017.11.19_15:52:57,193.84,286.40,377.54,43.11,46.43,54.59,27.42,2.03,1009.90,212.83,290.54,379.98,42.71,47.51,52.30,27.93,39.35,1017.91,38.40,N; Tset = 13.80; Ttrue = 014.7; T1 = 29.71; RH1 = 33.71; T2 = 28.06; RH2 = 39.12
2017.11.19_15:53:57,191.64,284.06,378.55,42.99,44.95,53.87,27.43,2.03,1009.87,210.05,289.89,372.41,43.02,47.96,52.50,27.92,37.60,1017.88,37.95,N; Tset = 13.80; Ttrue = 014.9; T1 = 29.68; RH1 = 33.74; T2 = 28.07; RH2 = 38.22
2017.11.19_15:55:05,189.69,281.31,375.79,41.41,44.89,54.56,27.44,2.03,1009.89,209.93,291.17,374.98,41.90,45.85,50.07,27.93,36.47,1017.90,37.90,N; Tset = 14.60; Ttrue = 015.1; T1 = 29.65; RH1 = 34.00; T2 = 28.07; RH2 = 37.91
2017.11.19_15:56:11,189.84,282.45,379.80,40.58,46.96,53.68,27.46,2.03,1009.86,202.97,293.82,373.13,41.03,45.85,50.55,27.94,35.75,1017.88,38.00,N; Tset = 15.20; Ttrue = 015.3; T1 = 29.61; RH1 = 34.35; T2 = 28.08; RH2 = 37.84
2017.11.19_15:57:17,187.70,286.44,379.93,39.90,45.20,53.74,27.47,2.01,1009.90,210.12,293.49,376.66,40.85,45.81,51.85,27.95,35.30,1017.92,38.19,N; Tset = 15.80; Ttrue = 015.2; T1 = 29.56; RH1 = 34.76; T2 = 28.09; RH2 = 37.91
2017.11.19_15:58:23,191.40,285.64,380.94,40.28,45.79,54.76,27.49,2.01,1009.89,207.34,291.85,371.95,42.29,45.10,50.48,27.95,34.80,1017.92,38.08,N; Tset = 16.40; Ttrue = 016.3; T1 = 29.51; RH1 = 34.79; T2 = 28.09; RH2 = 37.80
2017.11.19_15:59:29,191.92,281.64,374.17,40.40,46.46,53.75,27.50,2.01,1009.90,208.28,293.30,377.38,40.77,44.91,51.34,27.97,34.96,1017.91,39.07,N; Tset = 17.00; Ttrue = 017.0; T1 = 29.45; RH1 = 36.21; T2 = 28.09; RH2 = 38.41
2017.11.19_16:00:35,191.68,282.70,374.71,41.60,46.10,54.88,27.51,2.01,1009.86,211.74,297.84,382.64,45.09,45.49,53.57,27.97,35.88,1017.90,40.82,N; Tset = 17.60; Ttrue = 017.4; T1 = 29.40; RH1 = 37.97; T2 = 28.10; RH2 = 40.12
2017.11.19_16:01:41,193.59,286.24,380.79,41.26,47.47,54.99,27.52,2.01,1009.84,213.84,297.88,384.86,41.74,45.89,52.04,27.99,36.44,1017.87,41.81,N; Tset = 18.20; Ttrue = 018.0; T1 = 29.36; RH1 = 39.00; T2 = 28.10; RH2 = 41.12
2017.11.19_16:02:47,192.40,288.41,385.29,41.36,46.97,55.42,27.54,2.00,1009.81,213.84,296.95,386.74,41.63,46.48,53.39,27.99,37.15,1017.84,43.02,N; Tset = 18.80; Ttrue = 018.6; T1 = 29.31; RH1 = 40.31; T2 = 28.10; RH2 = 42.22
2017.11.19_16:03:53,195.96,288.70,383.86,41.15,47.35,55.01,27.55,1.99,1009.83,216.07,303.23,389.79,42.34,48.70,53.55,27.99,38.01,1017.84,44.37,N; Tset = 19.40; Ttrue = 019.1; T1 = 29.27; RH1 = 41.71; T2 = 28.10; RH2 = 43.52
2017.11.19_16:04:57,195.81,290.11,387.05,42.76,51.04,55.82,27.57,1.99,1009.81,220.57,307.74,392.39,44.46,48.10,53.42,28.00,38.85,1017.83,45.59,N; Tset = 19.80; Ttrue = 019.7; T1 = 29.23; RH1 = 42.97; T2 = 28.11; RH2 = 44.71
2017.11.19_16:06:03,190.66,287.54,384.97,43.44,48.11,55.09,27.57,1.99,1009.83,220.59,310.72,393.90,41.99,49.81,54.70,28.01,39.76,1017.83,46.87,N; Tset = 20.40; Ttrue = 020.2; T1 = 29.20; RH1 = 44.32; T2 = 28.11; RH2 = 45.95
2017.11.19_16:07:07,194.18,289.86,389.01,41.86,47.71,57.85,27.58,1.98,1009.81,223.42,310.59,398.10,43.51,47.90,51.97,28.01,40.70,1017.81,48.18,N; Tset = 20.80; Ttrue = 020.7; T1 = 29.17; RH1 = 45.63; T2 = 28.11; RH2 = 47.24
