2017.11.25_08:23:21,102.91,142.12,181.76,21.80,23.98,29.96,22.58,10.94,970.58,181.66,236.25,294.51,36.88,41.90,45.30,23.71,60.68,977.76,69.96,N; Tset = 10.60; Ttrue = 015.5; T1 = 24.36; RH1 = 60.77; T2 = 23.92; RH2 = 71.06
2017.11.25_08:24:21,107.64,147.95,186.21,22.21,24.54,30.37,23.36,11.29,1004.06,167.23,217.15,264.66,35.40,39.77,44.75,24.51,49.99,1011.48,51.70,N; Tset = 10.60; Ttrue = 015.7; T1 = 25.16; RH1 = 47.67; T2 = 24.73; RH2 = 53.18
2017.11.25_08:25:29,106.17,146.81,186.50,22.92,24.46,30.20,23.36,11.28,1004.05,165.08,215.13,265.19,35.41,40.70,44.40,24.51,46.56,1011.48,48.76,N; Tset = 11.40; Ttrue = 015.9; T1 = 25.13; RH1 = 46.23; T2 = 24.72; RH2 = 48.92
2017.11.25_08:26:39,106.95,148.42,189.13,22.91,27.93,30.90,23.36,11.26,1004.06,166.94,217.47,271.87,36.05,39.91,46.24,24.50,45.05,1011.51,48.21,N; Tset = 12.40; Ttrue = 016.1; T1 = 25.10; RH1 = 46.15; T2 = 24.71; RH2 = 47.98
2017.11.25_08:27:49,105.97,149.96,189.37,22.79,25.52,31.17,23.36,11.25,1004.08,169.81,221.79,274.95,38.14,41.01,46.94,24.49,44.29,1011.52,48.21,N; Tset = 13.40; Ttrue = 016.2; T1 = 25.06; RH1 = 46.43; T2 = 24.70; RH2 = 47.80
2017.11.25_08:28:59,109.38,149.71,191.04,23.03,25.76,35.15,23.36,11.23,1004.10,172.94,224.27,273.79,37.40,42.10,45.36,24.50,43.79,1011.53,48.16,N; Tset = 14.40; Ttrue = 015.2; T1 = 25.02; RH1 = 46.52; T2 = 24.69; RH2 = 47.79
2017.11.25_08:30:09,107.80,150.60,191.50,22.80,26.15,32.01,23.36,11.23,1004.09,167.75,216.76,272.20,37.17,41.30,45.29,24.49,42.36,1011.53,46.46,N; Tset = 15.40; Ttrue = 014.8; T1 = 24.98; RH1 = 44.71; T2 = 24.68; RH2 = 46.32
2017.11.25_08:31:19,107.46,151.29,192.48,23.12,25.28,30.01,23.36,11.23,1004.13,166.94,221.70,267.74,36.54,39.82,45.82,24.49,40.99,1011.55,45.05,N; Tset = 16.40; Ttrue = 016.2; T1 = 24.95; RH1 = 43.66; T2 = 24.67; RH2 = 44.73
2017.11.25_08:32:29,106.57,149.92,192.97,24.34,24.97,30.82,23.34,11.23,1004.12,166.15,215.79,269.21,35.87,41.80,46.09,24.49,41.55,1011.55,46.71,N; Tset = 17.40; Ttrue = 017.2; T1 = 24.91; RH1 = 45.91; T2 = 24.67; RH2 = 45.83
2017.11.25_08:33:39,108.01,154.13,194.06,23.05,25.12,31.24,23.34,11.21,1004.10,173.67,221.34,276.01,36.40,39.98,44.54,24.49,43.11,1011.53,49.42,N; Tset = 18.40; Ttrue = 018.1; T1 = 24.89; RH1 = 48.74; T2 = 24.67; RH2 = 48.42
2017.11.25_08:34:47,106.84,149.16,194.88,23.07,26.47,31.92,23.34,11.21,1004.09,169.01,219.88,274.32,36.49,39.57,45.89,24.49,44.58,1011.52,51.65,N; Tset = 19.20; Ttrue = 018.9; T1 = 24.87; RH1 = 51.00; T2 = 24.67; RH2 = 50.55
