2017.10.31_22:18:16,316.31,447.89,567.99,59.07,65.10,74.53,26.88,7.71,968.15,496.49,630.94,772.08,67.25,76.25,86.62,27.60,69.12,975.81,75.03,N; Tset = 18.00; Ttrue = 018.5; T1 = 26.33; RH1 = 73.32; T2 = 27.15; RH2 = 79.16
2017.10.31_22:19:16,327.78,458.20,575.75,58.76,65.68,75.18,27.82,7.97,1001.51,366.03,486.49,587.80,53.42,66.40,73.59,28.54,52.70,1009.47,48.90,N; Tset = 18.00; Ttrue = 018.8; T1 = 27.16; RH1 = 50.40; T2 = 28.06; RH2 = 52.71
2017.10.31_22:20:16,321.39,459.59,576.61,61.74,66.01,74.07,27.83,7.98,1001.50,368.94,480.92,588.52,55.80,64.39,74.56,28.53,47.08,1009.44,43.81,N; Tset = 18.00; Ttrue = 019.0; T1 = 27.12; RH1 = 46.60; T2 = 28.07; RH2 = 45.90
2017.10.31_22:21:20,330.97,464.20,578.69,61.73,66.26,72.96,27.84,7.97,1001.48,364.42,490.65,596.80,55.12,62.20,73.52,28.51,44.66,1009.42,42.48,N; Tset = 18.40; Ttrue = 019.1; T1 = 27.07; RH1 = 45.45; T2 = 28.08; RH2 = 44.27
2017.10.31_22:22:26,332.39,464.77,586.73,61.39,68.25,75.74,27.85,7.97,1001.50,373.81,489.82,601.31,56.63,64.23,75.58,28.51,43.14,1009.42,42.04,N; Tset = 19.00; Ttrue = 019.2; T1 = 27.03; RH1 = 45.29; T2 = 28.09; RH2 = 43.61
2017.10.31_22:23:34,331.63,459.94,579.46,64.73,68.00,76.58,27.86,7.97,1001.47,375.25,498.69,601.03,56.54,65.77,76.89,28.51,42.15,1009.39,41.95,N; Tset = 19.80; Ttrue = 019.1; T1 = 26.98; RH1 = 45.47; T2 = 28.09; RH2 = 43.36
2017.10.31_22:24:40,335.88,467.61,592.89,62.73,66.42,76.78,27.87,7.98,1001.44,376.55,493.05,600.27,57.31,65.79,74.56,28.52,41.20,1009.38,41.52,N; Tset = 20.40; Ttrue = 020.3; T1 = 26.92; RH1 = 45.24; T2 = 28.09; RH2 = 42.85
2017.10.31_22:25:48,332.58,473.79,590.59,64.29,66.09,77.20,27.87,7.98,1001.49,378.56,499.37,601.74,56.89,64.85,74.95,28.53,41.13,1009.39,42.41,N; Tset = 21.20; Ttrue = 021.0; T1 = 26.87; RH1 = 46.82; T2 = 28.09; RH2 = 43.43
2017.10.31_22:26:54,339.35,471.98,592.85,63.08,69.85,76.85,27.88,7.99,1001.48,379.40,495.09,611.55,56.47,67.24,74.98,28.53,41.97,1009.40,44.17,N; Tset = 21.80; Ttrue = 021.6; T1 = 26.81; RH1 = 49.03; T2 = 28.09; RH2 = 45.14
2017.10.31_22:28:00,330.78,466.51,584.71,68.66,66.88,76.14,27.88,7.99,1001.47,377.47,504.37,615.10,59.31,63.80,72.31,28.53,42.67,1009.38,45.48,N; Tset = 22.40; Ttrue = 022.2; T1 = 26.77; RH1 = 50.63; T2 = 28.10; RH2 = 46.44
2017.10.31_22:29:06,331.77,477.54,588.90,62.61,66.52,74.25,27.88,7.99,1001.49,384.73,510.05,620.99,55.88,67.91,79.37,28.53,43.48,1009.38,46.87,N; Tset = 23.00; Ttrue = 022.8; T1 = 26.72; RH1 = 52.42; T2 = 28.09; RH2 = 47.79
