2017.11.19_07:03:21,235.29,346.01,456.24,51.45,56.51,66.91,23.46,3.25,979.32,274.92,388.52,494.55,53.20,57.95,67.27,23.52,57.47,986.72,64.27,N; Tset = 11.80; Ttrue = 012.1; T1 = 25.03; RH1 = 51.78; T2 = 23.54; RH2 = 67.31
2017.11.19_07:04:21,239.95,355.40,478.27,53.33,60.12,69.13,24.26,3.37,1013.11,254.48,353.29,454.97,52.50,57.33,64.73,24.31,45.30,1020.73,44.52,N; Tset = 11.80; Ttrue = 012.4; T1 = 25.82; RH1 = 38.34; T2 = 24.32; RH2 = 47.08
2017.11.19_07:05:21,243.66,361.00,476.63,54.29,60.35,70.13,24.25,3.37,1013.09,251.58,354.17,455.44,51.65,58.25,64.60,24.29,41.62,1020.72,41.68,N; Tset = 11.80; Ttrue = 012.6; T1 = 25.75; RH1 = 37.31; T2 = 24.31; RH2 = 42.61
2017.11.19_07:06:21,243.84,358.95,478.20,53.00,60.34,70.81,24.24,3.37,1013.08,253.35,358.90,460.33,50.79,57.16,65.07,24.27,39.94,1020.72,41.11,N; Tset = 11.80; Ttrue = 012.7; T1 = 25.69; RH1 = 37.26; T2 = 24.30; RH2 = 41.58
2017.11.19_07:07:25,236.88,352.38,475.34,53.51,60.03,69.03,24.24,3.37,1013.13,253.54,354.07,454.85,50.75,56.99,69.26,24.24,38.96,1020.74,41.05,N; Tset = 12.20; Ttrue = 012.9; T1 = 25.63; RH1 = 37.51; T2 = 24.28; RH2 = 41.27
2017.11.19_07:08:31,239.37,355.30,477.70,53.02,59.27,68.87,24.22,3.38,1013.15,252.90,356.96,458.82,53.40,60.24,65.31,24.23,38.31,1020.74,41.14,N; Tset = 12.80; Ttrue = 012.6; T1 = 25.55; RH1 = 37.88; T2 = 24.27; RH2 = 41.21
2017.11.19_07:09:37,249.75,354.61,477.46,53.74,58.46,68.84,24.21,3.39,1013.15,254.58,356.98,453.26,51.08,58.58,65.99,24.22,37.60,1020.75,40.80,N; Tset = 13.40; Ttrue = 013.1; T1 = 25.48; RH1 = 37.65; T2 = 24.26; RH2 = 40.93
2017.11.19_07:10:43,245.17,359.80,477.85,53.20,60.12,69.41,24.19,3.40,1013.15,257.97,356.86,463.50,52.92,57.82,65.48,24.20,37.05,1020.78,40.75,N; Tset = 14.00; Ttrue = 014.0; T1 = 25.41; RH1 = 38.02; T2 = 24.25; RH2 = 40.54
2017.11.19_07:11:49,249.24,363.36,484.51,57.35,59.56,71.08,24.18,3.41,1013.15,261.82,362.63,462.20,51.84,57.22,65.65,24.18,37.74,1020.77,42.45,N; Tset = 14.60; Ttrue = 014.4; T1 = 25.34; RH1 = 39.95; T2 = 24.25; RH2 = 41.93
2017.11.19_07:12:55,231.73,348.01,461.29,50.77,58.00,67.10,24.16,3.41,1013.19,246.38,346.12,445.79,50.36,55.59,63.86,24.16,38.42,1020.81,43.81,N; Tset = 15.20; Ttrue = 014.9; T1 = 25.28; RH1 = 41.30; T2 = 24.26; RH2 = 43.23
2017.11.19_07:13:59,239.41,352.08,471.60,52.30,58.57,68.48,24.14,3.42,1013.22,255.08,356.73,450.63,51.23,56.35,64.63,24.15,39.08,1020.85,44.99,N; Tset = 15.60; Ttrue = 015.5; T1 = 25.24; RH1 = 42.56; T2 = 24.26; RH2 = 44.27
2017.11.19_07:15:05,246.95,359.90,480.16,53.19,60.35,69.12,24.12,3.44,1013.22,261.61,361.56,469.97,56.15,59.48,66.58,24.14,39.90,1020.85,46.37,N; Tset = 16.20; Ttrue = 016.0; T1 = 25.20; RH1 = 43.99; T2 = 24.27; RH2 = 45.52
2017.11.19_07:16:09,243.47,356.43,474.75,53.37,66.07,69.57,24.09,3.44,1013.22,259.49,358.63,464.74,51.96,58.88,65.00,24.14,40.75,1020.85,47.67,N; Tset = 16.60; Ttrue = 016.5; T1 = 25.18; RH1 = 45.31; T2 = 24.29; RH2 = 46.74
2017.11.19_07:17:15,242.79,360.59,480.58,52.75,58.99,69.18,24.07,3.45,1013.21,262.30,361.58,475.50,51.98,67.52,66.37,24.15,41.61,1020.83,48.91,N; Tset = 17.20; Ttrue = 017.0; T1 = 25.17; RH1 = 46.54; T2 = 24.30; RH2 = 47.93
2017.11.19_07:18:19,247.63,368.11,485.51,54.59,60.73,71.34,24.06,3.45,1013.19,271.43,376.70,482.24,54.96,57.96,65.77,24.16,42.46,1020.82,50.12,N; Tset = 17.60; Ttrue = 017.4; T1 = 25.17; RH1 = 47.75; T2 = 24.31; RH2 = 49.10
2017.11.19_07:19:23,243.38,365.66,475.55,54.54,60.33,70.72,24.05,3.45,1013.15,258.65,367.89,478.59,53.03,58.74,65.23,24.16,43.33,1020.81,51.33,N; Tset = 18.00; Ttrue = 017.9; T1 = 25.17; RH1 = 48.93; T2 = 24.32; RH2 = 50.23
2017.11.19_07:20:27,245.14,363.83,477.89,55.17,60.50,70.68,24.03,3.45,1013.16,261.95,375.57,479.95,53.69,57.92,65.78,24.18,44.23,1020.83,52.52,N; Tset = 18.40; Ttrue = 018.3; T1 = 25.18; RH1 = 50.09; T2 = 24.32; RH2 = 51.44
2017.11.19_07:21:33,241.70,357.76,472.62,53.10,62.33,68.73,24.03,3.46,1013.19,262.89,372.29,473.96,52.74,59.24,64.31,24.18,45.21,1020.83,53.86,N; Tset = 19.00; Ttrue = 018.7; T1 = 25.18; RH1 = 51.38; T2 = 24.32; RH2 = 52.74
2017.11.19_07:22:37,241.64,349.79,465.75,53.87,58.71,68.98,24.02,3.46,1013.21,257.59,366.74,472.20,52.13,57.25,63.90,24.19,46.19,1020.86,55.12,N; Tset = 19.40; Ttrue = 019.2; T1 = 25.19; RH1 = 52.56; T2 = 24.32; RH2 = 53.99
2017.11.19_07:23:41,236.04,348.23,464.76,53.05,58.06,67.47,24.01,3.47,1013.20,257.34,375.45,471.58,51.61,55.85,63.23,24.20,47.17,1020.86,56.35,N; Tset = 19.80; Ttrue = 019.6; T1 = 25.21; RH1 = 53.76; T2 = 24.33; RH2 = 55.21
2017.11.19_07:24:45,230.96,338.58,453.21,50.00,56.30,65.37,24.01,3.47,1013.18,252.73,358.24,457.57,51.80,55.29,62.30,24.20,48.23,1020.86,57.74,N; Tset = 20.20; Ttrue = 020.0; T1 = 25.24; RH1 = 54.98; T2 = 24.34; RH2 = 56.51
2017.11.19_07:25:49,225.47,334.16,442.16,49.96,55.44,64.46,24.00,3.48,1013.18,250.74,355.33,457.29,55.69,55.61,61.08,24.21,49.28,1020.86,59.07,N; Tset = 20.60; Ttrue = 020.4; T1 = 25.29; RH1 = 56.10; T2 = 24.37; RH2 = 57.79
2017.11.19_07:26:53,226.79,330.28,440.43,48.00,54.36,64.30,24.01,3.48,1013.21,253.66,354.82,456.88,49.77,54.22,61.00,24.22,50.27,1020.87,60.36,N; Tset = 21.00; Ttrue = 020.8; T1 = 25.36; RH1 = 57.10; T2 = 24.41; RH2 = 58.96
2017.11.19_07:27:55,216.78,324.32,430.12,53.33,58.08,65.02,24.01,3.49,1013.24,245.72,347.49,449.57,48.63,55.47,61.54,24.23,51.26,1020.91,61.64,N; Tset = 21.20; Ttrue = 021.2; T1 = 25.43; RH1 = 58.08; T2 = 24.46; RH2 = 60.12
2017.11.19_07:28:59,214.79,319.04,431.94,45.95,54.13,63.06,24.00,3.49,1013.26,244.50,344.94,445.18,48.40,53.22,60.62,24.25,52.20,1020.93,62.81,N; Tset = 21.60; Ttrue = 021.5; T1 = 25.48; RH1 = 58.99; T2 = 24.50; RH2 = 61.22
2017.11.19_07:30:03,219.50,320.49,437.28,48.02,54.03,63.88,24.01,3.49,1013.27,252.49,356.23,456.61,48.77,54.50,61.11,24.27,53.12,1020.94,63.95,N; Tset = 22.00; Ttrue = 021.9; T1 = 25.56; RH1 = 59.89; T2 = 24.52; RH2 = 62.30
2017.11.19_07:31:07,218.60,316.66,430.53,47.41,52.45,63.69,24.01,3.49,1013.28,253.06,352.19,458.19,48.60,53.94,63.58,24.29,54.06,1020.95,65.12,N; Tset = 22.40; Ttrue = 022.2; T1 = 25.62; RH1 = 60.85; T2 = 24.54; RH2 = 63.44
