2017.11.17_06:42:15,82.50,113.22,134.34,19.32,19.51,21.41,22.36,3.66,973.70,117.37,150.86,183.78,27.70,26.69,30.06,23.47,66.19,980.99,88.82,N; Tset = 10.00; Ttrue = 0012.4; T1 = 25.88; RH1 = 68.32; T2 = 25.40; RH2 = 82.16
2017.11.17_06:43:15,84.66,106.82,134.00,17.12,17.68,21.71,23.13,3.76,1007.29,87.87,107.11,135.91,19.45,21.39,25.24,24.28,50.74,1014.84,60.17,N; Tset = 10.00; Ttrue = 0012.9; T1 = 26.70; RH1 = 48.84; T2 = 26.23; RH2 = 57.00
2017.11.17_06:44:23,79.06,108.71,130.78,16.77,17.48,23.03,23.14,3.76,1007.31,88.66,114.31,132.80,20.22,21.09,23.85,24.28,45.24,1014.85,54.02,N; Tset = 10.80; Ttrue = 0013.1; T1 = 26.65; RH1 = 45.73; T2 = 26.20; RH2 = 49.40
2017.11.17_06:45:35,76.11,107.70,127.38,15.34,17.00,23.61,23.15,3.76,1007.31,85.25,107.47,133.32,18.20,21.72,22.83,24.26,42.66,1014.88,52.49,N; Tset = 12.00; Ttrue = 0013.4; T1 = 26.60; RH1 = 45.07; T2 = 26.19; RH2 = 47.46
2017.11.17_06:46:45,76.64,103.99,128.21,17.91,18.14,20.21,23.15,3.74,1007.35,87.02,108.39,127.82,17.27,20.75,23.56,24.28,41.29,1014.93,52.02,N; Tset = 13.00; Ttrue = 0013.6; T1 = 26.56; RH1 = 45.08; T2 = 26.17; RH2 = 46.85
2017.11.17_06:47:55,77.26,98.37,120.53,15.46,16.93,19.25,23.15,3.72,1007.39,80.34,97.51,121.07,18.17,20.74,22.75,24.29,40.48,1014.98,51.97,N; Tset = 14.00; Ttrue = 0013.8; T1 = 26.52; RH1 = 45.33; T2 = 26.17; RH2 = 46.65
2017.11.17_06:49:05,70.68,89.05,112.65,13.24,13.90,17.32,23.15,3.70,1007.42,71.75,92.48,108.45,17.12,18.70,20.52,24.30,39.96,1015.01,52.01,N; Tset = 15.00; Ttrue = 0014.3; T1 = 26.45; RH1 = 45.73; T2 = 26.15; RH2 = 46.64
2017.11.17_06:50:15,72.46,90.68,116.12,14.63,14.77,16.57,23.15,3.70,1007.44,77.13,92.55,113.08,16.41,18.61,19.92,24.30,39.82,1015.00,52.60,N; Tset = 16.00; Ttrue = 0015.7; T1 = 26.39; RH1 = 46.60; T2 = 26.15; RH2 = 47.01
2017.11.17_06:51:25,62.40,85.88,96.47,13.15,15.01,15.52,23.15,3.68,1007.46,72.23,86.92,98.95,14.50,16.77,19.08,24.31,40.73,1015.03,54.88,N; Tset = 17.00; Ttrue = 0017.0; T1 = 26.34; RH1 = 49.23; T2 = 26.14; RH2 = 48.66
2017.11.17_06:52:35,67.49,82.10,112.04,12.78,13.04,17.25,23.15,3.68,1007.52,72.46,86.84,112.17,14.47,17.10,18.94,24.32,42.68,1015.09,58.36,N; Tset = 18.00; Ttrue = 0017.5; T1 = 26.29; RH1 = 52.60; T2 = 26.14; RH2 = 51.73
2017.11.17_06:53:43,64.86,83.45,104.83,13.04,15.50,17.20,23.15,3.68,1007.57,71.40,87.92,106.23,15.63,19.91,21.86,24.32,43.99,1015.16,60.49,N; Tset = 18.80; Ttrue = 0018.6; T1 = 26.25; RH1 = 54.58; T2 = 26.13; RH2 = 53.71
2017.11.17_06:54:53,60.34,76.36,93.66,14.33,12.11,15.38,23.15,3.67,1007.57,67.68,84.58,93.53,16.10,17.73,18.14,24.33,45.61,1015.15,63.16,N; Tset = 19.80; Ttrue = 0019.5; T1 = 26.22; RH1 = 57.28; T2 = 26.13; RH2 = 55.94
2017.11.17_06:56:01,57.97,65.90,82.87,11.56,11.38,13.54,23.15,3.65,1007.57,62.43,72.79,82.69,13.65,16.68,16.92,24.34,47.46,1015.14,65.93,N; Tset = 20.60; Ttrue = 0020.2; T1 = 26.19; RH1 = 59.92; T2 = 26.13; RH2 = 58.47
2017.11.17_06:57:09,62.96,73.24,86.50,12.23,13.67,15.16,23.15,3.63,1007.53,85.42,100.14,95.89,16.35,19.58,20.77,24.34,49.13,1015.12,68.40,N; Tset = 21.40; Ttrue = 0021.1; T1 = 26.17; RH1 = 62.24; T2 = 26.13; RH2 = 60.66
2017.11.17_06:58:17,49.93,63.61,64.31,12.31,13.89,11.60,23.15,3.65,1007.59,72.23,67.06,82.80,13.28,17.31,18.53,24.34,51.04,1015.16,71.27,N; Tset = 22.20; Ttrue = 0022.0; T1 = 26.15; RH1 = 64.98; T2 = 26.13; RH2 = 63.13
2017.11.17_06:59:25,56.69,51.76,68.59,10.50,11.29,11.02,23.15,3.69,1007.56,57.90,64.89,73.04,14.14,15.69,19.74,24.34,53.14,1015.11,74.35,N; Tset = 23.00; Ttrue = 0022.8; T1 = 26.15; RH1 = 67.79; T2 = 26.13; RH2 = 65.86
2017.11.17_07:00:33,52.31,53.20,57.10,11.26,9.96,12.47,23.15,3.73,1007.62,55.28,57.89,72.52,13.22,14.03,15.71,24.34,55.29,1015.15,77.45,N; Tset = 23.80; Ttrue = 0023.6; T1 = 26.15; RH1 = 70.60; T2 = 26.14; RH2 = 68.59
2017.11.17_07:01:41,40.04,46.37,51.11,8.71,7.91,9.20,23.15,3.81,1007.61,44.26,51.35,52.48,10.06,12.62,13.99,24.34,57.45,1015.16,80.45,N; Tset = 24.60; Ttrue = 0024.3; T1 = 26.16; RH1 = 73.25; T2 = 26.14; RH2 = 71.29
2017.11.17_07:02:49,41.27,43.16,44.52,8.93,8.83,10.92,23.16,3.86,1007.69,42.71,42.20,53.71,11.63,15.34,15.50,24.34,59.59,1015.26,83.41,N; Tset = 25.40; Ttrue = 0025.1; T1 = 26.18; RH1 = 75.83; T2 = 26.14; RH2 = 73.90
