2017.11.17_07:35:57,26.55,30.57,32.99,5.35,6.78,7.04,22.52,2.98,975.29,30.79,33.29,41.02,13.55,13.94,15.49,23.59,66.00,982.63,88.72,N; Tset = 10.00; Ttrue = 0012.6; T1 = 25.96; RH1 = 68.29; T2 = 25.59; RH2 = 81.84
2017.11.17_07:36:57,26.93,28.26,39.20,5.84,5.72,6.68,23.29,3.06,1008.97,24.54,29.00,33.97,7.64,9.78,11.26,24.41,50.46,1016.56,59.96,N; Tset = 10.00; Ttrue = 0013.0; T1 = 26.77; RH1 = 48.76; T2 = 26.41; RH2 = 56.65
2017.11.17_07:38:05,24.55,25.27,31.05,5.98,4.84,6.26,23.29,3.04,1009.06,26.94,31.31,35.10,10.91,10.56,11.61,24.39,45.03,1016.65,53.89,N; Tset = 10.80; Ttrue = 0013.3; T1 = 26.72; RH1 = 45.66; T2 = 26.39; RH2 = 49.16
2017.11.17_07:39:17,27.14,29.28,34.97,6.18,6.80,8.54,23.29,3.03,1009.12,24.16,29.37,32.46,9.46,10.50,11.72,24.38,42.45,1016.69,52.33,N; Tset = 12.00; Ttrue = 0013.5; T1 = 26.68; RH1 = 44.97; T2 = 26.38; RH2 = 47.20
2017.11.17_07:40:27,28.26,32.70,33.36,7.42,5.03,8.28,23.30,3.01,1009.20,29.76,29.08,34.30,8.47,10.22,10.24,24.39,41.10,1016.76,51.88,N; Tset = 13.00; Ttrue = 0013.7; T1 = 26.64; RH1 = 44.97; T2 = 26.36; RH2 = 46.58
2017.11.17_07:41:37,26.63,34.75,31.40,6.35,4.52,8.13,23.31,2.99,1009.27,25.36,26.82,31.80,7.77,9.74,10.32,24.41,40.29,1016.87,51.81,N; Tset = 14.00; Ttrue = 0013.9; T1 = 26.60; RH1 = 45.24; T2 = 26.36; RH2 = 46.40
2017.11.17_07:42:47,27.71,28.98,35.00,8.31,7.25,7.57,23.31,2.97,1009.35,27.40,29.68,37.43,8.04,9.74,10.49,24.41,39.77,1016.92,51.92,N; Tset = 15.00; Ttrue = 0014.3; T1 = 26.55; RH1 = 45.59; T2 = 26.35; RH2 = 46.38
2017.11.17_07:43:57,27.12,27.14,35.86,6.29,6.24,7.12,23.31,2.97,1009.40,27.07,27.14,36.03,9.42,12.00,11.32,24.42,39.54,1017.01,52.27,N; Tset = 16.00; Ttrue = 0015.6; T1 = 26.50; RH1 = 46.22; T2 = 26.34; RH2 = 46.61
2017.11.17_07:45:07,22.51,31.49,31.51,6.13,4.71,7.10,23.31,2.95,1009.46,27.05,30.60,39.10,8.30,8.68,10.36,24.43,40.26,1017.06,54.31,N; Tset = 17.00; Ttrue = 0017.0; T1 = 26.44; RH1 = 48.68; T2 = 26.33; RH2 = 48.02
2017.11.17_07:46:17,23.64,26.20,39.74,6.15,5.19,7.87,23.29,2.97,1009.50,33.91,27.73,34.72,9.03,10.90,10.67,24.44,42.25,1017.09,57.88,N; Tset = 18.00; Ttrue = 0017.5; T1 = 26.40; RH1 = 52.13; T2 = 26.33; RH2 = 51.13
2017.11.17_07:47:25,24.19,31.79,31.98,5.06,4.59,7.53,23.29,2.97,1009.55,27.64,30.52,38.22,7.36,9.31,11.27,24.45,43.55,1017.15,59.97,N; Tset = 18.80; Ttrue = 0018.6; T1 = 26.36; RH1 = 54.08; T2 = 26.32; RH2 = 53.12
2017.11.17_07:48:35,26.35,27.52,32.96,5.46,4.83,6.39,23.29,2.97,1009.64,59.44,33.19,36.69,8.27,9.75,12.17,24.47,45.15,1017.20,62.56,N; Tset = 19.80; Ttrue = 0019.5; T1 = 26.32; RH1 = 56.76; T2 = 26.32; RH2 = 55.30
2017.11.17_07:49:43,29.68,36.22,35.78,7.88,4.98,8.45,23.29,2.98,1009.69,31.48,33.96,40.94,9.06,10.81,13.50,24.47,47.00,1017.28,65.40,N; Tset = 20.60; Ttrue = 0020.2; T1 = 26.29; RH1 = 59.43; T2 = 26.32; RH2 = 57.84
2017.11.17_07:50:51,23.13,28.54,33.92,4.96,5.01,7.39,23.29,2.97,1009.71,29.29,27.59,34.51,8.19,10.07,10.97,24.47,48.67,1017.30,67.87,N; Tset = 21.40; Ttrue = 0021.1; T1 = 26.27; RH1 = 61.74; T2 = 26.32; RH2 = 60.04
2017.11.17_07:51:59,25.15,29.48,33.75,5.44,5.26,7.73,23.29,2.95,1009.75,30.23,29.65,32.77,8.74,10.54,10.25,24.47,50.54,1017.34,70.67,N; Tset = 22.20; Ttrue = 0022.0; T1 = 26.25; RH1 = 64.40; T2 = 26.32; RH2 = 62.46
2017.11.17_07:53:07,26.30,31.23,30.31,5.55,6.31,7.09,23.30,2.95,1009.75,29.35,31.54,39.01,8.84,10.63,10.90,24.47,52.63,1017.38,73.72,N; Tset = 23.00; Ttrue = 0022.8; T1 = 26.26; RH1 = 67.19; T2 = 26.32; RH2 = 65.12
2017.11.17_07:54:15,29.07,30.52,37.92,4.75,5.90,8.75,23.31,2.95,1009.79,29.29,34.51,43.88,9.24,11.49,10.91,24.47,54.76,1017.38,76.73,N; Tset = 23.80; Ttrue = 0023.6; T1 = 26.27; RH1 = 69.93; T2 = 26.33; RH2 = 67.81
2017.11.17_07:55:23,26.20,30.67,35.53,5.60,6.77,7.65,23.31,2.97,1009.74,33.64,36.55,37.26,9.40,11.29,11.88,24.49,56.86,1017.35,79.62,N; Tset = 24.60; Ttrue = 0024.3; T1 = 26.29; RH1 = 72.51; T2 = 26.33; RH2 = 70.42
2017.11.17_07:56:31,29.57,29.74,32.73,7.57,6.22,6.93,23.31,2.97,1009.85,29.39,34.44,37.80,11.00,10.99,11.32,24.49,58.95,1017.43,82.56,N; Tset = 25.40; Ttrue = 0025.1; T1 = 26.31; RH1 = 75.05; T2 = 26.33; RH2 = 73.02
2017.11.17_07:57:37,26.31,36.39,37.27,6.53,6.88,7.84,23.31,2.97,1009.88,35.96,37.69,42.32,10.25,10.33,13.34,24.48,61.15,1017.47,85.63,N; Tset = 26.00; Ttrue = 0025.8; T1 = 26.34; RH1 = 77.72; T2 = 26.33; RH2 = 75.70
2017.11.17_07:58:45,39.13,32.92,35.11,4.84,5.30,7.83,23.31,2.98,1009.95,34.86,42.43,48.59,10.23,11.36,11.35,24.49,63.42,1017.56,88.84,N; Tset = 26.80; Ttrue = 0026.6; T1 = 26.38; RH1 = 80.47; T2 = 26.33; RH2 = 78.52
