2017.11.26_23:31:43,81.63,114.68,148.43,17.58,20.35,25.76,22.13,4.48,977.74,140.39,185.44,231.48,31.20,34.15,38.25,23.18,57.89,984.95,64.58,N; Tset = 12.00; Ttrue = 012.3; T1 = 24.29; RH1 = 53.20; T2 = 23.45; RH2 = 66.74
2017.11.26_23:32:43,84.75,119.84,156.07,18.93,21.36,26.98,22.89,4.64,1011.48,122.06,164.38,206.52,28.93,31.60,37.20,23.97,45.42,1018.89,44.60,N; Tset = 12.00; Ttrue = 012.5; T1 = 25.08; RH1 = 39.32; T2 = 24.23; RH2 = 46.46
2017.11.26_23:33:43,83.53,120.13,156.06,18.81,21.61,26.78,22.89,4.64,1011.49,126.18,171.48,213.12,29.31,31.34,36.75,23.96,41.74,1018.92,41.63,N; Tset = 12.00; Ttrue = 012.7; T1 = 25.04; RH1 = 38.05; T2 = 24.22; RH2 = 42.00
2017.11.26_23:34:43,85.32,121.14,156.52,19.10,21.92,27.51,22.89,4.64,1011.51,130.11,175.94,216.41,30.61,34.08,36.91,23.96,40.00,1018.92,40.98,N; Tset = 12.00; Ttrue = 012.8; T1 = 25.01; RH1 = 37.91; T2 = 24.22; RH2 = 40.97
2017.11.26_23:35:47,86.38,122.19,160.10,18.97,21.27,27.24,22.91,4.63,1011.46,129.83,178.81,218.42,32.22,38.54,37.14,23.96,38.94,1018.89,40.83,N; Tset = 12.40; Ttrue = 012.9; T1 = 24.96; RH1 = 38.08; T2 = 24.21; RH2 = 40.61
2017.11.26_23:36:53,87.17,122.09,159.71,19.51,21.18,26.98,22.91,4.64,1011.40,133.15,178.71,219.15,35.69,33.45,36.98,23.96,38.21,1018.85,40.85,N; Tset = 13.00; Ttrue = 012.5; T1 = 24.89; RH1 = 38.38; T2 = 24.21; RH2 = 40.51
2017.11.26_23:37:59,88.42,124.98,159.30,19.20,22.77,27.53,22.91,4.64,1011.34,130.35,175.59,223.42,31.47,33.70,37.52,23.96,37.34,1018.80,40.33,N; Tset = 13.60; Ttrue = 013.3; T1 = 24.84; RH1 = 37.98; T2 = 24.20; RH2 = 40.05
2017.11.26_23:39:05,86.82,123.90,162.07,20.18,22.72,27.56,22.91,4.64,1011.32,134.70,183.46,228.94,30.85,34.59,39.97,23.96,36.89,1018.78,40.45,N; Tset = 14.20; Ttrue = 014.1; T1 = 24.77; RH1 = 38.58; T2 = 24.19; RH2 = 39.85
2017.11.26_23:40:11,87.38,123.58,161.94,19.54,21.80,27.48,22.91,4.64,1011.32,132.39,172.23,220.93,30.05,33.41,37.61,23.96,37.60,1018.77,42.17,N; Tset = 14.80; Ttrue = 014.5; T1 = 24.72; RH1 = 40.55; T2 = 24.19; RH2 = 41.33
2017.11.26_23:41:15,87.36,125.51,164.00,19.70,22.38,27.88,22.91,4.64,1011.32,141.49,179.39,226.60,31.16,33.72,38.06,23.96,38.18,1018.78,43.36,N; Tset = 15.20; Ttrue = 015.0; T1 = 24.67; RH1 = 41.78; T2 = 24.19; RH2 = 42.54
2017.11.26_23:42:21,90.40,127.45,164.30,20.12,22.37,28.22,22.91,4.64,1011.32,140.76,177.54,227.36,30.74,33.67,37.70,23.96,38.78,1018.77,44.47,N; Tset = 15.80; Ttrue = 015.6; T1 = 24.62; RH1 = 43.04; T2 = 24.18; RH2 = 43.57
