2017.11.05_04:35:19,163.51,229.01,295.33,28.27,33.14,39.72,22.50,8.45,975.15,259.72,341.38,417.72,42.24,46.39,54.84,23.57,71.65,982.25,79.56,N; Tset = 16.20; Ttrue = 0016.6; T1 = 22.54; RH1 = 78.01; T2 = 23.52; RH2 = 80.86
2017.11.05_04:36:19,162.11,236.27,304.10,29.00,32.29,39.95,23.27,8.74,1008.78,192.05,255.93,321.35,31.28,37.05,42.23,24.38,58.46,1016.12,56.18,N; Tset = 16.20; Ttrue = 0017.0; T1 = 23.24; RH1 = 57.65; T2 = 24.31; RH2 = 58.74
2017.11.05_04:37:19,167.79,236.96,308.02,30.02,32.80,40.05,23.27,8.74,1008.78,189.95,257.35,318.44,30.52,36.91,42.90,24.37,53.33,1016.13,51.21,N; Tset = 16.20; Ttrue = 0017.2; T1 = 23.21; RH1 = 54.28; T2 = 24.31; RH2 = 51.95
2017.11.05_04:38:19,162.87,234.07,304.58,29.77,34.59,40.16,23.27,8.74,1008.79,192.58,256.57,321.46,30.41,36.67,42.90,24.36,50.97,1016.13,49.52,N; Tset = 16.20; Ttrue = 0017.4; T1 = 23.17; RH1 = 52.63; T2 = 24.32; RH2 = 50.20
2017.11.05_04:39:21,166.00,235.01,304.41,29.81,34.00,39.04,23.27,8.74,1008.81,193.78,257.97,320.18,29.81,35.59,43.30,24.36,49.54,1016.13,48.72,N; Tset = 16.40; Ttrue = 0016.6; T1 = 23.13; RH1 = 51.84; T2 = 24.32; RH2 = 49.45
2017.11.05_04:40:27,163.33,234.58,305.13,28.44,32.15,39.60,23.27,8.74,1008.78,187.94,254.64,317.40,30.29,35.66,42.08,24.36,47.64,1016.12,46.96,N; Tset = 17.00; Ttrue = 0016.4; T1 = 23.09; RH1 = 49.92; T2 = 24.32; RH2 = 47.83
2017.11.05_04:41:33,169.68,238.05,306.30,29.72,32.29,39.64,23.27,8.74,1008.79,187.61,255.46,317.82,31.16,38.49,45.26,24.37,46.06,1016.14,45.74,N; Tset = 17.60; Ttrue = 0017.5; T1 = 23.03; RH1 = 49.11; T2 = 24.32; RH2 = 46.30
2017.11.05_04:42:37,167.10,238.10,303.82,29.56,32.22,39.18,23.27,8.74,1008.80,192.28,258.21,316.29,30.80,36.92,42.72,24.37,46.12,1016.14,46.95,N; Tset = 18.00; Ttrue = 0017.9; T1 = 22.97; RH1 = 50.96; T2 = 24.32; RH2 = 47.18
2017.11.05_04:43:43,165.55,238.56,304.11,30.26,33.74,38.47,23.27,8.72,1008.81,192.69,258.34,321.14,31.00,37.01,43.61,24.36,46.53,1016.14,48.20,N; Tset = 18.60; Ttrue = 0018.3; T1 = 22.92; RH1 = 52.47; T2 = 24.31; RH2 = 48.45
2017.11.05_04:44:47,165.83,238.96,302.63,29.44,33.63,39.16,23.27,8.73,1008.81,189.71,275.18,321.55,29.29,37.03,42.25,24.37,46.74,1016.14,48.97,N; Tset = 19.00; Ttrue = 0019.0; T1 = 22.86; RH1 = 53.56; T2 = 24.32; RH2 = 49.15
2017.11.05_04:45:53,162.70,236.56,303.46,29.99,32.95,38.24,23.27,8.74,1008.81,193.28,262.36,321.26,29.83,36.87,43.54,24.36,47.35,1016.13,50.23,N; Tset = 19.60; Ttrue = 0019.4; T1 = 22.82; RH1 = 55.25; T2 = 24.31; RH2 = 50.27
