2017.11.26_22:44:41,68.57,99.24,126.21,16.57,17.13,22.87,21.99,4.48,978.19,132.67,182.32,227.85,32.11,34.12,41.23,23.04,66.64,985.37,86.19,N; Tset = 11.00; Ttrue = 0012.1; T1 = 26.11; RH1 = 63.12; T2 = 24.88; RH2 = 80.74
2017.11.26_22:45:41,71.13,100.27,133.08,16.29,17.28,23.79,22.76,4.63,1011.95,107.68,148.13,180.77,26.38,30.57,33.44,23.84,51.36,1019.37,58.08,N; Tset = 11.00; Ttrue = 0012.5; T1 = 26.93; RH1 = 44.93; T2 = 25.68; RH2 = 55.70
2017.11.26_22:46:41,71.41,100.89,133.03,15.97,18.39,23.99,22.76,4.63,1011.93,109.09,148.95,185.41,28.30,29.42,33.63,23.84,45.84,1019.36,52.27,N; Tset = 11.00; Ttrue = 0012.8; T1 = 26.87; RH1 = 42.26; T2 = 25.66; RH2 = 48.38
2017.11.26_22:47:41,71.26,102.81,132.75,16.58,18.60,23.68,22.77,4.62,1011.90,108.91,147.70,184.57,30.86,30.18,32.93,23.84,43.27,1019.33,50.79,N; Tset = 11.00; Ttrue = 0013.0; T1 = 26.82; RH1 = 41.72; T2 = 25.65; RH2 = 46.48
2017.11.26_22:48:45,72.59,104.04,133.52,16.35,18.73,23.74,22.76,4.61,1011.87,109.33,148.23,189.70,26.71,29.46,33.49,23.84,41.72,1019.31,50.22,N; Tset = 11.40; Ttrue = 0013.2; T1 = 26.75; RH1 = 41.70; T2 = 25.63; RH2 = 45.69
2017.11.26_22:49:51,72.82,104.87,137.27,16.74,18.69,23.33,22.78,4.62,1011.85,111.49,151.57,186.28,26.35,29.79,33.16,23.85,40.63,1019.30,49.93,N; Tset = 12.00; Ttrue = 0013.3; T1 = 26.67; RH1 = 41.89; T2 = 25.61; RH2 = 45.34
2017.11.26_22:50:57,74.80,104.88,137.38,17.43,19.97,24.19,22.78,4.62,1011.85,111.98,152.25,187.86,26.49,29.85,32.79,23.86,39.89,1019.29,49.88,N; Tset = 12.60; Ttrue = 0013.5; T1 = 26.58; RH1 = 42.22; T2 = 25.60; RH2 = 45.20
2017.11.26_22:52:03,73.26,104.41,139.64,16.78,18.49,23.78,22.78,4.62,1011.82,112.38,150.11,186.45,26.18,30.44,35.34,23.87,39.38,1019.27,49.94,N; Tset = 13.20; Ttrue = 0013.0; T1 = 26.48; RH1 = 42.63; T2 = 25.60; RH2 = 45.18
2017.11.26_22:53:09,72.80,103.96,136.02,16.57,18.51,24.13,22.78,4.62,1011.81,112.58,146.20,186.83,26.00,29.71,34.18,23.88,38.48,1019.25,49.05,N; Tset = 13.80; Ttrue = 0013.3; T1 = 26.39; RH1 = 42.00; T2 = 25.58; RH2 = 44.58
2017.11.26_22:54:15,73.02,105.70,136.91,17.04,18.96,24.21,22.78,4.62,1011.80,113.28,150.13,188.88,26.13,29.69,34.19,23.88,37.76,1019.23,48.60,N; Tset = 14.40; Ttrue = 0014.4; T1 = 26.29; RH1 = 42.12; T2 = 25.57; RH2 = 43.93
2017.11.26_22:55:19,73.69,105.81,136.51,17.72,18.39,24.21,22.79,4.62,1011.80,116.84,148.73,190.23,27.99,30.36,33.67,23.90,38.36,1019.24,50.31,N; Tset = 14.80; Ttrue = 0014.7; T1 = 26.22; RH1 = 44.11; T2 = 25.56; RH2 = 45.24
