2017.11.24_04:30:05,9.28,11.30,14.01,2.89,1.66,3.94,20.90,3.91,977.03,15.03,21.83,28.31,14.09,14.00,13.98,22.29,66.90,982.91,87.51,N; Tset = 10.00; Ttrue = 0012.4; T1 = 24.48; RH1 = 68.28; T2 = 23.93; RH2 = 82.24
2017.11.24_04:31:05,10.18,12.25,14.35,3.13,1.75,4.20,21.62,4.05,1010.80,12.70,17.00,22.19,8.37,9.62,9.76,23.07,51.64,1018.05,59.12,N; Tset = 10.00; Ttrue = 0012.9; T1 = 25.25; RH1 = 48.63; T2 = 24.69; RH2 = 57.00
2017.11.24_04:32:13,9.62,12.78,14.32,3.20,2.34,3.89,21.62,4.05,1010.78,12.18,15.77,21.92,8.95,9.27,9.75,23.05,46.16,1018.05,53.08,N; Tset = 10.80; Ttrue = 0013.1; T1 = 25.19; RH1 = 45.55; T2 = 24.67; RH2 = 49.35
2017.11.24_04:33:25,9.27,13.09,14.13,2.96,2.32,3.89,21.60,4.05,1010.80,13.24,16.85,22.65,8.13,9.38,9.96,23.05,43.63,1018.08,51.58,N; Tset = 12.00; Ttrue = 0013.3; T1 = 25.14; RH1 = 44.89; T2 = 24.64; RH2 = 47.51
2017.11.24_04:34:35,9.85,12.54,15.02,2.59,2.27,4.03,21.60,4.06,1010.79,12.87,16.70,22.43,7.87,10.23,10.08,23.03,42.18,1018.06,51.00,N; Tset = 13.00; Ttrue = 0012.5; T1 = 25.09; RH1 = 44.65; T2 = 24.62; RH2 = 46.83
2017.11.24_04:35:45,10.44,12.49,15.64,2.80,2.04,4.39,21.60,4.07,1010.74,13.30,16.48,21.37,8.58,10.69,10.11,23.03,40.37,1018.00,49.24,N; Tset = 14.00; Ttrue = 0013.5; T1 = 25.03; RH1 = 43.18; T2 = 24.60; RH2 = 45.31
2017.11.24_04:36:55,9.65,13.23,14.58,2.61,2.00,4.26,21.60,4.07,1010.73,12.76,16.66,22.13,7.39,9.28,9.37,23.02,39.89,1018.00,49.83,N; Tset = 15.00; Ttrue = 0015.0; T1 = 24.98; RH1 = 44.41; T2 = 24.58; RH2 = 45.27
2017.11.24_04:38:05,10.48,12.70,14.76,2.65,2.18,4.10,21.58,4.07,1010.72,13.79,16.86,23.60,8.80,9.77,9.52,23.01,41.34,1018.00,53.17,N; Tset = 16.00; Ttrue = 0015.5; T1 = 24.94; RH1 = 47.71; T2 = 24.57; RH2 = 48.03
2017.11.24_04:39:15,10.18,12.41,15.78,3.37,2.15,4.08,21.57,4.09,1010.77,17.72,16.93,23.92,8.97,10.06,9.56,23.01,42.35,1018.04,55.12,N; Tset = 17.00; Ttrue = 0016.7; T1 = 24.91; RH1 = 49.52; T2 = 24.56; RH2 = 49.87
2017.11.24_04:40:25,10.06,12.44,14.41,2.92,2.28,3.31,21.57,4.09,1010.77,14.40,18.13,23.49,7.91,9.68,10.00,23.00,43.76,1018.03,57.74,N; Tset = 18.00; Ttrue = 0017.8; T1 = 24.88; RH1 = 52.19; T2 = 24.55; RH2 = 51.99
2017.11.24_04:41:33,9.73,12.46,15.03,2.59,2.31,4.27,21.56,4.09,1010.76,15.13,18.74,23.52,8.99,9.78,9.89,22.99,45.72,1018.02,61.05,N; Tset = 18.80; Ttrue = 0018.5; T1 = 24.85; RH1 = 55.30; T2 = 24.54; RH2 = 54.88
