2017.11.02_13:36:57,42.12,53.25,63.54,8.04,9.34,11.81,22.28,9.67,966.19,55.02,66.98,78.16,14.30,19.45,20.57,23.06,71.47,973.14,77.55,N; Tset = 14.60; Ttrue = 015.4; T1 = 21.90; RH1 = 76.47; T2 = 22.72; RH2 = 80.47
2017.11.02_13:37:57,43.56,49.73,58.57,7.04,6.83,10.14,23.04,9.87,999.51,44.70,47.18,58.12,7.89,10.74,11.69,23.84,57.44,1006.71,53.32,N; Tset = 14.60; Ttrue = 015.7; T1 = 22.60; RH1 = 54.85; T2 = 23.48; RH2 = 56.98
2017.11.02_13:38:57,39.88,45.98,56.79,9.77,8.48,10.71,23.04,9.76,999.46,48.62,49.95,60.49,6.45,9.98,10.92,23.84,52.00,1006.66,48.04,N; Tset = 14.60; Ttrue = 015.9; T1 = 22.58; RH1 = 51.17; T2 = 23.51; RH2 = 49.58
2017.11.02_13:39:57,37.62,44.07,56.99,7.24,9.49,9.12,23.04,9.63,999.51,39.95,43.47,52.13,7.62,8.79,10.63,23.84,49.60,1006.73,46.41,N; Tset = 14.60; Ttrue = 016.0; T1 = 22.59; RH1 = 49.47; T2 = 23.53; RH2 = 47.80
2017.11.02_13:40:59,36.37,44.17,53.14,9.24,6.51,9.30,23.05,9.57,999.52,45.11,46.48,50.75,7.67,9.26,11.21,23.84,48.21,1006.74,45.79,N; Tset = 14.80; Ttrue = 016.1; T1 = 22.59; RH1 = 48.86; T2 = 23.56; RH2 = 47.06
2017.11.02_13:42:05,33.98,49.17,49.17,7.84,7.77,11.05,23.07,9.49,999.46,40.92,44.29,55.74,5.04,9.36,11.55,23.87,47.18,1006.70,45.48,N; Tset = 15.40; Ttrue = 015.3; T1 = 22.60; RH1 = 48.66; T2 = 23.59; RH2 = 46.65
2017.11.02_13:43:09,38.40,39.81,43.86,7.64,6.36,8.68,23.08,9.38,999.47,36.00,39.75,50.57,5.59,10.53,12.25,23.89,45.79,1006.71,44.32,N; Tset = 15.80; Ttrue = 015.4; T1 = 22.60; RH1 = 47.38; T2 = 23.61; RH2 = 45.57
2017.11.02_13:44:15,35.98,45.18,51.58,6.21,5.68,9.22,23.10,9.31,999.48,36.55,42.48,50.43,7.01,10.25,12.45,23.92,44.48,1006.74,43.29,N; Tset = 16.40; Ttrue = 016.3; T1 = 22.60; RH1 = 46.59; T2 = 23.64; RH2 = 44.30
2017.11.02_13:45:21,36.52,39.92,47.36,6.75,6.42,8.68,23.12,9.27,999.49,35.41,42.47,48.14,7.62,10.45,10.79,23.95,44.36,1006.76,44.07,N; Tset = 17.00; Ttrue = 016.8; T1 = 22.59; RH1 = 47.84; T2 = 23.68; RH2 = 44.77
2017.11.02_13:46:25,35.33,40.70,44.77,7.33,7.23,10.06,23.14,9.17,999.50,39.24,42.81,45.55,7.44,8.96,11.11,23.98,44.66,1006.77,45.16,N; Tset = 17.40; Ttrue = 017.2; T1 = 22.57; RH1 = 49.23; T2 = 23.71; RH2 = 45.82
2017.11.02_13:47:31,32.41,39.90,47.04,8.51,5.83,7.98,23.16,9.05,999.54,34.65,39.20,47.90,4.67,8.68,9.40,24.00,44.90,1006.76,45.97,N; Tset = 18.00; Ttrue = 017.8; T1 = 22.53; RH1 = 50.35; T2 = 23.72; RH2 = 46.66
2017.11.02_13:48:35,32.77,39.97,45.31,7.65,6.64,7.79,23.19,8.98,999.59,33.74,39.86,46.68,5.12,9.59,9.71,24.02,45.30,1006.83,46.89,N; Tset = 18.40; Ttrue = 018.2; T1 = 22.43; RH1 = 51.76; T2 = 23.71; RH2 = 47.62
2017.11.02_13:49:39,43.56,46.81,55.68,8.17,8.89,9.76,23.22,8.94,999.61,45.85,51.10,58.19,8.37,9.55,11.33,24.04,45.82,1006.85,47.86,N; Tset = 18.80; Ttrue = 018.7; T1 = 22.33; RH1 = 53.29; T2 = 23.67; RH2 = 48.69
2017.11.02_13:50:43,41.01,47.68,56.66,8.54,8.89,10.84,23.24,8.97,999.62,39.87,45.10,51.74,7.90,9.64,10.24,24.04,46.47,1006.82,48.91,N; Tset = 19.20; Ttrue = 019.1; T1 = 22.21; RH1 = 54.94; T2 = 23.64; RH2 = 49.82
2017.11.02_13:51:47,34.91,39.76,46.98,8.51,7.48,8.65,23.23,8.95,999.63,38.73,43.86,49.64,5.54,9.33,11.04,24.03,47.21,1006.83,50.06,N; Tset = 19.60; Ttrue = 019.5; T1 = 22.10; RH1 = 56.59; T2 = 23.62; RH2 = 51.00
2017.11.02_13:52:53,33.35,38.17,43.07,4.99,7.95,8.46,23.23,8.96,999.66,34.56,36.25,44.67,5.45,8.00,10.19,24.02,48.02,1006.82,51.23,N; Tset = 20.20; Ttrue = 020.0; T1 = 22.02; RH1 = 58.18; T2 = 23.60; RH2 = 52.22
2017.11.02_13:53:57,31.73,37.14,42.69,5.69,6.48,8.38,23.22,8.97,999.63,36.46,38.35,46.27,6.33,8.52,10.88,24.00,48.88,1006.78,52.48,N; Tset = 20.60; Ttrue = 020.4; T1 = 21.97; RH1 = 59.75; T2 = 23.59; RH2 = 53.43
2017.11.02_13:55:01,31.91,38.74,43.87,6.77,6.83,7.14,23.21,8.98,999.65,33.41,38.21,42.30,5.50,8.65,9.33,23.98,49.78,1006.81,53.72,N; Tset = 21.00; Ttrue = 020.8; T1 = 21.93; RH1 = 61.26; T2 = 23.58; RH2 = 54.64
2017.11.02_13:56:05,32.19,34.44,40.53,7.43,4.82,7.31,23.19,9.01,999.65,35.36,38.10,43.80,6.34,9.54,10.98,23.96,50.69,1006.84,54.95,N; Tset = 21.40; Ttrue = 021.2; T1 = 21.91; RH1 = 62.66; T2 = 23.57; RH2 = 55.85
2017.11.02_13:57:07,31.01,33.26,42.65,6.88,4.74,8.77,23.19,9.01,999.67,31.24,36.78,40.85,5.85,8.60,10.03,23.96,51.60,1006.84,56.11,N; Tset = 21.60; Ttrue = 021.5; T1 = 21.90; RH1 = 63.98; T2 = 23.57; RH2 = 57.03
