2017.11.17_01:53:15,210.26,297.42,382.14,41.96,46.19,54.59,22.26,4.62,971.05,281.45,367.15,453.57,45.85,51.07,57.07,23.36,60.48,978.32,72.27,N; Tset = 10.00; Ttrue = 017.6; T1 = 23.93; RH1 = 64.41; T2 = 23.74; RH2 = 71.26
2017.11.17_01:54:15,220.19,307.78,396.02,44.43,47.88,55.38,23.03,4.78,1004.52,246.71,327.50,405.32,46.65,50.22,55.98,24.16,52.88,1012.05,58.00,N; Tset = 10.00; Ttrue = 017.8; T1 = 24.73; RH1 = 54.53; T2 = 24.53; RH2 = 58.29
2017.11.17_01:55:23,216.42,309.14,394.13,43.55,48.88,57.12,23.03,4.79,1004.52,250.77,333.58,408.57,44.34,49.53,57.78,24.15,50.23,1012.03,55.48,N; Tset = 10.80; Ttrue = 017.9; T1 = 24.71; RH1 = 53.22; T2 = 24.52; RH2 = 54.73
2017.11.17_01:56:35,222.85,310.06,399.66,45.52,49.21,56.68,23.03,4.80,1004.50,246.37,328.54,407.20,44.67,51.26,56.75,24.16,49.11,1012.03,54.97,N; Tset = 12.00; Ttrue = 018.0; T1 = 24.70; RH1 = 53.09; T2 = 24.51; RH2 = 53.96
2017.11.17_01:57:45,221.85,308.87,397.90,44.54,48.98,55.60,23.03,4.80,1004.47,249.44,333.32,407.94,44.17,48.84,54.69,24.15,48.61,1012.03,55.06,N; Tset = 13.00; Ttrue = 017.9; T1 = 24.68; RH1 = 53.33; T2 = 24.51; RH2 = 53.88
2017.11.17_01:58:55,215.63,306.24,392.14,45.10,48.11,55.53,23.03,4.80,1004.49,248.96,330.94,409.10,44.51,48.67,54.54,24.15,48.08,1012.03,54.66,N; Tset = 14.00; Ttrue = 016.9; T1 = 24.67; RH1 = 52.88; T2 = 24.51; RH2 = 53.63
2017.11.17_02:00:05,218.46,308.51,397.31,44.03,49.26,55.95,23.01,4.80,1004.50,247.43,327.04,401.32,43.72,48.21,54.24,24.16,46.53,1012.05,52.54,N; Tset = 15.00; Ttrue = 016.2; T1 = 24.64; RH1 = 50.76; T2 = 24.50; RH2 = 51.78
2017.11.17_02:01:15,226.87,310.83,401.89,44.87,49.90,56.50,23.01,4.80,1004.53,243.66,327.87,400.72,43.66,48.75,54.71,24.16,44.98,1012.05,50.63,N; Tset = 16.00; Ttrue = 015.6; T1 = 24.61; RH1 = 49.02; T2 = 24.49; RH2 = 49.90
2017.11.17_02:02:25,226.12,307.68,398.06,46.08,50.13,56.52,23.01,4.81,1004.52,239.89,325.26,401.39,42.87,49.37,57.39,24.16,43.62,1012.05,49.10,N; Tset = 17.00; Ttrue = 016.5; T1 = 24.58; RH1 = 47.70; T2 = 24.48; RH2 = 48.33
2017.11.17_02:03:35,220.99,310.07,397.91,44.80,48.03,56.25,23.01,4.82,1004.53,249.27,324.92,406.04,43.61,48.00,53.78,24.15,43.48,1012.06,49.66,N; Tset = 18.00; Ttrue = 017.9; T1 = 24.55; RH1 = 48.80; T2 = 24.48; RH2 = 48.37
2017.11.17_02:04:43,217.88,311.23,396.19,44.57,49.34,56.33,22.99,4.82,1004.52,247.03,330.92,410.69,43.86,49.80,54.89,24.14,45.07,1012.05,52.56,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.53; RH1 = 52.00; T2 = 24.48; RH2 = 50.88
