2017.11.05_01:13:11,184.41,255.40,328.39,33.86,37.57,44.96,22.52,8.31,976.53,288.00,379.62,458.48,50.68,53.24,60.29,23.55,73.16,983.65,81.23,N; Tset = 15.40; Ttrue = 0016.3; T1 = 22.73; RH1 = 78.46; T2 = 23.50; RH2 = 82.72
2017.11.05_01:14:11,189.90,270.45,342.52,36.63,38.83,46.36,23.31,8.57,1010.23,214.41,279.43,346.25,37.41,41.32,48.39,24.36,59.33,1017.58,56.50,N; Tset = 15.40; Ttrue = 0016.7; T1 = 23.44; RH1 = 56.80; T2 = 24.29; RH2 = 59.53
2017.11.05_01:15:11,187.78,267.03,340.88,37.14,39.92,46.60,23.31,8.57,1010.24,212.14,281.76,347.33,34.18,41.18,49.34,24.35,53.56,1017.59,50.85,N; Tset = 15.40; Ttrue = 0016.9; T1 = 23.39; RH1 = 53.18; T2 = 24.29; RH2 = 51.69
2017.11.05_01:16:11,192.36,269.22,344.12,35.56,40.42,48.14,23.31,8.57,1010.23,218.87,286.65,353.46,34.65,43.00,48.91,24.35,51.01,1017.59,49.02,N; Tset = 15.40; Ttrue = 0017.1; T1 = 23.35; RH1 = 51.38; T2 = 24.30; RH2 = 49.76
2017.11.05_01:17:13,192.15,269.34,343.92,35.32,38.18,46.29,23.32,8.56,1010.23,215.35,289.97,350.84,34.32,40.62,47.62,24.36,49.44,1017.55,48.12,N; Tset = 15.60; Ttrue = 0016.3; T1 = 23.32; RH1 = 50.53; T2 = 24.31; RH2 = 48.92
2017.11.05_01:18:19,192.67,267.28,343.23,35.57,38.84,45.76,23.33,8.55,1010.22,212.44,290.77,350.86,33.57,42.49,48.86,24.37,47.48,1017.56,46.33,N; Tset = 16.20; Ttrue = 0015.7; T1 = 23.28; RH1 = 48.64; T2 = 24.31; RH2 = 47.25
2017.11.05_01:19:23,193.07,269.64,344.87,35.98,39.72,45.95,23.33,8.57,1010.22,212.68,281.75,347.68,34.37,41.84,49.08,24.37,45.50,1017.58,44.51,N; Tset = 16.60; Ttrue = 0016.4; T1 = 23.21; RH1 = 47.06; T2 = 24.31; RH2 = 45.26
2017.11.05_01:20:29,191.47,269.75,340.03,36.42,38.12,45.68,23.33,8.57,1010.24,220.41,288.41,351.04,34.74,41.40,47.75,24.36,44.86,1017.57,44.79,N; Tset = 17.20; Ttrue = 0017.2; T1 = 23.13; RH1 = 48.02; T2 = 24.31; RH2 = 45.14
2017.11.05_01:21:35,190.83,268.00,340.92,35.51,39.81,45.35,23.33,8.59,1010.23,216.68,288.94,356.45,36.15,41.81,48.40,24.37,45.22,1017.56,46.20,N; Tset = 17.80; Ttrue = 0017.5; T1 = 23.07; RH1 = 49.83; T2 = 24.32; RH2 = 46.44
2017.11.05_01:22:39,193.02,267.50,345.37,35.84,37.81,48.90,23.33,8.59,1010.17,219.17,287.98,355.96,33.92,41.51,48.64,24.38,45.38,1017.54,46.94,N; Tset = 18.20; Ttrue = 0018.0; T1 = 23.02; RH1 = 50.86; T2 = 24.32; RH2 = 47.20
2017.11.05_01:23:45,191.00,269.65,349.08,35.98,40.03,46.33,23.33,8.59,1010.17,216.45,289.15,359.47,34.33,40.50,48.99,24.38,45.75,1017.54,47.96,N; Tset = 18.80; Ttrue = 0018.6; T1 = 22.96; RH1 = 52.29; T2 = 24.32; RH2 = 48.10
2017.11.05_01:24:49,190.71,269.00,348.64,36.59,39.75,48.17,23.35,8.60,1010.20,223.03,297.67,360.42,36.32,41.53,49.89,24.38,46.36,1017.53,49.18,N; Tset = 19.20; Ttrue = 0019.0; T1 = 22.90; RH1 = 53.87; T2 = 24.32; RH2 = 49.26
2017.11.05_01:25:53,192.58,270.49,345.95,36.82,39.22,46.32,23.35,8.61,1010.18,221.31,298.60,361.80,34.60,41.07,49.17,24.39,46.95,1017.53,50.22,N; Tset = 19.60; Ttrue = 0019.5; T1 = 22.85; RH1 = 55.24; T2 = 24.32; RH2 = 50.25
2017.11.05_01:26:57,191.62,270.80,343.38,36.02,39.08,47.38,23.35,8.62,1010.17,223.46,295.17,360.88,34.24,40.96,47.99,24.38,47.59,1017.54,51.32,N; Tset = 20.00; Ttrue = 0019.9; T1 = 22.81; RH1 = 56.65; T2 = 24.33; RH2 = 51.29
2017.11.05_01:28:01,187.53,267.61,346.94,37.25,39.27,45.68,23.35,8.63,1010.17,225.16,297.53,362.49,34.43,42.43,49.43,24.39,48.34,1017.53,52.49,N; Tset = 20.40; Ttrue = 0020.3; T1 = 22.76; RH1 = 58.15; T2 = 24.33; RH2 = 52.44
2017.11.05_01:29:07,190.04,269.76,346.11,37.46,40.45,46.83,23.35,8.65,1010.15,226.72,298.67,367.69,37.56,43.62,48.73,24.39,49.08,1017.52,53.61,N; Tset = 21.00; Ttrue = 0020.8; T1 = 22.73; RH1 = 59.54; T2 = 24.33; RH2 = 53.53
