2017.11.27_01:11:27,98.02,138.97,179.37,23.30,24.52,30.50,22.47,4.94,975.17,156.30,210.39,262.58,34.22,37.56,42.45,23.47,58.08,983.61,64.73,N; Tset = 12.40; Ttrue = 012.7; T1 = 24.81; RH1 = 52.75; T2 = 23.80; RH2 = 66.53
2017.11.27_01:12:27,102.89,145.23,186.92,23.27,25.66,30.92,23.29,5.12,1009.96,140.02,191.96,240.34,32.37,36.74,40.78,24.29,45.71,1017.49,44.91,N; Tset = 12.40; Ttrue = 012.9; T1 = 25.61; RH1 = 39.15; T2 = 24.60; RH2 = 46.58
2017.11.27_01:13:27,99.96,144.28,188.02,22.52,24.90,32.02,23.30,5.12,1009.96,146.49,195.10,244.97,32.06,36.83,40.53,24.28,42.05,1017.46,42.01,N; Tset = 12.40; Ttrue = 013.1; T1 = 25.56; RH1 = 37.99; T2 = 24.59; RH2 = 42.23
2017.11.27_01:14:27,100.35,146.90,188.15,21.71,25.25,31.46,23.31,5.12,1009.93,154.56,193.96,244.63,33.41,37.29,41.48,24.29,40.33,1017.45,41.36,N; Tset = 12.40; Ttrue = 013.2; T1 = 25.52; RH1 = 37.87; T2 = 24.59; RH2 = 41.21
2017.11.27_01:15:31,100.16,145.66,187.10,21.94,25.59,31.99,23.31,5.12,1009.95,148.13,194.93,246.54,33.60,36.82,42.54,24.29,39.29,1017.45,41.24,N; Tset = 12.80; Ttrue = 013.3; T1 = 25.47; RH1 = 38.08; T2 = 24.58; RH2 = 40.87
2017.11.27_01:16:37,100.03,146.29,186.60,23.58,25.37,32.02,23.31,5.13,1009.94,150.25,198.34,243.93,35.47,37.10,41.78,24.30,38.58,1017.43,41.25,N; Tset = 13.40; Ttrue = 013.0; T1 = 25.42; RH1 = 38.39; T2 = 24.57; RH2 = 40.78
2017.11.27_01:17:43,99.17,146.79,187.48,22.89,25.70,32.31,23.33,5.15,1009.94,149.36,198.36,247.69,33.27,37.09,41.15,24.31,37.73,1017.40,40.76,N; Tset = 14.00; Ttrue = 013.6; T1 = 25.37; RH1 = 38.02; T2 = 24.57; RH2 = 40.38
2017.11.27_01:18:47,102.56,146.54,190.01,23.67,26.11,31.38,23.34,5.15,1009.95,148.36,198.51,246.15,33.48,36.62,41.41,24.31,37.20,1017.40,40.74,N; Tset = 14.40; Ttrue = 014.4; T1 = 25.30; RH1 = 38.44; T2 = 24.56; RH2 = 40.08
2017.11.27_01:19:53,103.60,147.10,189.03,22.71,25.97,31.69,23.34,5.16,1009.96,150.53,201.67,248.21,32.82,36.10,40.76,24.30,37.80,1017.42,42.32,N; Tset = 15.00; Ttrue = 014.8; T1 = 25.24; RH1 = 40.30; T2 = 24.56; RH2 = 41.41
2017.11.27_01:20:59,102.07,146.29,190.22,22.85,25.99,32.25,23.34,5.17,1010.00,155.91,202.43,251.47,34.46,36.64,41.10,24.30,38.39,1017.43,43.53,N; Tset = 15.60; Ttrue = 015.4; T1 = 25.18; RH1 = 41.57; T2 = 24.56; RH2 = 42.62
2017.11.27_01:22:03,104.17,147.70,190.06,22.36,25.98,31.82,23.34,5.17,1009.97,151.35,200.98,253.58,34.00,36.71,42.06,24.30,38.96,1017.41,44.62,N; Tset = 16.00; Ttrue = 015.9; T1 = 25.13; RH1 = 42.80; T2 = 24.56; RH2 = 43.61
2017.11.27_01:23:09,101.26,149.02,190.64,22.56,26.44,32.76,23.34,5.19,1009.93,153.87,203.42,259.62,35.27,38.76,41.82,24.31,39.69,1017.39,45.87,N; Tset = 16.60; Ttrue = 016.4; T1 = 25.09; RH1 = 44.16; T2 = 24.56; RH2 = 44.78
2017.11.27_01:24:13,103.14,149.00,189.61,23.75,26.01,32.38,23.34,5.19,1009.92,153.15,204.23,258.94,34.14,36.84,42.58,24.31,40.47,1017.37,47.11,N; Tset = 17.00; Ttrue = 016.8; T1 = 25.05; RH1 = 45.48; T2 = 24.56; RH2 = 45.95
2017.11.27_01:25:17,104.45,147.85,189.46,23.10,25.57,31.93,23.34,5.19,1009.94,164.42,203.75,257.17,34.61,36.39,41.03,24.30,41.28,1017.38,48.32,N; Tset = 17.40; Ttrue = 017.3; T1 = 25.02; RH1 = 46.76; T2 = 24.56; RH2 = 47.12
2017.11.27_01:26:23,100.17,147.25,193.15,23.41,26.34,31.75,23.34,5.21,1009.90,153.63,204.05,258.91,34.22,37.27,41.85,24.31,42.14,1017.38,49.57,N; Tset = 18.00; Ttrue = 017.8; T1 = 25.00; RH1 = 48.06; T2 = 24.56; RH2 = 48.29
2017.11.27_01:27:27,100.61,146.57,190.75,23.81,26.37,32.12,23.34,5.21,1009.90,155.52,208.13,260.63,33.91,37.14,41.89,24.30,43.01,1017.35,50.80,N; Tset = 18.40; Ttrue = 018.2; T1 = 24.98; RH1 = 49.31; T2 = 24.56; RH2 = 49.47
