2017.11.25_02:29:53,84.61,122.78,157.15,18.88,20.94,26.05,23.57,8.07,969.88,152.36,199.06,256.63,32.69,35.81,40.21,24.57,60.19,977.18,68.63,N; Tset = 11.80; Ttrue = 015.8; T1 = 25.33; RH1 = 58.90; T2 = 24.76; RH2 = 70.17
2017.11.25_02:30:53,90.33,127.62,161.60,19.62,21.75,26.64,24.38,8.34,1003.34,136.77,179.05,225.49,30.64,34.56,37.89,25.42,48.78,1010.88,49.76,N; Tset = 11.80; Ttrue = 016.1; T1 = 26.16; RH1 = 45.47; T2 = 25.59; RH2 = 51.46
2017.11.25_02:31:59,89.09,126.14,163.18,19.85,21.94,26.21,24.38,8.32,1003.38,136.61,178.95,221.63,31.32,34.21,38.66,25.40,45.32,1010.90,46.89,N; Tset = 12.40; Ttrue = 016.3; T1 = 26.14; RH1 = 44.13; T2 = 25.58; RH2 = 47.16
2017.11.25_02:33:09,89.37,126.48,162.48,20.87,22.96,26.28,24.40,8.31,1003.38,136.18,177.84,216.87,31.39,35.99,37.62,25.40,43.69,1010.91,46.31,N; Tset = 13.40; Ttrue = 016.4; T1 = 26.11; RH1 = 44.05; T2 = 25.58; RH2 = 46.17
2017.11.25_02:34:19,90.85,128.71,166.09,20.06,21.61,26.73,24.39,8.30,1003.37,134.06,177.09,216.76,29.13,34.22,37.60,25.40,42.85,1010.89,46.30,N; Tset = 14.40; Ttrue = 016.6; T1 = 26.07; RH1 = 44.34; T2 = 25.58; RH2 = 45.97
2017.11.25_02:35:29,90.36,130.72,164.60,19.39,22.35,27.01,24.39,8.30,1003.33,128.99,175.55,212.26,29.19,32.68,37.68,25.40,42.34,1010.87,46.34,N; Tset = 15.40; Ttrue = 015.7; T1 = 26.03; RH1 = 44.56; T2 = 25.57; RH2 = 45.96
2017.11.25_02:36:39,89.76,127.65,163.30,19.87,23.37,27.31,24.39,8.30,1003.32,128.45,173.96,216.13,29.32,32.86,36.76,25.40,41.04,1010.85,44.85,N; Tset = 16.40; Ttrue = 015.7; T1 = 25.98; RH1 = 42.99; T2 = 25.57; RH2 = 44.74
2017.11.25_02:37:49,89.02,127.89,163.73,19.76,21.42,26.30,24.38,8.31,1003.29,132.07,172.11,216.74,29.47,33.36,37.69,25.39,39.96,1010.82,43.98,N; Tset = 17.40; Ttrue = 017.2; T1 = 25.94; RH1 = 42.59; T2 = 25.57; RH2 = 43.52
2017.11.25_02:38:57,87.76,126.58,166.38,19.16,21.49,27.10,24.38,8.32,1003.29,129.60,177.95,220.21,30.81,32.98,37.34,25.39,40.96,1010.80,46.30,N; Tset = 18.20; Ttrue = 018.0; T1 = 25.91; RH1 = 45.39; T2 = 25.57; RH2 = 45.32
2017.11.25_02:40:07,88.29,125.80,168.03,23.63,22.42,26.47,24.38,8.33,1003.26,133.00,173.85,218.69,30.91,33.69,39.17,25.39,42.45,1010.80,48.78,N; Tset = 19.20; Ttrue = 018.8; T1 = 25.87; RH1 = 47.90; T2 = 25.56; RH2 = 47.77
2017.11.25_02:41:15,88.80,124.56,166.01,19.08,21.06,26.94,24.38,8.34,1003.26,134.21,175.31,217.45,30.46,32.14,36.40,25.38,43.74,1010.81,50.73,N; Tset = 20.00; Ttrue = 019.7; T1 = 25.84; RH1 = 49.89; T2 = 25.56; RH2 = 49.64
2017.11.25_02:42:23,89.03,127.45,166.91,19.61,21.04,27.04,24.38,8.34,1003.28,134.70,172.17,218.78,28.61,31.99,36.40,25.38,45.32,1010.81,53.07,N; Tset = 20.80; Ttrue = 020.6; T1 = 25.83; RH1 = 52.32; T2 = 25.56; RH2 = 51.84
2017.11.25_02:43:31,88.16,126.30,162.18,20.06,21.82,27.33,24.38,8.34,1003.26,132.89,177.85,221.85,29.59,34.23,36.82,25.38,47.05,1010.79,55.50,N; Tset = 21.60; Ttrue = 021.4; T1 = 25.82; RH1 = 54.78; T2 = 25.56; RH2 = 54.20
2017.11.25_02:44:39,88.79,126.17,164.07,20.12,22.16,27.43,24.38,8.34,1003.25,135.41,177.59,223.92,28.94,34.32,37.69,25.38,48.87,1010.76,57.99,N; Tset = 22.40; Ttrue = 022.2; T1 = 25.81; RH1 = 57.26; T2 = 25.56; RH2 = 56.62
2017.11.25_02:45:47,90.04,125.11,163.37,18.99,21.70,27.32,24.38,8.35,1003.21,138.08,186.74,230.16,30.08,33.02,37.77,25.38,50.80,1010.73,60.59,N; Tset = 23.20; Ttrue = 023.0; T1 = 25.82; RH1 = 59.83; T2 = 25.56; RH2 = 59.13
2017.11.25_02:46:55,89.62,125.12,164.74,19.65,21.32,26.57,24.38,8.35,1003.17,142.80,190.22,233.57,30.80,33.72,39.16,25.38,52.73,1010.70,63.10,N; Tset = 24.00; Ttrue = 023.8; T1 = 25.83; RH1 = 62.22; T2 = 25.55; RH2 = 61.62
2017.11.25_02:48:03,87.75,124.72,161.77,19.44,21.18,26.37,24.38,8.35,1003.14,146.45,192.02,243.63,29.92,34.68,39.68,25.38,54.68,1010.67,65.60,N; Tset = 24.80; Ttrue = 024.5; T1 = 25.86; RH1 = 64.63; T2 = 25.55; RH2 = 64.03
2017.11.25_02:49:09,90.35,125.76,162.97,20.42,21.01,26.71,24.39,8.35,1003.11,154.23,200.81,252.00,32.15,35.96,39.34,25.38,56.69,1010.65,68.19,N; Tset = 25.40; Ttrue = 025.2; T1 = 25.88; RH1 = 67.07; T2 = 25.55; RH2 = 66.57
2017.11.25_02:50:17,87.38,128.77,160.67,21.19,20.78,27.05,24.40,8.35,1003.11,157.27,205.45,258.74,31.46,35.90,41.26,25.38,58.80,1010.62,70.88,N; Tset = 26.20; Ttrue = 026.0; T1 = 25.91; RH1 = 69.60; T2 = 25.56; RH2 = 69.16
2017.11.25_02:51:25,86.80,127.20,165.42,19.60,21.51,26.75,24.40,8.35,1003.10,164.15,208.01,261.34,30.89,36.30,38.87,25.38,60.95,1010.61,73.62,N; Tset = 27.00; Ttrue = 026.7; T1 = 25.94; RH1 = 72.15; T2 = 25.56; RH2 = 71.85
2017.11.25_02:52:31,89.65,127.89,163.16,19.54,22.63,26.78,24.40,8.36,1003.11,158.80,211.13,265.34,32.58,36.42,39.54,25.38,63.15,1010.63,76.39,N; Tset = 27.60; Ttrue = 027.4; T1 = 25.98; RH1 = 74.68; T2 = 25.56; RH2 = 74.57
2017.11.25_02:53:37,89.23,126.08,163.52,19.69,21.19,26.34,24.41,8.36,1003.12,166.25,218.01,275.12,33.19,37.36,40.45,25.38,65.27,1010.65,79.09,N; Tset = 28.20; Ttrue = 028.0; T1 = 26.03; RH1 = 77.08; T2 = 25.56; RH2 = 77.19
2017.11.25_02:54:45,87.93,127.08,161.50,19.95,22.16,26.93,24.42,8.38,1003.17,173.06,224.21,283.59,34.15,37.63,41.73,25.38,67.44,1010.66,81.83,N; Tset = 29.00; Ttrue = 028.7; T1 = 26.09; RH1 = 79.48; T2 = 25.56; RH2 = 79.85
2017.11.25_02:55:51,87.61,124.40,162.04,19.70,21.58,26.55,24.42,8.39,1003.15,179.74,239.23,295.42,36.77,38.70,42.12,25.38,69.62,1010.66,84.57,N; Tset = 29.60; Ttrue = 029.4; T1 = 26.15; RH1 = 81.92; T2 = 25.56; RH2 = 82.55
2017.11.25_02:56:57,88.31,125.51,159.20,19.08,21.01,26.29,24.42,8.41,1003.12,191.35,243.40,310.42,36.92,41.02,44.25,25.40,71.85,1010.65,87.36,N; Tset = 30.20; Ttrue = 030.0; T1 = 26.22; RH1 = 84.38; T2 = 25.56; RH2 = 85.29
2017.11.25_02:58:03,88.79,123.42,159.21,19.11,20.83,26.07,24.43,8.43,1003.09,192.69,259.98,321.72,40.63,42.75,48.05,25.40,74.08,1010.61,90.18,N; Tset = 30.80; Ttrue = 030.6; T1 = 26.28; RH1 = 86.80; T2 = 25.57; RH2 = 88.00
