2017.11.08_17:45:46,73.87,100.36,132.26,14.16,16.07,20.51,22.80,9.15,973.34,119.34,157.65,193.38,27.25,29.50,32.71,23.77,71.92,980.52,79.68,N; Tset = 17.20; Ttrue = 018.3; T1 = 22.65; RH1 = 78.94; T2 = 23.58; RH2 = 81.28
2017.11.08_17:46:46,73.41,104.54,135.37,14.73,16.34,20.34,23.61,9.45,1006.91,88.55,111.66,140.34,17.43,21.19,24.38,24.59,60.01,1014.33,58.15,N; Tset = 17.20; Ttrue = 018.5; T1 = 23.40; RH1 = 60.01; T2 = 24.38; RH2 = 61.21
2017.11.08_17:47:46,73.11,105.38,135.30,15.94,17.29,20.74,23.62,9.45,1006.90,88.23,114.06,142.55,17.63,21.05,24.04,24.61,55.15,1014.33,53.46,N; Tset = 17.20; Ttrue = 018.7; T1 = 23.40; RH1 = 56.97; T2 = 24.41; RH2 = 54.54
2017.11.08_17:48:46,76.47,103.33,134.27,14.86,15.99,22.40,23.65,9.44,1006.91,84.72,113.53,143.42,16.96,19.91,24.42,24.61,53.02,1014.33,52.07,N; Tset = 17.20; Ttrue = 018.8; T1 = 23.42; RH1 = 55.50; T2 = 24.44; RH2 = 53.01
2017.11.08_17:49:46,76.49,103.71,135.89,15.23,16.09,20.91,23.67,9.43,1006.90,87.47,115.42,142.83,17.86,20.73,24.15,24.63,51.79,1014.34,51.45,N; Tset = 17.20; Ttrue = 018.8; T1 = 23.43; RH1 = 54.87; T2 = 24.45; RH2 = 52.37
2017.11.08_17:50:50,76.96,103.43,137.82,16.62,16.34,21.17,23.69,9.41,1006.90,87.01,114.35,140.93,17.31,22.78,23.82,24.64,50.95,1014.35,51.19,N; Tset = 17.60; Ttrue = 018.1; T1 = 23.44; RH1 = 54.67; T2 = 24.47; RH2 = 52.03
2017.11.08_17:51:56,76.64,105.84,135.65,15.69,19.01,21.23,23.71,9.41,1006.91,82.17,113.42,144.65,17.16,20.69,24.80,24.66,49.68,1014.37,50.04,N; Tset = 18.20; Ttrue = 017.7; T1 = 23.44; RH1 = 53.33; T2 = 24.49; RH2 = 51.02
2017.11.08_17:53:00,76.03,106.77,135.03,15.00,16.46,22.09,23.73,9.39,1006.97,86.53,111.74,142.25,16.86,22.90,23.60,24.71,48.05,1014.43,48.32,N; Tset = 18.60; Ttrue = 018.4; T1 = 23.43; RH1 = 51.73; T2 = 24.51; RH2 = 49.27
2017.11.08_17:54:04,76.03,104.78,138.05,17.33,17.49,21.51,23.77,9.39,1007.02,84.54,113.15,142.47,16.76,23.70,31.40,24.74,47.51,1014.48,48.40,N; Tset = 19.00; Ttrue = 019.0; T1 = 23.42; RH1 = 52.34; T2 = 24.55; RH2 = 49.01
2017.11.08_17:55:10,77.92,109.15,138.35,16.83,17.09,21.74,23.82,9.39,1007.04,89.14,119.80,148.24,16.95,21.43,26.43,24.76,47.90,1014.51,49.66,N; Tset = 19.60; Ttrue = 019.4; T1 = 23.41; RH1 = 53.97; T2 = 24.59; RH2 = 50.07
2017.11.08_17:56:14,77.23,110.02,140.58,15.70,16.84,21.35,23.86,9.27,1007.05,94.67,120.01,151.17,17.90,21.63,26.92,24.79,48.25,1014.52,50.57,N; Tset = 20.00; Ttrue = 019.8; T1 = 23.40; RH1 = 55.07; T2 = 24.63; RH2 = 50.97
2017.11.08_17:57:18,79.99,107.78,139.22,15.20,17.60,21.65,23.89,9.14,1007.09,92.96,120.21,151.17,17.50,22.23,24.23,24.82,48.62,1014.53,51.42,N; Tset = 20.40; Ttrue = 020.3; T1 = 23.37; RH1 = 56.26; T2 = 24.66; RH2 = 51.75
2017.11.08_17:58:22,81.77,107.44,141.43,17.91,17.86,21.77,23.91,9.00,1007.11,95.31,123.24,155.43,17.45,21.56,24.81,24.84,49.10,1014.51,52.34,N; Tset = 20.80; Ttrue = 020.7; T1 = 23.31; RH1 = 57.56; T2 = 24.68; RH2 = 52.66
2017.11.08_17:59:26,81.53,108.25,147.16,16.08,16.55,21.59,23.92,8.88,1007.11,92.74,122.37,152.50,18.33,22.35,25.88,24.86,49.61,1014.50,53.24,N; Tset = 21.20; Ttrue = 021.1; T1 = 23.23; RH1 = 58.94; T2 = 24.68; RH2 = 53.59
2017.11.08_18:00:30,80.30,112.41,142.57,19.27,17.73,21.62,23.93,8.78,1007.11,95.37,123.39,155.42,19.50,21.87,25.78,24.87,50.18,1014.49,54.18,N; Tset = 21.60; Ttrue = 021.5; T1 = 23.13; RH1 = 60.44; T2 = 24.68; RH2 = 54.53
