2017.11.17_01:00:23,222.51,314.89,392.18,45.33,49.33,56.12,22.09,4.66,970.77,288.25,389.83,472.09,49.32,55.08,62.48,23.30,60.46,978.06,72.32,N; Tset = 10.00; Ttrue = 017.5; T1 = 23.92; RH1 = 64.21; T2 = 23.73; RH2 = 71.12
2017.11.17_01:01:23,228.56,319.04,405.43,45.17,50.69,58.43,22.87,4.82,1004.25,255.98,343.04,415.27,45.18,50.37,58.94,24.10,52.75,1011.77,57.90,N; Tset = 10.00; Ttrue = 017.7; T1 = 24.72; RH1 = 54.21; T2 = 24.53; RH2 = 58.03
2017.11.17_01:02:31,226.08,323.05,406.81,45.60,50.30,57.89,22.87,4.81,1004.26,261.56,339.78,412.75,44.26,50.94,56.84,24.10,50.13,1011.78,55.32,N; Tset = 10.80; Ttrue = 017.8; T1 = 24.71; RH1 = 52.89; T2 = 24.52; RH2 = 54.42
2017.11.17_01:03:43,225.37,318.90,408.51,44.99,48.56,58.02,22.87,4.80,1004.26,255.41,337.32,416.87,45.66,49.54,56.21,24.10,49.01,1011.78,54.85,N; Tset = 12.00; Ttrue = 017.9; T1 = 24.70; RH1 = 52.77; T2 = 24.52; RH2 = 53.66
2017.11.17_01:04:53,227.01,320.63,406.51,45.27,51.35,58.30,22.87,4.80,1004.25,255.80,337.31,417.90,45.35,51.49,55.71,24.10,48.52,1011.78,54.92,N; Tset = 13.00; Ttrue = 017.9; T1 = 24.70; RH1 = 53.00; T2 = 24.52; RH2 = 53.56
2017.11.17_01:06:03,228.39,316.12,402.69,45.39,49.67,59.03,22.87,4.78,1004.24,257.07,335.25,417.64,45.01,50.78,56.96,24.10,48.04,1011.78,54.62,N; Tset = 14.00; Ttrue = 016.8; T1 = 24.68; RH1 = 52.65; T2 = 24.52; RH2 = 53.39
2017.11.17_01:07:13,224.10,317.33,402.54,46.13,49.56,56.20,22.87,4.78,1004.26,254.70,335.30,404.98,44.60,50.42,56.89,24.11,46.50,1011.79,52.55,N; Tset = 15.00; Ttrue = 016.1; T1 = 24.67; RH1 = 50.51; T2 = 24.52; RH2 = 51.58
2017.11.17_01:08:23,224.96,315.91,398.93,44.98,48.30,56.91,22.87,4.78,1004.24,251.16,332.52,407.23,45.39,50.07,60.54,24.11,44.91,1011.78,50.57,N; Tset = 16.00; Ttrue = 015.5; T1 = 24.64; RH1 = 48.70; T2 = 24.51; RH2 = 49.63
2017.11.17_01:09:33,217.08,307.67,392.62,44.19,49.17,56.34,22.87,4.76,1004.22,245.40,323.55,403.06,43.19,50.33,55.60,24.12,43.53,1011.76,48.98,N; Tset = 17.00; Ttrue = 016.5; T1 = 24.62; RH1 = 47.36; T2 = 24.51; RH2 = 48.05
2017.11.17_01:10:43,217.75,307.85,393.80,43.92,50.21,56.97,22.89,4.74,1004.21,244.67,324.13,399.33,44.49,48.10,54.76,24.12,43.47,1011.76,49.68,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.59; RH1 = 48.64; T2 = 24.51; RH2 = 48.23
2017.11.17_01:11:51,224.54,311.45,397.21,44.50,49.46,57.57,22.89,4.75,1004.19,251.59,334.50,406.96,45.96,49.94,56.39,24.12,45.10,1011.75,52.60,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.57; RH1 = 51.80; T2 = 24.51; RH2 = 50.79
2017.11.17_01:13:01,233.52,316.91,401.30,46.09,48.33,57.16,22.89,4.75,1004.17,254.23,342.35,417.43,44.20,50.13,55.18,24.12,46.74,1011.73,55.13,N; Tset = 19.80; Ttrue = 019.4; T1 = 24.56; RH1 = 54.31; T2 = 24.51; RH2 = 53.26
2017.11.17_01:14:09,221.44,313.57,401.42,44.23,49.57,58.15,22.89,4.76,1004.19,259.99,345.35,422.17,45.63,49.75,57.03,24.14,48.31,1011.73,57.43,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.56; RH1 = 56.67; T2 = 24.51; RH2 = 55.47
2017.11.17_01:15:17,223.14,311.64,397.10,46.13,48.69,56.64,22.89,4.75,1004.18,264.92,343.25,428.72,45.15,49.89,56.45,24.14,50.13,1011.73,60.02,N; Tset = 21.40; Ttrue = 021.1; T1 = 24.56; RH1 = 59.31; T2 = 24.51; RH2 = 57.94
2017.11.17_01:16:25,217.61,304.58,397.22,45.26,50.80,56.06,22.89,4.76,1004.19,262.80,348.36,429.57,47.05,50.16,55.84,24.14,52.08,1011.73,62.70,N; Tset = 22.20; Ttrue = 022.0; T1 = 24.56; RH1 = 61.95; T2 = 24.51; RH2 = 60.51
2017.11.17_01:17:33,223.39,307.62,402.29,44.30,50.68,56.40,22.90,4.75,1004.19,275.04,363.62,447.88,46.41,49.96,57.01,24.14,54.11,1011.74,65.46,N; Tset = 23.00; Ttrue = 022.9; T1 = 24.58; RH1 = 64.67; T2 = 24.52; RH2 = 63.13
2017.11.17_01:18:41,221.71,310.02,403.58,45.82,48.29,56.75,22.91,4.76,1004.20,275.81,368.34,460.52,45.60,57.39,60.86,24.14,56.25,1011.74,68.30,N; Tset = 23.80; Ttrue = 023.6; T1 = 24.59; RH1 = 67.40; T2 = 24.52; RH2 = 65.85
2017.11.17_01:19:49,222.30,309.68,399.54,44.94,48.57,57.33,22.91,4.75,1004.20,288.46,382.02,468.68,46.03,50.48,59.96,24.14,58.39,1011.74,71.08,N; Tset = 24.60; Ttrue = 024.4; T1 = 24.62; RH1 = 70.02; T2 = 24.52; RH2 = 68.52
2017.11.17_01:20:57,220.74,310.86,394.80,45.09,50.67,57.01,22.91,4.75,1004.24,297.91,396.11,485.94,48.46,52.01,60.08,24.14,60.53,1011.78,73.86,N; Tset = 25.40; Ttrue = 025.1; T1 = 24.65; RH1 = 72.62; T2 = 24.52; RH2 = 71.19
2017.11.17_01:22:03,226.95,314.73,402.32,45.28,49.49,57.45,22.93,4.76,1004.29,312.16,407.56,504.62,48.93,52.95,61.22,24.14,62.71,1011.82,76.67,N; Tset = 26.00; Ttrue = 025.8; T1 = 24.69; RH1 = 75.24; T2 = 24.52; RH2 = 73.90
2017.11.17_01:23:11,221.63,306.22,402.65,44.65,48.41,56.74,22.93,4.78,1004.34,325.98,428.02,521.95,47.69,53.35,61.43,24.14,64.97,1011.87,79.67,N; Tset = 26.80; Ttrue = 026.6; T1 = 24.73; RH1 = 78.01; T2 = 24.53; RH2 = 76.74
2017.11.17_01:24:19,220.75,309.71,394.60,45.87,49.11,56.22,22.93,4.77,1004.34,339.86,453.25,554.50,51.22,57.94,64.73,24.14,67.35,1011.88,82.79,N; Tset = 27.60; Ttrue = 027.3; T1 = 24.78; RH1 = 80.85; T2 = 24.53; RH2 = 79.72
2017.11.17_01:25:25,217.03,305.89,392.06,44.95,49.18,55.98,22.94,4.78,1004.34,349.14,473.85,583.49,52.05,58.19,64.97,24.16,69.74,1011.88,85.83,N; Tset = 28.20; Ttrue = 028.0; T1 = 24.83; RH1 = 83.63; T2 = 24.54; RH2 = 82.70
2017.11.17_01:26:31,216.26,309.51,389.93,43.84,49.76,58.22,22.95,4.78,1004.33,378.53,509.65,623.84,55.59,59.69,67.58,24.16,72.08,1011.89,88.82,N; Tset = 28.80; Ttrue = 028.6; T1 = 24.88; RH1 = 86.28; T2 = 24.54; RH2 = 85.60
