2017.11.17_03:37:39,181.74,258.68,333.88,36.21,38.59,45.68,21.84,5.55,970.95,245.83,355.93,413.90,41.63,45.33,50.20,23.04,60.62,978.20,72.98,N; Tset = 10.00; Ttrue = 017.8; T1 = 23.54; RH1 = 65.70; T2 = 23.43; RH2 = 71.58
2017.11.17_03:38:39,183.82,260.12,338.98,36.09,40.50,48.68,22.60,5.69,1004.44,220.18,290.44,368.62,38.49,43.29,48.93,23.83,53.73,1011.93,59.61,N; Tset = 10.00; Ttrue = 018.0; T1 = 24.32; RH1 = 56.50; T2 = 24.21; RH2 = 59.68
2017.11.17_03:39:47,184.10,261.76,336.81,37.96,40.60,47.22,22.60,5.64,1004.45,218.86,292.97,362.83,37.92,42.66,47.98,23.82,51.31,1011.95,57.22,N; Tset = 10.80; Ttrue = 018.1; T1 = 24.30; RH1 = 55.21; T2 = 24.19; RH2 = 56.31
2017.11.17_03:40:59,181.05,263.86,343.77,36.47,40.19,47.39,22.60,5.58,1004.44,220.25,289.05,359.40,38.30,42.53,48.03,23.82,50.29,1011.96,56.76,N; Tset = 12.00; Ttrue = 018.2; T1 = 24.29; RH1 = 55.06; T2 = 24.19; RH2 = 55.62
2017.11.17_03:42:09,183.76,261.48,337.15,37.39,42.71,49.34,22.60,5.55,1004.47,214.25,290.03,366.42,36.67,41.50,47.20,23.82,49.86,1011.99,56.80,N; Tset = 13.00; Ttrue = 018.0; T1 = 24.28; RH1 = 55.27; T2 = 24.18; RH2 = 55.55
2017.11.17_03:43:19,180.07,260.91,337.39,37.05,40.47,48.44,22.60,5.49,1004.48,217.63,287.48,361.12,37.77,45.91,47.74,23.81,49.31,1012.01,56.32,N; Tset = 14.00; Ttrue = 017.0; T1 = 24.27; RH1 = 54.67; T2 = 24.17; RH2 = 55.23
2017.11.17_03:44:29,179.64,262.47,338.59,35.70,39.77,49.64,22.59,5.45,1004.52,211.34,283.22,357.96,38.44,46.39,47.92,23.80,47.70,1012.02,54.11,N; Tset = 15.00; Ttrue = 016.3; T1 = 24.25; RH1 = 52.40; T2 = 24.15; RH2 = 53.25
2017.11.17_03:45:39,188.55,257.62,337.26,38.62,40.57,47.98,22.58,5.43,1004.55,209.53,279.41,351.09,37.11,42.74,47.55,23.80,46.11,1012.05,52.08,N; Tset = 16.00; Ttrue = 015.7; T1 = 24.22; RH1 = 50.50; T2 = 24.15; RH2 = 51.24
2017.11.17_03:46:49,185.49,257.41,334.15,40.60,40.45,48.33,22.58,5.45,1004.59,206.69,281.73,349.33,37.20,40.37,47.49,23.80,44.69,1012.09,50.44,N; Tset = 17.00; Ttrue = 016.5; T1 = 24.20; RH1 = 49.06; T2 = 24.14; RH2 = 49.57
2017.11.17_03:47:59,180.40,259.03,336.33,35.03,40.82,47.58,22.58,5.43,1004.60,207.59,279.97,355.92,36.91,41.32,47.10,23.80,44.43,1012.10,50.80,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.18; RH1 = 49.96; T2 = 24.14; RH2 = 49.45
2017.11.17_03:49:07,185.93,264.21,337.93,37.80,39.65,47.50,22.58,5.40,1004.62,210.35,285.78,353.29,36.45,41.43,45.87,23.78,46.01,1012.12,53.72,N; Tset = 18.80; Ttrue = 018.6; T1 = 24.17; RH1 = 53.16; T2 = 24.14; RH2 = 51.93
2017.11.17_03:50:17,183.87,262.85,339.17,36.41,40.33,47.67,22.58,5.35,1004.60,212.49,284.44,360.19,36.10,41.74,46.95,23.79,47.69,1012.10,56.31,N; Tset = 19.80; Ttrue = 019.4; T1 = 24.15; RH1 = 55.77; T2 = 24.13; RH2 = 54.49
2017.11.17_03:51:25,185.25,258.16,336.21,36.34,40.25,50.08,22.57,5.30,1004.61,217.79,289.30,365.10,36.76,40.74,46.62,23.78,49.28,1012.09,58.70,N; Tset = 20.60; Ttrue = 020.3; T1 = 24.15; RH1 = 58.16; T2 = 24.13; RH2 = 56.72
