2017.11.02_14:31:55,27.80,37.07,44.11,4.70,6.06,8.60,22.39,8.60,966.74,39.17,48.31,59.88,16.31,16.90,18.23,23.16,72.25,973.70,79.45,N; Tset = 14.40; Ttrue = 0015.1; T1 = 22.13; RH1 = 77.74; T2 = 22.87; RH2 = 82.15
2017.11.02_14:32:55,28.42,37.40,59.85,4.08,4.83,7.08,23.15,8.89,1000.06,30.01,35.31,40.66,5.45,8.08,9.52,23.96,58.08,1007.29,54.45,N; Tset = 14.40; Ttrue = 0015.6; T1 = 22.84; RH1 = 55.43; T2 = 23.64; RH2 = 58.18
2017.11.02_14:33:55,26.07,29.19,36.53,5.34,4.27,7.73,23.15,8.87,1000.07,27.68,31.06,36.64,7.12,7.81,9.01,23.94,52.34,1007.28,48.85,N; Tset = 14.40; Ttrue = 0015.8; T1 = 22.84; RH1 = 51.52; T2 = 23.66; RH2 = 50.33
2017.11.02_14:34:55,25.49,31.87,33.89,4.85,3.63,6.95,23.16,8.85,1000.02,28.29,37.68,39.10,5.40,8.33,9.20,23.94,49.87,1007.27,47.09,N; Tset = 14.40; Ttrue = 0016.0; T1 = 22.83; RH1 = 49.71; T2 = 23.67; RH2 = 48.42
2017.11.02_14:35:57,27.37,32.25,34.42,5.11,5.06,6.61,23.17,8.89,1000.06,28.30,32.85,39.96,4.04,7.87,9.52,23.96,48.38,1007.31,46.32,N; Tset = 14.60; Ttrue = 0015.4; T1 = 22.85; RH1 = 48.96; T2 = 23.69; RH2 = 47.60
2017.11.02_14:37:03,24.53,37.23,37.68,6.62,5.26,8.26,23.18,8.88,1000.05,34.83,42.80,39.72,5.00,7.42,8.88,23.97,46.65,1007.30,44.92,N; Tset = 15.20; Ttrue = 0014.8; T1 = 22.85; RH1 = 47.36; T2 = 23.72; RH2 = 46.26
2017.11.02_14:38:09,28.39,35.43,35.69,5.88,5.73,7.72,23.20,8.83,1000.10,34.78,32.19,44.70,6.01,7.46,8.56,23.99,44.70,1007.36,43.11,N; Tset = 15.80; Ttrue = 0015.5; T1 = 22.84; RH1 = 45.62; T2 = 23.76; RH2 = 44.25
2017.11.02_14:39:15,26.13,30.12,36.00,6.42,5.55,6.88,23.24,8.80,1000.08,29.30,28.06,35.46,5.31,6.60,7.99,24.02,43.96,1007.36,43.21,N; Tset = 16.40; Ttrue = 0016.3; T1 = 22.83; RH1 = 46.25; T2 = 23.82; RH2 = 43.91
2017.11.02_14:40:19,24.44,26.75,32.48,7.93,5.45,6.87,23.27,8.72,1000.09,27.91,27.00,32.05,3.65,7.24,9.65,24.05,44.26,1007.35,44.58,N; Tset = 16.80; Ttrue = 0016.6; T1 = 22.82; RH1 = 47.94; T2 = 23.88; RH2 = 45.11
2017.11.02_14:41:25,23.39,29.24,31.51,4.50,4.53,6.05,23.30,8.64,1000.07,28.80,29.85,34.11,4.14,7.13,7.81,24.07,44.38,1007.31,45.33,N; Tset = 17.40; Ttrue = 0017.2; T1 = 22.79; RH1 = 48.88; T2 = 23.91; RH2 = 45.83
2017.11.02_14:42:29,25.11,30.86,32.11,5.70,4.38,6.26,23.32,8.55,1000.15,27.98,29.12,37.10,5.11,7.94,8.55,24.09,44.56,1007.39,46.09,N; Tset = 17.80; Ttrue = 0017.7; T1 = 22.73; RH1 = 50.07; T2 = 23.92; RH2 = 46.54
2017.11.02_14:43:35,23.19,27.50,29.12,4.76,4.36,5.84,23.34,8.52,1000.12,24.62,27.99,33.88,4.30,7.51,8.52,24.12,45.03,1007.36,47.17,N; Tset = 18.40; Ttrue = 0018.2; T1 = 22.64; RH1 = 51.66; T2 = 23.91; RH2 = 47.64
2017.11.02_14:44:39,21.65,25.85,30.54,7.44,4.49,5.73,23.35,8.53,1000.15,26.15,27.18,35.02,3.61,6.70,8.65,24.13,45.58,1007.38,48.18,N; Tset = 18.80; Ttrue = 0018.6; T1 = 22.53; RH1 = 53.20; T2 = 23.90; RH2 = 48.73
