2017.11.27_05:58:53,75.05,101.57,131.39,15.96,17.75,22.44,21.36,5.92,973.88,131.21,175.45,203.80,29.18,30.30,33.08,22.39,58.73,980.96,66.81,N; Tset = 12.40; Ttrue = 012.7; T1 = 23.43; RH1 = 56.12; T2 = 22.66; RH2 = 68.15
2017.11.27_05:59:53,78.21,104.93,131.45,16.69,18.32,22.15,22.08,6.15,1007.45,124.89,157.89,187.59,27.30,30.18,32.68,23.15,47.63,1014.79,48.02,N; Tset = 12.40; Ttrue = 012.9; T1 = 24.19; RH1 = 42.81; T2 = 23.42; RH2 = 49.62
2017.11.27_06:00:53,74.02,102.10,128.28,17.74,17.58,21.76,22.07,6.19,1007.45,127.04,157.62,192.11,27.61,29.97,32.29,23.13,44.04,1014.78,44.96,N; Tset = 12.40; Ttrue = 013.1; T1 = 24.17; RH1 = 41.38; T2 = 23.42; RH2 = 45.09
2017.11.27_06:01:53,75.70,99.52,127.23,15.76,17.78,21.81,22.07,6.20,1007.43,121.81,156.76,186.78,26.43,29.17,31.66,23.13,42.49,1014.76,44.41,N; Tset = 12.40; Ttrue = 013.3; T1 = 24.15; RH1 = 41.31; T2 = 23.42; RH2 = 44.14
2017.11.27_06:02:55,75.33,101.82,129.62,16.51,18.04,22.25,22.06,6.20,1007.40,127.58,155.70,188.27,27.85,30.89,32.71,23.13,41.62,1014.75,44.34,N; Tset = 12.60; Ttrue = 013.5; T1 = 24.13; RH1 = 41.47; T2 = 23.42; RH2 = 43.86
2017.11.27_06:04:01,77.58,102.92,128.92,16.49,17.46,21.76,22.05,6.20,1007.40,125.21,156.87,191.46,31.03,31.15,32.83,23.13,41.00,1014.73,44.40,N; Tset = 13.20; Ttrue = 013.1; T1 = 24.12; RH1 = 41.68; T2 = 23.43; RH2 = 43.76
2017.11.27_06:05:05,75.19,102.59,130.54,16.54,17.52,21.92,22.05,6.20,1007.39,123.78,157.03,188.68,27.31,30.39,32.78,23.14,40.23,1014.73,43.93,N; Tset = 13.60; Ttrue = 013.3; T1 = 24.10; RH1 = 41.20; T2 = 23.44; RH2 = 43.37
2017.11.27_06:06:11,78.06,105.27,130.69,17.56,18.17,22.98,22.05,6.20,1007.40,122.39,158.60,188.59,28.54,29.99,32.68,23.15,39.41,1014.72,43.35,N; Tset = 14.20; Ttrue = 014.1; T1 = 24.09; RH1 = 40.93; T2 = 23.46; RH2 = 42.60
2017.11.27_06:07:17,77.16,106.21,134.44,16.85,17.64,22.90,22.05,6.20,1007.40,126.86,160.62,191.39,26.89,29.16,32.53,23.15,39.73,1014.74,44.54,N; Tset = 14.80; Ttrue = 014.6; T1 = 24.07; RH1 = 42.39; T2 = 23.47; RH2 = 43.45
2017.11.27_06:08:21,78.99,107.85,137.19,16.95,18.23,22.68,22.05,6.20,1007.39,130.32,163.56,194.91,27.61,29.14,33.57,23.15,40.36,1014.73,45.89,N; Tset = 15.20; Ttrue = 015.0; T1 = 24.04; RH1 = 43.78; T2 = 23.48; RH2 = 44.71
2017.11.27_06:09:27,78.33,107.46,137.12,17.64,17.93,22.56,22.05,6.18,1007.39,122.51,158.25,193.49,27.91,29.79,33.64,23.17,40.92,1014.73,46.94,N; Tset = 15.80; Ttrue = 015.6; T1 = 24.02; RH1 = 44.92; T2 = 23.50; RH2 = 45.71
2017.11.27_06:10:31,79.85,110.06,139.00,17.33,18.77,22.83,22.05,6.18,1007.44,130.99,161.53,193.03,28.55,30.93,33.76,23.17,41.58,1014.77,48.12,N; Tset = 16.20; Ttrue = 016.0; T1 = 24.00; RH1 = 46.16; T2 = 23.51; RH2 = 46.77
2017.11.27_06:11:35,80.15,111.32,138.82,16.99,20.25,23.27,22.05,6.18,1007.45,129.07,159.28,194.18,28.36,31.40,33.51,23.17,42.38,1014.77,49.40,N; Tset = 16.60; Ttrue = 016.5; T1 = 23.97; RH1 = 47.47; T2 = 23.52; RH2 = 47.97
2017.11.27_06:12:39,81.76,141.47,138.24,17.84,18.26,23.77,22.05,6.16,1007.42,128.84,161.47,194.55,28.48,30.66,33.45,23.18,43.16,1014.75,50.59,N; Tset = 17.00; Ttrue = 016.9; T1 = 23.96; RH1 = 48.68; T2 = 23.53; RH2 = 49.09
2017.11.27_06:13:43,81.68,112.07,140.41,17.93,19.34,23.02,22.05,6.16,1007.39,129.04,162.38,194.94,28.61,31.00,33.46,23.19,43.99,1014.72,51.73,N; Tset = 17.40; Ttrue = 017.3; T1 = 23.95; RH1 = 49.87; T2 = 23.54; RH2 = 50.18
2017.11.27_06:14:49,82.37,110.72,143.54,17.60,20.51,23.96,22.06,6.16,1007.38,130.22,164.68,198.37,30.17,32.07,34.34,23.19,44.84,1014.70,52.96,N; Tset = 18.00; Ttrue = 017.8; T1 = 23.95; RH1 = 51.08; T2 = 23.55; RH2 = 51.35
2017.11.27_06:15:53,82.30,112.58,140.61,17.54,19.38,23.75,22.07,6.16,1007.34,127.46,164.99,199.41,28.40,30.65,33.80,23.19,45.72,1014.68,54.19,N; Tset = 18.40; Ttrue = 018.2; T1 = 23.94; RH1 = 52.28; T2 = 23.55; RH2 = 52.51
2017.11.27_06:16:57,84.11,115.29,142.20,17.80,19.30,23.73,22.07,6.15,1007.35,128.34,167.20,203.03,28.67,31.38,34.06,23.19,46.60,1014.65,55.40,N; Tset = 18.80; Ttrue = 018.6; T1 = 23.94; RH1 = 53.46; T2 = 23.56; RH2 = 53.66
2017.11.27_06:18:01,83.80,115.00,143.55,18.83,19.28,23.90,22.07,6.15,1007.35,129.20,166.80,200.29,28.05,30.70,33.87,23.19,47.48,1014.63,56.59,N; Tset = 19.20; Ttrue = 019.0; T1 = 23.94; RH1 = 54.63; T2 = 23.56; RH2 = 54.80
2017.11.27_06:19:03,84.90,114.81,143.19,18.77,20.37,24.36,22.07,6.14,1007.30,137.24,169.74,203.02,28.42,31.50,34.26,23.19,48.40,1014.61,57.82,N; Tset = 19.40; Ttrue = 019.3; T1 = 23.94; RH1 = 55.81; T2 = 23.57; RH2 = 55.97
2017.11.27_06:20:07,84.21,114.58,143.81,17.94,19.04,24.60,22.07,6.14,1007.28,131.50,168.20,204.61,29.39,31.51,33.70,23.19,49.32,1014.60,59.00,N; Tset = 19.80; Ttrue = 019.7; T1 = 23.94; RH1 = 56.96; T2 = 23.57; RH2 = 57.13
2017.11.27_06:21:11,85.12,115.12,144.30,18.52,20.00,24.76,22.07,6.15,1007.28,133.28,170.64,205.22,27.68,31.62,34.37,23.20,50.23,1014.57,60.12,N; Tset = 20.20; Ttrue = 020.1; T1 = 23.94; RH1 = 58.07; T2 = 23.57; RH2 = 58.27
2017.11.27_06:22:15,85.50,116.10,144.80,18.11,19.87,24.87,22.07,6.14,1007.29,132.17,173.04,205.06,29.57,32.30,34.23,23.21,51.16,1014.59,61.31,N; Tset = 20.60; Ttrue = 020.4; T1 = 23.95; RH1 = 59.21; T2 = 23.56; RH2 = 59.43
2017.11.27_06:23:19,83.25,116.40,145.84,18.13,20.44,24.68,22.07,6.15,1007.33,132.48,176.86,213.18,28.89,32.12,35.26,23.21,52.10,1014.62,62.44,N; Tset = 21.00; Ttrue = 020.8; T1 = 23.95; RH1 = 60.28; T2 = 23.56; RH2 = 60.56
2017.11.27_06:24:21,84.43,118.71,146.27,19.43,20.58,24.35,22.07,6.14,1007.35,133.04,171.56,211.15,29.16,32.78,34.62,23.21,53.03,1014.67,63.60,N; Tset = 21.20; Ttrue = 021.1; T1 = 23.96; RH1 = 61.38; T2 = 23.55; RH2 = 61.71
2017.11.27_06:25:25,84.06,117.72,146.45,19.15,20.48,24.28,22.07,6.14,1007.37,139.27,175.85,214.73,29.52,33.36,35.98,23.21,53.99,1014.67,64.78,N; Tset = 21.60; Ttrue = 021.5; T1 = 23.97; RH1 = 62.45; T2 = 23.55; RH2 = 62.88
2017.11.27_06:26:27,85.61,117.36,148.06,19.54,20.82,24.98,22.07,6.14,1007.32,140.95,179.92,217.52,28.33,31.53,35.65,23.20,54.91,1014.66,65.98,N; Tset = 21.80; Ttrue = 021.8; T1 = 23.99; RH1 = 63.48; T2 = 23.54; RH2 = 64.00
2017.11.27_06:27:31,85.66,117.95,149.06,19.30,19.67,24.61,22.07,6.14,1007.29,140.89,180.04,222.47,30.82,31.57,35.02,23.20,55.85,1014.62,67.13,N; Tset = 22.20; Ttrue = 022.1; T1 = 24.02; RH1 = 64.52; T2 = 23.54; RH2 = 65.13
2017.11.27_06:28:35,85.82,117.42,150.17,18.90,20.35,25.82,22.07,6.14,1007.25,143.74,182.14,219.49,29.61,33.05,35.88,23.20,56.83,1014.58,68.33,N; Tset = 22.60; Ttrue = 022.4; T1 = 24.04; RH1 = 65.60; T2 = 23.54; RH2 = 66.29
2017.11.27_06:29:37,87.05,116.72,148.03,18.71,20.12,24.99,22.07,6.14,1007.25,146.32,181.78,222.07,30.19,31.49,36.62,23.21,57.80,1014.57,69.47,N; Tset = 22.80; Ttrue = 022.7; T1 = 24.06; RH1 = 66.62; T2 = 23.54; RH2 = 67.45
2017.11.27_06:30:41,87.50,118.28,149.06,19.55,20.33,25.37,22.07,6.14,1007.27,140.64,186.07,220.34,30.08,32.94,37.50,23.21,58.73,1014.59,70.59,N; Tset = 23.20; Ttrue = 023.0; T1 = 24.08; RH1 = 67.60; T2 = 23.54; RH2 = 68.56
2017.11.27_06:31:43,86.90,119.57,148.67,18.35,20.29,25.71,22.07,6.14,1007.28,137.85,185.61,223.08,30.12,32.69,35.88,23.21,59.67,1014.58,71.71,N; Tset = 23.40; Ttrue = 023.3; T1 = 24.10; RH1 = 68.59; T2 = 23.53; RH2 = 69.67
2017.11.27_06:32:45,85.75,118.46,147.27,17.82,20.16,24.84,22.06,6.14,1007.30,146.10,185.07,222.55,30.34,32.95,35.66,23.20,60.62,1014.60,72.91,N; Tset = 23.60; Ttrue = 023.6; T1 = 24.12; RH1 = 69.59; T2 = 23.54; RH2 = 70.77
2017.11.27_06:33:49,87.01,120.58,150.20,18.49,20.49,24.80,22.06,6.15,1007.28,143.46,184.14,224.69,31.97,36.02,35.74,23.20,61.55,1014.59,73.98,N; Tset = 24.00; Ttrue = 023.9; T1 = 24.15; RH1 = 70.52; T2 = 23.53; RH2 = 71.88
2017.11.27_06:34:51,88.68,120.87,149.83,19.53,20.44,25.68,22.05,6.16,1007.30,146.95,185.61,225.55,30.39,34.21,36.41,23.19,62.49,1014.59,75.19,N; Tset = 24.20; Ttrue = 024.2; T1 = 24.17; RH1 = 71.53; T2 = 23.53; RH2 = 73.00
