2017.11.06_07:00:46,514.25,715.28,896.18,76.98,84.23,98.27,20.32,13.69,969.80,593.85,778.88,924.67,75.67,86.95,99.66,21.13,28.03,976.53,38.93,N; Tset = 15.60; Ttrue = 018.3; T1 = 18.86; RH1 = 48.90; T2 = 20.75; RH2 = 33.73
2017.11.06_07:01:46,530.54,736.00,921.60,79.59,87.17,101.81,21.01,14.21,1003.25,669.69,877.15,1044.02,81.55,92.68,109.60,21.85,40.82,1010.21,54.10,N; Tset = 15.60; Ttrue = 017.9; T1 = 19.51; RH1 = 64.74; T2 = 21.45; RH2 = 53.44
2017.11.06_07:02:46,529.90,735.53,921.37,79.80,86.77,101.12,20.99,14.27,1003.24,672.74,877.32,1042.34,82.93,92.82,108.93,21.83,43.01,1010.21,55.22,N; Tset = 15.60; Ttrue = 017.8; T1 = 19.50; RH1 = 65.09; T2 = 21.44; RH2 = 55.38
2017.11.06_07:03:46,531.98,738.55,928.33,80.66,86.49,102.01,20.97,14.34,1003.23,671.95,869.25,1040.64,82.85,94.32,109.50,21.83,44.08,1010.21,55.24,N; Tset = 15.60; Ttrue = 017.5; T1 = 19.48; RH1 = 64.96; T2 = 21.43; RH2 = 55.65
2017.11.06_07:04:48,532.09,733.85,925.77,81.29,86.75,101.69,20.95,14.38,1003.24,667.15,870.93,1030.45,82.80,93.12,108.66,21.81,44.80,1010.21,55.27,N; Tset = 15.80; Ttrue = 017.2; T1 = 19.45; RH1 = 64.82; T2 = 21.42; RH2 = 55.80
2017.11.06_07:05:54,535.98,730.72,923.41,80.29,88.34,102.27,20.94,14.40,1003.25,660.31,867.28,1027.28,82.04,92.85,108.78,21.81,45.08,1010.22,54.78,N; Tset = 16.40; Ttrue = 016.7; T1 = 19.44; RH1 = 64.17; T2 = 21.41; RH2 = 55.46
2017.11.06_07:07:00,539.17,735.80,925.30,81.68,86.47,102.00,20.93,14.44,1003.27,669.74,859.62,1019.29,84.22,93.65,108.46,21.79,45.07,1010.23,54.10,N; Tset = 17.00; Ttrue = 016.6; T1 = 19.41; RH1 = 63.29; T2 = 21.41; RH2 = 54.81
2017.11.06_07:08:06,532.85,736.43,926.16,80.40,88.89,102.85,20.92,14.46,1003.25,654.82,859.10,1022.52,82.48,93.23,108.01,21.79,44.87,1010.23,53.33,N; Tset = 17.60; Ttrue = 017.4; T1 = 19.40; RH1 = 62.41; T2 = 21.40; RH2 = 54.07
2017.11.06_07:09:12,529.80,733.79,916.19,79.04,88.11,104.83,20.91,14.48,1003.24,658.92,855.94,1021.86,83.00,92.44,108.58,21.77,45.05,1010.23,53.38,N; Tset = 18.20; Ttrue = 018.0; T1 = 19.38; RH1 = 62.62; T2 = 21.40; RH2 = 53.95
2017.11.06_07:10:16,528.10,732.89,918.00,81.56,86.49,102.55,20.90,14.52,1003.25,666.10,868.03,1024.03,82.58,92.62,108.33,21.77,46.15,1010.25,54.71,N; Tset = 18.60; Ttrue = 018.4; T1 = 19.37; RH1 = 64.33; T2 = 21.39; RH2 = 55.19
2017.11.06_07:11:22,526.30,739.21,920.09,79.86,87.75,103.45,20.90,14.54,1003.27,674.42,882.84,1045.57,83.01,93.64,110.04,21.76,47.44,1010.26,56.26,N; Tset = 19.20; Ttrue = 018.9; T1 = 19.37; RH1 = 66.04; T2 = 21.39; RH2 = 56.76
2017.11.06_07:12:26,531.22,730.53,919.29,80.26,88.45,101.57,20.88,14.52,1003.28,676.71,885.10,1054.67,82.91,94.37,110.40,21.75,48.65,1010.27,57.62,N; Tset = 19.60; Ttrue = 019.5; T1 = 19.37; RH1 = 67.57; T2 = 21.39; RH2 = 58.16
2017.11.06_07:13:30,524.66,732.40,916.87,81.17,86.93,102.85,20.88,14.52,1003.29,687.30,892.21,1071.23,84.33,95.06,111.04,21.75,49.83,1010.29,58.92,N; Tset = 20.00; Ttrue = 019.9; T1 = 19.38; RH1 = 69.01; T2 = 21.39; RH2 = 59.49
2017.11.06_07:14:36,533.24,731.36,916.87,80.58,87.29,101.31,20.88,14.54,1003.30,700.97,905.74,1073.49,84.75,95.92,110.73,21.75,50.96,1010.29,60.16,N; Tset = 20.60; Ttrue = 020.4; T1 = 19.39; RH1 = 70.42; T2 = 21.39; RH2 = 60.74
2017.11.06_07:15:40,523.32,731.58,913.61,79.28,88.12,102.19,20.88,14.55,1003.32,700.76,918.61,1082.99,84.85,95.65,109.94,21.73,52.17,1010.30,61.62,N; Tset = 21.00; Ttrue = 020.8; T1 = 19.41; RH1 = 71.94; T2 = 21.39; RH2 = 62.14
2017.11.06_07:16:44,522.81,727.86,909.83,77.12,86.93,101.50,20.86,14.59,1003.31,712.71,927.75,1097.93,84.85,95.89,111.44,21.73,53.45,1010.31,63.05,N; Tset = 21.40; Ttrue = 021.3; T1 = 19.43; RH1 = 73.52; T2 = 21.39; RH2 = 63.58
2017.11.06_07:17:48,525.08,729.71,911.93,77.62,86.44,102.91,20.86,14.65,1003.33,725.82,942.43,1108.54,85.07,96.48,113.21,21.73,54.73,1010.33,64.49,N; Tset = 21.80; Ttrue = 021.7; T1 = 19.45; RH1 = 75.05; T2 = 21.40; RH2 = 65.06
2017.11.06_07:18:52,524.09,725.38,912.67,77.68,86.46,102.27,20.86,14.72,1003.32,746.41,955.47,1126.30,86.54,95.36,114.10,21.73,55.99,1010.35,65.91,N; Tset = 22.20; Ttrue = 022.1; T1 = 19.48; RH1 = 76.55; T2 = 21.40; RH2 = 66.49
2017.11.06_07:19:56,528.74,730.90,914.61,82.40,87.91,101.94,20.86,14.76,1003.34,764.84,974.14,1155.53,88.10,99.69,116.50,21.73,57.29,1010.36,67.37,N; Tset = 22.60; Ttrue = 022.5; T1 = 19.52; RH1 = 78.06; T2 = 21.40; RH2 = 67.99
2017.11.06_07:21:00,526.89,729.83,915.82,81.12,87.93,100.89,20.86,14.80,1003.34,772.07,998.79,1175.48,90.17,100.01,117.36,21.73,58.56,1010.37,68.80,N; Tset = 23.00; Ttrue = 022.9; T1 = 19.54; RH1 = 79.54; T2 = 21.40; RH2 = 69.46
2017.11.06_07:22:04,524.85,729.89,919.56,82.27,89.89,101.26,20.86,14.84,1003.34,788.20,1018.16,1194.12,90.25,101.80,118.03,21.73,59.81,1010.39,70.19,N; Tset = 23.40; Ttrue = 023.3; T1 = 19.58; RH1 = 80.95; T2 = 21.41; RH2 = 70.86
2017.11.06_07:23:08,528.77,735.02,918.83,79.77,87.20,100.45,20.86,14.86,1003.36,808.30,1038.72,1226.56,97.07,103.30,119.56,21.73,61.05,1010.39,71.60,N; Tset = 23.80; Ttrue = 023.6; T1 = 19.62; RH1 = 82.34; T2 = 21.41; RH2 = 72.29
2017.11.06_07:24:12,529.47,732.65,991.72,80.70,87.76,101.96,20.86,14.84,1003.38,828.93,1061.99,1248.19,94.22,103.44,120.95,21.73,62.28,1010.41,73.00,N; Tset = 24.20; Ttrue = 024.0; T1 = 19.68; RH1 = 83.65; T2 = 21.42; RH2 = 73.69
2017.11.06_07:25:14,524.51,732.44,914.18,79.78,89.34,102.48,20.86,14.81,1003.39,842.24,1080.94,1274.88,95.40,105.18,123.78,21.75,63.47,1010.42,74.28,N; Tset = 24.40; Ttrue = 024.4; T1 = 19.73; RH1 = 84.92; T2 = 21.43; RH2 = 75.05
2017.11.06_07:26:18,534.19,729.56,916.85,78.47,88.67,100.28,20.86,14.78,1003.39,861.54,1098.51,1299.18,94.82,107.96,125.51,21.75,64.69,1010.43,75.65,N; Tset = 24.80; Ttrue = 024.7; T1 = 19.78; RH1 = 86.19; T2 = 21.43; RH2 = 76.42
2017.11.06_07:27:22,524.96,728.01,917.25,81.17,87.04,104.33,20.86,14.76,1003.42,880.81,1129.14,1327.24,94.98,107.58,125.39,21.75,65.88,1010.45,77.01,N; Tset = 25.20; Ttrue = 025.1; T1 = 19.83; RH1 = 87.39; T2 = 21.44; RH2 = 77.81
2017.11.06_07:28:26,525.95,736.61,915.33,78.57,86.98,102.57,20.86,14.78,1003.45,915.62,1156.22,1357.45,96.19,108.42,127.51,21.75,67.07,1010.46,78.37,N; Tset = 25.60; Ttrue = 025.4; T1 = 19.89; RH1 = 88.62; T2 = 21.46; RH2 = 79.14
2017.11.06_07:29:28,526.59,730.68,914.93,79.94,88.82,100.82,20.86,14.78,1003.45,937.76,1187.74,1386.35,98.36,111.27,129.44,21.77,68.26,1010.47,79.68,N; Tset = 25.80; Ttrue = 025.7; T1 = 19.95; RH1 = 89.81; T2 = 21.47; RH2 = 80.53
2017.11.06_07:30:32,528.11,727.56,915.82,79.66,88.21,101.68,20.87,14.80,1003.44,969.89,1240.61,1427.92,100.43,113.92,132.33,21.77,69.40,1010.48,81.02,N; Tset = 26.20; Ttrue = 026.0; T1 = 20.02; RH1 = 90.90; T2 = 21.48; RH2 = 81.83
2017.11.06_07:31:34,522.49,730.54,918.30,80.19,87.68,101.27,20.88,14.84,1003.45,999.91,1250.37,1456.19,102.93,116.04,134.50,21.78,70.55,1010.49,82.33,N; Tset = 26.40; Ttrue = 026.4; T1 = 20.09; RH1 = 91.97; T2 = 21.50; RH2 = 83.15
2017.11.06_07:32:38,525.62,734.32,920.80,79.11,85.91,103.19,20.88,14.86,1003.46,1028.06,1292.61,1503.75,107.88,117.72,136.89,21.79,71.70,1010.50,83.60,N; Tset = 26.80; Ttrue = 026.7; T1 = 20.15; RH1 = 93.02; T2 = 21.52; RH2 = 84.46
2017.11.06_07:33:40,527.08,725.91,916.77,81.26,88.19,102.23,20.89,14.86,1003.46,1069.67,1320.44,1543.02,106.20,119.98,140.43,21.80,72.82,1010.50,84.90,N; Tset = 27.00; Ttrue = 027.0; T1 = 20.23; RH1 = 93.98; T2 = 21.54; RH2 = 85.76
2017.11.06_07:34:44,523.42,728.43,911.59,81.01,88.84,101.08,20.90,14.87,1003.46,1107.47,1373.82,1597.85,111.05,124.25,145.42,21.81,73.92,1010.50,86.15,N; Tset = 27.40; Ttrue = 027.3; T1 = 20.31; RH1 = 94.91; T2 = 21.58; RH2 = 87.00
