2017.11.17_05:49:13,117.23,155.20,204.84,22.38,25.34,30.53,22.14,4.26,972.33,169.15,218.11,267.27,32.81,35.36,39.56,23.24,66.44,979.57,89.31,N; Tset = 10.00; Ttrue = 0012.6; T1 = 25.69; RH1 = 68.74; T2 = 25.18; RH2 = 82.28
2017.11.17_05:50:13,126.82,169.39,212.27,26.02,29.38,31.60,22.92,4.43,1005.89,126.94,171.18,205.03,26.04,31.50,34.20,24.04,51.30,1013.40,61.18,N; Tset = 10.00; Ttrue = 0013.0; T1 = 26.50; RH1 = 49.68; T2 = 25.97; RH2 = 57.81
2017.11.17_05:51:21,119.47,166.78,209.95,24.84,26.60,30.32,22.93,4.40,1005.90,128.67,174.21,205.83,27.10,29.64,33.81,24.04,45.94,1013.42,55.12,N; Tset = 10.80; Ttrue = 0013.3; T1 = 26.46; RH1 = 46.63; T2 = 25.96; RH2 = 50.31
2017.11.17_05:52:33,122.86,165.19,205.40,24.41,25.77,31.39,22.93,4.38,1005.93,139.62,170.89,208.05,29.01,29.95,32.51,24.04,43.42,1013.45,53.60,N; Tset = 12.00; Ttrue = 0013.5; T1 = 26.42; RH1 = 45.96; T2 = 25.96; RH2 = 48.40
2017.11.17_05:53:43,118.79,166.96,213.81,24.21,26.91,31.60,22.94,4.35,1005.94,135.54,171.70,209.27,26.50,30.22,31.39,24.04,42.04,1013.48,53.07,N; Tset = 13.00; Ttrue = 0012.8; T1 = 26.38; RH1 = 45.82; T2 = 25.95; RH2 = 47.74
2017.11.17_05:54:53,114.92,159.04,203.79,23.97,25.95,29.72,22.96,4.33,1005.98,128.33,168.33,199.85,26.29,30.20,32.33,24.04,40.39,1013.54,51.47,N; Tset = 14.00; Ttrue = 0013.3; T1 = 26.33; RH1 = 44.49; T2 = 25.95; RH2 = 46.41
2017.11.17_05:56:03,114.90,157.02,201.24,23.09,24.95,29.30,22.97,4.31,1006.01,127.09,163.60,195.61,26.73,28.00,32.37,24.05,39.48,1013.55,51.19,N; Tset = 15.00; Ttrue = 0015.0; T1 = 26.27; RH1 = 44.85; T2 = 25.94; RH2 = 45.72
2017.11.17_05:57:13,108.55,151.95,192.74,22.84,25.67,29.84,22.97,4.31,1006.01,129.97,159.69,196.72,24.89,29.57,34.10,24.06,40.58,1013.56,54.05,N; Tset = 16.00; Ttrue = 0015.7; T1 = 26.23; RH1 = 47.93; T2 = 25.94; RH2 = 47.89
2017.11.17_05:58:23,112.60,151.65,197.73,23.06,24.71,29.29,22.97,4.31,1006.07,128.02,162.70,202.30,23.72,27.79,31.13,24.06,41.74,1013.59,56.36,N; Tset = 17.00; Ttrue = 0016.6; T1 = 26.19; RH1 = 50.05; T2 = 25.94; RH2 = 49.99
2017.11.17_05:59:33,112.10,148.62,189.06,23.19,26.41,30.36,22.99,4.29,1006.07,124.87,162.04,192.63,24.80,26.74,31.57,24.06,42.94,1013.56,58.62,N; Tset = 18.00; Ttrue = 0017.8; T1 = 26.16; RH1 = 52.31; T2 = 25.95; RH2 = 51.83
2017.11.17_06:00:41,109.16,148.40,183.99,21.86,23.54,29.64,22.99,4.30,1006.06,126.04,160.06,191.13,24.67,27.62,32.66,24.08,44.70,1013.58,61.60,N; Tset = 18.80; Ttrue = 0018.6; T1 = 26.13; RH1 = 55.23; T2 = 25.95; RH2 = 54.40
2017.11.17_06:01:51,102.17,141.08,177.60,19.78,22.06,27.56,22.99,4.31,1006.06,126.87,156.46,189.47,24.04,28.21,30.51,24.08,46.46,1013.58,64.39,N; Tset = 19.80; Ttrue = 0019.4; T1 = 26.11; RH1 = 57.79; T2 = 25.95; RH2 = 56.90
2017.11.17_06:02:59,105.74,138.89,178.71,21.78,24.98,28.16,22.99,4.33,1006.07,126.85,158.59,192.92,24.54,26.42,28.92,24.08,48.09,1013.60,66.86,N; Tset = 20.60; Ttrue = 0020.3; T1 = 26.09; RH1 = 60.08; T2 = 25.95; RH2 = 59.07
2017.11.17_06:04:07,107.45,143.80,182.49,21.91,22.47,26.72,23.01,4.33,1006.08,132.10,161.91,192.98,24.35,26.30,30.23,24.09,49.93,1013.60,69.63,N; Tset = 21.40; Ttrue = 0021.1; T1 = 26.08; RH1 = 62.70; T2 = 25.96; RH2 = 61.47
2017.11.17_06:05:15,101.47,143.01,177.36,22.69,23.40,29.38,23.01,4.33,1006.09,124.55,165.76,191.54,24.99,28.08,29.16,24.10,51.91,1013.63,72.54,N; Tset = 22.20; Ttrue = 0022.0; T1 = 26.07; RH1 = 65.38; T2 = 25.96; RH2 = 64.07
2017.11.17_06:06:23,103.00,139.43,170.38,20.72,21.41,27.71,23.02,4.35,1006.16,124.64,154.58,189.10,23.29,27.16,31.27,24.10,53.95,1013.68,75.52,N; Tset = 23.00; Ttrue = 0022.8; T1 = 26.08; RH1 = 68.07; T2 = 25.96; RH2 = 66.67
2017.11.17_06:07:31,99.41,138.83,169.41,19.31,22.69,25.60,23.03,4.39,1006.21,126.30,164.28,195.39,22.63,27.14,34.30,24.10,56.13,1013.73,78.67,N; Tset = 23.80; Ttrue = 0023.6; T1 = 26.10; RH1 = 70.86; T2 = 25.97; RH2 = 69.40
2017.11.17_06:08:39,97.73,131.42,162.21,21.35,21.22,25.00,23.03,4.38,1006.25,121.62,163.72,192.57,23.09,25.64,29.89,24.12,58.28,1013.78,81.64,N; Tset = 24.60; Ttrue = 0024.3; T1 = 26.12; RH1 = 73.47; T2 = 25.98; RH2 = 72.08
2017.11.17_06:09:47,97.77,134.96,167.06,21.68,22.99,25.82,23.03,4.37,1006.30,125.33,166.56,196.67,23.51,26.84,28.95,24.12,60.40,1013.80,84.62,N; Tset = 25.40; Ttrue = 0025.1; T1 = 26.15; RH1 = 76.02; T2 = 25.99; RH2 = 74.71
2017.11.17_06:10:53,96.63,131.60,165.25,19.32,22.33,25.75,23.03,4.35,1006.32,127.09,169.03,203.98,26.05,28.05,28.55,24.13,62.62,1013.85,87.68,N; Tset = 26.00; Ttrue = 0025.8; T1 = 26.18; RH1 = 78.69; T2 = 25.99; RH2 = 77.43
2017.11.17_06:12:01,98.49,133.62,162.28,20.29,22.53,26.54,23.05,4.29,1006.33,132.67,181.99,210.02,24.31,27.10,29.62,24.14,64.86,1013.86,90.85,N; Tset = 26.80; Ttrue = 0026.6; T1 = 26.23; RH1 = 81.37; T2 = 25.99; RH2 = 80.22
