2017.11.16_22:23:29,206.82,291.51,367.53,42.16,46.15,56.81,21.65,4.66,970.86,275.13,364.48,451.93,44.96,49.45,57.37,23.25,61.16,978.04,72.73,N; Tset = 10.00; Ttrue = 017.7; T1 = 23.44; RH1 = 66.49; T2 = 23.53; RH2 = 72.07
2017.11.16_22:24:29,214.94,296.49,381.04,41.94,48.59,55.26,22.40,4.82,1004.33,237.90,314.81,391.78,44.46,48.34,53.42,24.04,53.52,1011.80,58.48,N; Tset = 10.00; Ttrue = 017.9; T1 = 24.23; RH1 = 56.33; T2 = 24.32; RH2 = 58.99
2017.11.16_22:25:37,213.07,302.70,390.99,42.52,49.76,57.21,22.40,4.82,1004.38,247.04,324.56,395.81,43.38,48.49,54.57,24.02,50.96,1011.83,56.05,N; Tset = 10.80; Ttrue = 018.1; T1 = 24.24; RH1 = 54.91; T2 = 24.32; RH2 = 55.49
2017.11.16_22:26:49,214.18,301.14,390.17,42.96,47.16,57.17,22.41,4.82,1004.33,245.41,323.34,404.11,43.54,48.33,56.11,24.02,49.87,1011.81,55.56,N; Tset = 12.00; Ttrue = 018.2; T1 = 24.27; RH1 = 54.63; T2 = 24.32; RH2 = 54.71
2017.11.16_22:27:59,217.77,303.43,392.46,44.20,48.12,56.47,22.42,4.82,1004.36,251.39,330.98,402.63,43.77,49.56,53.82,24.02,49.32,1011.80,55.51,N; Tset = 13.00; Ttrue = 018.2; T1 = 24.28; RH1 = 54.69; T2 = 24.32; RH2 = 54.50
2017.11.16_22:29:09,214.10,306.81,387.74,43.64,47.64,55.55,22.42,4.82,1004.39,245.49,325.40,399.83,43.14,49.10,53.60,24.02,48.83,1011.84,55.26,N; Tset = 14.00; Ttrue = 017.2; T1 = 24.24; RH1 = 54.51; T2 = 24.32; RH2 = 54.31
2017.11.16_22:30:19,216.29,304.63,388.65,44.02,51.75,59.67,22.42,4.81,1004.38,248.51,325.04,399.50,43.92,48.52,55.71,24.01,47.38,1011.85,53.35,N; Tset = 15.00; Ttrue = 016.4; T1 = 24.19; RH1 = 52.54; T2 = 24.30; RH2 = 52.69
2017.11.16_22:31:29,216.03,307.60,392.76,45.48,49.22,58.54,22.41,4.83,1004.39,246.01,322.77,398.10,44.93,48.56,56.71,24.00,45.74,1011.85,51.27,N; Tset = 16.00; Ttrue = 015.7; T1 = 24.13; RH1 = 50.58; T2 = 24.28; RH2 = 50.70
2017.11.16_22:32:39,215.88,305.99,394.63,47.10,49.95,57.33,22.41,4.85,1004.37,237.62,320.20,394.67,44.19,48.41,54.58,24.00,44.27,1011.85,49.56,N; Tset = 17.00; Ttrue = 016.4; T1 = 24.09; RH1 = 49.06; T2 = 24.27; RH2 = 49.02
2017.11.16_22:33:49,223.31,311.05,391.72,46.67,48.28,56.30,22.40,4.86,1004.36,243.02,321.69,398.43,47.66,51.77,56.58,23.98,43.96,1011.84,49.85,N; Tset = 18.00; Ttrue = 017.8; T1 = 24.05; RH1 = 49.87; T2 = 24.25; RH2 = 48.82
2017.11.16_22:34:57,219.28,308.75,392.60,44.42,47.58,57.34,22.40,4.86,1004.38,245.92,325.80,408.00,43.67,48.47,55.51,23.98,45.51,1011.86,52.65,N; Tset = 18.80; Ttrue = 018.7; T1 = 24.04; RH1 = 53.04; T2 = 24.25; RH2 = 51.23
2017.11.16_22:36:07,219.16,311.20,394.34,45.28,48.70,56.16,22.41,4.87,1004.40,245.47,333.46,412.22,44.19,48.54,56.26,23.98,47.27,1011.86,55.39,N; Tset = 19.80; Ttrue = 019.4; T1 = 24.07; RH1 = 55.72; T2 = 24.25; RH2 = 53.90
