2017.11.05_03:47:07,168.50,233.74,302.66,31.43,32.42,39.85,22.53,8.32,974.22,262.99,344.42,423.96,41.67,47.07,54.37,23.61,70.67,982.50,76.72,N; Tset = 16.00; Ttrue = 016.3; T1 = 22.39; RH1 = 75.78; T2 = 23.38; RH2 = 79.19
2017.11.05_03:48:07,173.84,244.29,312.34,33.86,34.58,40.95,23.33,8.61,1009.03,195.28,260.53,327.47,30.63,36.87,44.26,24.42,56.78,1016.38,52.87,N; Tset = 16.00; Ttrue = 016.6; T1 = 23.07; RH1 = 54.81; T2 = 24.16; RH2 = 56.02
2017.11.05_03:49:07,168.44,239.43,314.01,31.70,34.43,42.29,23.33,8.61,1009.05,200.38,257.95,322.82,31.01,37.68,44.67,24.41,51.58,1016.38,48.01,N; Tset = 16.00; Ttrue = 016.7; T1 = 23.02; RH1 = 51.51; T2 = 24.17; RH2 = 49.33
2017.11.05_03:50:07,167.56,243.83,315.05,30.59,34.24,41.07,23.33,8.61,1009.05,194.63,258.39,322.08,31.35,37.84,44.24,24.40,49.28,1016.37,46.47,N; Tset = 16.00; Ttrue = 016.8; T1 = 22.97; RH1 = 49.99; T2 = 24.17; RH2 = 47.73
2017.11.05_03:51:09,168.49,244.04,309.71,31.06,33.54,41.51,23.32,8.61,1009.04,194.42,258.44,323.11,31.10,36.47,42.21,24.40,47.89,1016.38,45.88,N; Tset = 16.20; Ttrue = 016.9; T1 = 22.93; RH1 = 49.54; T2 = 24.17; RH2 = 47.03
2017.11.05_03:52:15,166.90,239.36,304.84,30.78,33.63,39.99,23.31,8.60,1009.01,194.60,259.27,321.24,29.77,36.76,43.93,24.40,46.87,1016.35,45.57,N; Tset = 16.80; Ttrue = 016.3; T1 = 22.90; RH1 = 49.40; T2 = 24.17; RH2 = 46.66
2017.11.05_03:53:21,168.05,237.54,309.36,32.65,33.20,40.53,23.32,8.59,1008.98,190.77,259.50,321.48,29.45,36.35,42.97,24.39,45.54,1016.32,44.60,N; Tset = 17.40; Ttrue = 017.3; T1 = 22.84; RH1 = 48.48; T2 = 24.17; RH2 = 45.65
2017.11.05_03:54:27,166.98,238.74,308.68,31.10,34.12,41.09,23.32,8.61,1008.95,205.37,260.02,319.19,30.11,36.69,43.15,24.38,45.14,1016.31,44.99,N; Tset = 18.00; Ttrue = 017.9; T1 = 22.77; RH1 = 49.45; T2 = 24.17; RH2 = 45.71
2017.11.05_03:55:33,169.71,239.82,308.70,30.98,33.61,39.40,23.31,8.61,1008.94,196.40,258.45,321.24,31.19,36.26,43.14,24.38,45.63,1016.29,46.44,N; Tset = 18.60; Ttrue = 018.3; T1 = 22.73; RH1 = 51.33; T2 = 24.16; RH2 = 47.05
2017.11.05_03:56:37,165.88,235.63,305.99,31.21,34.91,39.07,23.32,8.61,1008.94,193.64,256.67,327.79,30.21,36.24,42.86,24.38,46.09,1016.28,47.55,N; Tset = 19.00; Ttrue = 018.8; T1 = 22.68; RH1 = 52.76; T2 = 24.16; RH2 = 48.14
2017.11.05_03:57:43,166.43,235.30,304.04,30.43,33.12,42.57,23.31,8.61,1008.95,192.55,261.59,326.16,30.22,35.83,43.34,24.39,46.65,1016.29,48.69,N; Tset = 19.60; Ttrue = 019.4; T1 = 22.63; RH1 = 54.26; T2 = 24.16; RH2 = 49.23
