2017.11.08_18:35:46,93.23,127.31,162.83,17.46,20.57,25.78,22.89,9.04,974.03,153.05,201.43,252.79,32.13,35.30,39.62,23.86,71.62,981.08,80.85,N; Tset = 16.00; Ttrue = 0017.6; T1 = 22.58; RH1 = 81.28; T2 = 23.78; RH2 = 81.62
2017.11.08_18:36:46,93.63,131.79,168.00,18.72,20.17,26.56,23.67,9.40,1007.57,107.43,147.69,178.09,20.95,25.51,29.46,24.65,59.94,1014.92,58.90,N; Tset = 16.00; Ttrue = 0017.9; T1 = 23.29; RH1 = 61.32; T2 = 24.55; RH2 = 61.69
2017.11.08_18:37:46,94.89,130.10,165.51,20.30,19.87,26.81,23.65,9.46,1007.56,103.58,135.40,173.69,20.36,24.22,29.37,24.64,54.84,1014.91,53.90,N; Tset = 16.00; Ttrue = 0018.1; T1 = 23.27; RH1 = 57.90; T2 = 24.54; RH2 = 54.78
2017.11.08_18:38:46,92.37,128.18,164.29,19.07,20.01,27.56,23.64,9.50,1007.56,104.60,135.85,174.85,19.96,25.58,27.26,24.63,52.67,1014.90,52.28,N; Tset = 16.00; Ttrue = 0018.3; T1 = 23.25; RH1 = 56.30; T2 = 24.53; RH2 = 53.04
2017.11.08_18:39:46,93.31,128.19,166.65,18.18,20.99,24.85,23.62,9.52,1007.53,114.57,140.54,175.65,21.31,28.60,28.16,24.61,51.39,1014.90,51.57,N; Tset = 16.00; Ttrue = 0017.6; T1 = 23.23; RH1 = 55.52; T2 = 24.53; RH2 = 52.31
2017.11.08_18:40:52,97.90,133.85,173.93,20.98,21.07,27.54,23.61,9.55,1007.52,105.05,139.73,175.72,20.43,25.08,28.82,24.61,49.81,1014.90,50.07,N; Tset = 16.60; Ttrue = 0016.8; T1 = 23.21; RH1 = 53.73; T2 = 24.52; RH2 = 51.00
2017.11.08_18:41:56,93.42,128.81,168.55,18.70,19.91,24.92,23.60,9.58,1007.54,102.47,140.01,173.11,20.06,24.00,28.77,24.59,47.81,1014.90,48.02,N; Tset = 17.00; Ttrue = 0016.5; T1 = 23.17; RH1 = 51.58; T2 = 24.51; RH2 = 48.91
2017.11.08_18:43:02,92.90,127.47,180.71,18.93,20.64,25.18,23.60,9.61,1007.53,103.53,136.78,171.29,20.49,24.20,27.93,24.59,46.30,1014.89,46.71,N; Tset = 17.60; Ttrue = 0017.4; T1 = 23.12; RH1 = 50.49; T2 = 24.51; RH2 = 47.40
2017.11.08_18:44:06,94.07,130.55,169.50,18.90,22.30,25.91,23.60,9.66,1007.52,107.01,140.47,176.89,22.59,25.81,28.33,24.59,46.08,1014.91,47.39,N; Tset = 18.00; Ttrue = 0018.0; T1 = 23.09; RH1 = 51.74; T2 = 24.52; RH2 = 47.67
2017.11.08_18:45:12,92.45,127.46,166.92,17.88,20.30,25.81,23.60,9.70,1007.52,107.28,137.22,174.21,20.81,25.03,27.86,24.59,46.60,1014.91,48.79,N; Tset = 18.60; Ttrue = 0018.3; T1 = 23.07; RH1 = 53.42; T2 = 24.53; RH2 = 48.99
2017.11.08_18:46:16,92.29,127.21,168.22,19.84,21.58,25.96,23.60,9.72,1007.51,104.27,140.69,171.96,20.42,27.02,27.59,24.59,46.90,1014.90,49.63,N; Tset = 19.00; Ttrue = 0018.8; T1 = 23.06; RH1 = 54.42; T2 = 24.54; RH2 = 49.74
2017.11.08_18:47:20,88.59,127.88,160.40,18.43,20.07,24.17,23.60,9.73,1007.49,104.02,135.00,167.89,19.80,23.92,29.78,24.60,47.36,1014.89,50.63,N; Tset = 19.40; Ttrue = 0019.3; T1 = 23.05; RH1 = 55.71; T2 = 24.55; RH2 = 50.63
2017.11.08_18:48:24,91.82,125.52,164.19,19.08,19.25,23.92,23.61,9.73,1007.46,105.90,143.11,177.63,20.01,24.97,27.95,24.61,48.03,1014.87,51.82,N; Tset = 19.80; Ttrue = 0019.7; T1 = 23.03; RH1 = 57.16; T2 = 24.57; RH2 = 51.76
2017.11.08_18:49:28,91.81,127.61,164.80,18.81,21.03,25.13,23.62,9.75,1007.45,106.32,144.18,177.27,20.23,24.58,29.47,24.61,48.67,1014.87,52.89,N; Tset = 20.20; Ttrue = 0020.1; T1 = 23.03; RH1 = 58.39; T2 = 24.58; RH2 = 52.77
2017.11.08_18:50:32,91.44,132.23,166.94,18.27,22.00,26.85,23.63,9.76,1007.45,105.76,145.72,177.04,20.37,24.63,29.14,24.62,49.33,1014.87,53.94,N; Tset = 20.60; Ttrue = 0020.6; T1 = 23.02; RH1 = 59.65; T2 = 24.59; RH2 = 53.77
2017.11.08_18:51:36,94.79,129.70,166.14,17.95,20.16,24.84,23.64,9.78,1007.43,110.32,146.83,181.90,20.00,25.16,29.39,24.63,50.08,1014.86,55.05,N; Tset = 21.00; Ttrue = 0020.9; T1 = 23.02; RH1 = 60.97; T2 = 24.60; RH2 = 54.83
2017.11.08_18:52:40,94.03,125.85,168.06,17.81,20.76,25.97,23.66,9.79,1007.42,112.88,145.65,182.59,20.25,24.77,29.07,24.63,50.82,1014.84,56.14,N; Tset = 21.40; Ttrue = 0021.3; T1 = 23.03; RH1 = 62.18; T2 = 24.61; RH2 = 55.88
2017.11.08_18:53:44,88.59,128.07,166.38,17.48,20.38,25.20,23.68,9.79,1007.44,109.51,149.09,183.50,20.46,23.92,28.55,24.65,51.57,1014.86,57.16,N; Tset = 21.80; Ttrue = 0021.7; T1 = 23.03; RH1 = 63.37; T2 = 24.63; RH2 = 56.88
2017.11.08_18:54:48,90.61,130.04,170.32,20.18,22.53,26.33,23.70,9.79,1007.44,115.29,146.50,183.52,21.37,25.21,29.95,24.67,52.34,1014.87,58.16,N; Tset = 22.20; Ttrue = 0022.1; T1 = 23.04; RH1 = 64.52; T2 = 24.64; RH2 = 57.89
