2017.11.06_14:36:42,565.78,772.17,948.68,81.49,90.38,107.78,22.56,13.76,966.90,956.71,1181.83,1369.07,106.43,117.99,139.55,23.78,69.57,973.89,77.54,N; Tset = 15.00; Ttrue = 0015.5; T1 = 22.24; RH1 = 78.94; T2 = 23.66; RH2 = 78.71
2017.11.06_14:37:42,585.19,796.35,989.97,85.69,92.96,109.89,23.33,14.30,1000.25,673.33,872.33,1031.91,84.49,97.01,113.26,24.58,56.88,1007.52,55.08,N; Tset = 15.00; Ttrue = 0015.9; T1 = 22.94; RH1 = 58.49; T2 = 24.45; RH2 = 57.60
2017.11.06_14:38:42,574.63,792.23,983.30,84.95,94.17,112.18,23.32,14.34,1000.25,680.51,878.88,1036.82,82.67,96.08,111.82,24.56,51.99,1007.52,50.39,N; Tset = 15.00; Ttrue = 0016.1; T1 = 22.92; RH1 = 55.06; T2 = 24.44; RH2 = 51.22
2017.11.06_14:39:42,578.78,793.15,983.53,86.06,94.48,110.01,23.31,14.37,1000.23,679.47,877.07,1035.55,82.65,94.33,111.69,24.55,49.91,1007.50,48.94,N; Tset = 15.00; Ttrue = 0016.3; T1 = 22.91; RH1 = 53.52; T2 = 24.44; RH2 = 49.69
2017.11.06_14:40:44,579.10,793.30,982.67,85.94,95.18,110.15,23.31,14.41,1000.19,687.90,878.05,1035.74,83.71,96.98,113.33,24.55,48.68,1007.48,48.37,N; Tset = 15.20; Ttrue = 0015.7; T1 = 22.90; RH1 = 52.89; T2 = 24.44; RH2 = 49.12
2017.11.06_14:41:50,580.22,792.89,979.13,85.42,94.08,111.34,23.31,14.44,1000.19,676.16,862.11,1023.97,86.91,96.96,112.70,24.55,47.14,1007.47,47.01,N; Tset = 15.80; Ttrue = 0015.2; T1 = 22.89; RH1 = 51.22; T2 = 24.45; RH2 = 47.92
2017.11.06_14:42:56,576.97,795.03,981.19,84.79,93.82,108.82,23.32,14.44,1000.17,671.13,864.32,1024.17,83.39,94.88,110.92,24.55,45.42,1007.45,45.45,N; Tset = 16.40; Ttrue = 0016.2; T1 = 22.88; RH1 = 49.75; T2 = 24.46; RH2 = 46.16
2017.11.06_14:44:00,573.94,800.96,985.34,85.55,94.29,110.05,23.33,14.41,1000.15,674.95,870.95,1034.33,82.47,95.69,111.54,24.55,45.22,1007.44,46.23,N; Tset = 16.80; Ttrue = 0016.8; T1 = 22.86; RH1 = 51.11; T2 = 24.47; RH2 = 46.49
2017.11.06_14:45:06,573.72,794.05,986.72,86.48,94.26,109.70,23.33,14.41,1000.11,684.31,881.26,1039.55,85.42,96.42,114.02,24.55,45.71,1007.44,47.63,N; Tset = 17.40; Ttrue = 0017.1; T1 = 22.85; RH1 = 52.71; T2 = 24.49; RH2 = 47.82
2017.11.06_14:46:10,578.52,795.95,982.45,84.38,97.36,110.88,23.35,14.41,1000.08,680.65,881.89,1037.40,84.01,95.12,116.03,24.57,45.89,1007.41,48.31,N; Tset = 17.80; Ttrue = 0017.7; T1 = 22.85; RH1 = 53.55; T2 = 24.52; RH2 = 48.43
2017.11.06_14:47:16,578.87,789.08,978.86,86.56,93.67,109.14,23.36,14.43,1000.05,688.33,890.25,1050.29,86.47,98.30,112.13,24.59,46.42,1007.40,49.45,N; Tset = 18.40; Ttrue = 0018.2; T1 = 22.85; RH1 = 55.02; T2 = 24.56; RH2 = 49.42
2017.11.06_14:48:20,570.76,793.19,981.15,83.59,92.39,111.20,23.38,14.42,1000.03,689.25,889.95,1059.62,84.00,98.07,113.13,24.60,47.06,1007.40,50.58,N; Tset = 18.80; Ttrue = 0018.7; T1 = 22.85; RH1 = 56.35; T2 = 24.58; RH2 = 50.48
