Sample File	E:\Data\2020winter\SMPS\pku2020winter\smps20201225.1.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3772
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
10	12/25/20	16:40:00		412.436	0	0	0	0	0	0	508.474	1442.18	3624.37	8958.67	9289.91	10672.4	13091.8	15436.9	16708.9	17296.8	19959.8	22414.6	20669.1	21521.7	25779	24023.3	25567.7	25626.3	26269.8	28636.4	29829.1	31248.5	33142.4	30639.6	33391.2	31496.8	31806.8	28404.9	28314	28010.8	26040.4	26432.7	25194.5	26060.1	25987.4	25055	26164.6	25697.1	25577.4	23630.6	25387.8	25220.4	24381.8	25170.7	24389.3	24121.6	23599.4	24761.4	24974.6	24437.8	25136.1	26676.7	25260.5	25705.8	25290.7	25831.1	25956.2	25207.8	24584.2	23246.2	23872.9	23475.6	20555.6	20183	19929.3	18717.1	17173.5	16482.2	15467.7	13643.8	12676.6	12252.6	10679.3	9020.12	8082.11	7394.86	6669.01	5825.29	4993.33	4529.34	4094.62	3679.44	3362.54	2571.29	2060.59	2341.83	1908.25	1930.38	1565.68	1309.96	992.162	1082.81	940.088	791.973	784.837	548.288	628.484	514.931	555.052	305.473	364.537	279.511	151.304	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	58.3916	79.9357	61.1647	35.8664	2.06064	26621.3	
11	12/25/20	16:45:00		0	0	0	0	0	0	0	0	971.904	2031.73	3072.88	5152.46	7690.72	10174.5	13446.4	11592.5	12262.2	14999.3	16328.8	17777.2	18301.6	21035.3	22331.9	21656.9	23473.1	23684.2	23533	23643.8	24977.2	25462.2	23550	24206.6	24505.3	24399.6	22280.2	25044.6	25556.6	25763.4	24111.1	24728.8	25682.6	25382	25209.2	24637.7	23982	24788.7	22481	22100.6	24046.9	23221.5	22211.1	22927	23089.2	24234.4	24014.7	24294	25235.6	25647.1	26979.2	25899.6	27332.5	27119.6	26042.6	26363.8	24723.3	25272.9	25388.6	23071.6	23033.7	22321.3	21711.3	20371	19443.2	17901.8	16400.9	16018.8	14763.4	13536.4	11748.2	10744.2	9797.99	8782.44	7897.91	7103.48	6500.11	5678.58	5117.61	4295.19	3898.62	3562.86	2577.18	2160.75	2199.77	1797.48	1592.93	1500.96	1743.17	1264.71	1246.42	900.203	800.128	827.864	880.88	512.376	558.456	640.89	467.067	328.084	370.021	229.656	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	65.3609	85.647	66.1485	101.815	2.04862	24568	
12	12/25/20	16:50:00		412.436	0	0	0	0	0	0	0	676.625	1932.91	2704.95	3911.96	6506.48	7415.97	9228.9	10429	8359.17	9858.74	11281.2	13871.3	14313	14503.5	15156.3	15036.9	16630.2	17798.8	19203.1	20952.4	21979.4	23529.7	24026.4	24768.3	23638.4	24655.5	26243	25673.5	24507.8	24826.5	24484.1	23564	23791.3	23108	24805.8	23925	22741.6	23221.3	23642.2	23116.4	22892.8	23048.5	21243.4	22162.3	22284.3	22926.1	23957.4	24136.3	24983.3	25681.3	26659.8	27966.2	27533.3	29341.3	28029.8	26527.2	26548.5	26556.9	26150.8	24510.7	24978.7	22882.1	22494.9	20476.4	19756.1	17528	17180.3	16645.8	15242.4	14041.7	12145	11709.2	10133.8	8773.42	7563.67	7267.97	6129	5849.61	5095.62	4423.94	3951.99	3575.14	3176.5	2476.96	2424.55	2002.11	1805.33	1799.83	1558.47	1402.81	1074.75	1147.33	889.452	751.931	747.206	845.861	528.359	407.911	448.845	309.857	204.975	310.173	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	70.5757	89.7154	70.2628	105.545	2.01669	23527	
13	12/25/20	16:55:00		0	0	296.157	0	0	0	0	304.216	135.325	483.227	2683.33	3480.94	5788.24	7129.09	8232.57	11527	10885.6	15197.8	16811	16965.1	19801.1	21288.1	21153.3	22579.7	22703.2	24331.5	24633.9	26218.3	26165.9	29677.4	29829.7	28892.5	28794.7	29834.1	29354.9	29856.4	30261	30720	31150.3	31002.8	31583.7	30921.2	30201	29122.8	28774.5	26620.1	26010.2	25706.7	24943.6	25341.3	24409.8	24267.1	24591.8	25708.3	27894.2	27501.8	28171.2	27751.5	28819.2	29446.3	29434.8	27429.9	26345.5	27020.3	27977.9	28372.9	26143	24878.5	24293.7	24350.2	22050.3	21125.9	19146.9	18937.5	17149.5	16669.9	14588.9	13177.5	12490.9	11789.1	10805.9	9140.63	8304.04	7155.86	6507.61	6102.03	5337.35	4377.47	3878.7	3844.95	3483.3	2838.93	2182.81	2042.63	2068.67	1685.34	1579.12	1459.53	1214.54	1201.61	967.284	851.361	603.506	600.468	491.869	478.412	432.413	308.924	409.703	295.042	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	63.8666	84.9888	66.39	49.5807	2.00504	26718.4	
14	12/25/20	17:00:00		0	0	0	0	0	0	0	0	701.254	1427.86	2769.76	5257.57	8614.11	10933.6	15766.4	18618.1	24141.5	26065.9	29904.1	27621.5	30023.1	31623.2	32841.7	29410.1	29413.1	29933.1	29949.9	32416	32477.7	32903.5	36126.3	35662.4	35867.9	38105.4	36133.3	36932	37019	35903.9	36760.1	37203.9	36002.5	38228.2	35792.1	35959.2	35275.6	33776.7	33476.8	30749.9	31823.3	31585.8	30127.7	29601.6	29126.3	30425.4	27984.6	28881.2	30428.4	30891.3	31227.6	29902.2	30221.4	30512	28385.2	30107.6	28788.7	27761.9	27324.4	25307.1	25965.9	25085	22581.9	21914.7	19801.2	19714.8	17973.2	16950.3	15167.8	14983.1	13253.8	12189	11167.8	9703.26	8450.04	8711.29	7946.26	6432.52	5495.08	4693.54	4394.35	4012.64	3337.68	3101.26	2026.68	2316.78	1950.79	2197.23	1530.5	1447.16	1148.2	1059.3	1002.47	674.167	846.46	647.366	756.081	325.08	484.783	492.125	298.145	408.52	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	57.7566	79.4754	61.4247	51.397	2.02131	31888.1	
15	12/25/20	17:05:00		412.436	348.011	592.314	0	0	0	0	52.1495	359.58	1087.26	1601.35	3579.4	5965.86	7952.75	9389.47	11408.8	13825.5	13413.4	17251	17952.1	17630.9	21502.8	21700.4	22589	22430.3	25014.9	24887.5	26304.5	25906.9	27566.6	27726.6	26706.5	26801.7	27326.9	27451.3	29798.1	28022.7	28957.9	29045.2	27859.1	29807	29071.1	27978	27449.5	26969.4	27327.1	26979	26815.9	26515.6	26949.6	26582.5	25734.1	26219.5	27201.2	26499.4	27774	28155.1	29814.3	29507.5	31108	30021.7	30524.8	29496.4	28960.7	28300.5	27924.2	26276.7	25911.1	25375.9	24210	23905.6	22904.1	20843.6	21032.8	18539.7	17832.5	16251	14963.2	14228.4	13301.6	11424.8	9848.13	8881.17	7851.19	7801.57	6281.39	5572.01	4947.78	4306.84	4148.38	3585.22	3518.78	2834.01	2021.24	2177.75	2302.42	2040.88	1449.82	1071.01	1137.84	1115.61	875.799	638.645	647.366	654.788	605.452	449.098	328.325	388.409	286.395	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	67.1578	87.4499	68.0582	98.2172	2.02525	27107.4	
16	12/25/20	17:10:00		0	0	592.314	0	0	0	0	152.108	405.975	1328.87	2531.89	5110.87	5833.54	8966.28	10814.8	15205.3	11980.4	14708.2	15902.2	18519.4	18993.8	19718.3	20182.1	22193.8	23109.8	23257.8	24229.9	25028.2	24709.8	23843.5	25985.6	28545.7	30336.7	31005	28878.4	27215.3	30001.2	29587.2	27431.9	27937.7	27637.5	27007.5	27227.7	26689.4	26643.4	26111.4	24671.9	26570.9	25641.4	26414.1	24871.2	24654.6	25085.1	26742.5	26882.6	28575.3	29054.1	30010.4	30388.5	32517.2	30973.5	32466.7	32151.4	31631.7	30611.9	28720.6	27885.7	28168.6	26148.7	24952.6	23916.6	21758.6	22233.1	20310.6	18915.3	17571.7	16492.1	14754.9	14859.4	12763.8	12342.5	11389.5	10046.7	8998.11	8009.29	6855.11	6663.59	5178.47	5039.25	4466.74	3772.47	3215.44	3187.41	2565.05	2212.08	2171.07	2023.86	1559.48	1561.6	1419.12	1208.28	957.658	746.796	821.274	606.654	416.432	416.506	507.072	313.872	309.09	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	68.6827	88.8291	68.8575	98.2172	2.04123	27404.8	
17	12/25/20	17:15:00		412.436	0	296.157	0	0	0	0	304.216	405.975	845.647	973.782	3165.89	3775.21	5410.02	6186.2	7287.5	8408.91	10041.6	9047.72	11161.4	12372.2	14871.5	15693.3	16357.3	16648.2	18233.8	17691.7	18323.9	19068.6	20601.9	22143.2	20893.6	23954.4	23585.7	25076.8	25345.7	26064.4	24941.1	26728.1	27197.1	26694.4	26224.4	25773.2	26946.7	25491	25696.4	25651.6	23777.1	23497	25095.5	24579.1	24930	24326.6	25717.4	25945	27218.3	28709.8	31203.2	32887.6	35621.6	34254.5	35275.7	34173.3	33661.3	33146.6	31640.2	31619.7	29799.2	26997.7	26402.3	26552.7	24752.9	22949.4	22215	20342.9	18966.6	17652.2	15663.9	15345.5	13603.8	12616.4	12102.7	10085	9465	8508.84	8446.73	6639.11	6044.4	5647.14	5040.9	4188.53	3901.69	3121.54	2981.28	2399.58	2201.88	2026.92	1745.05	1592.21	1603.11	1411.4	1163.97	1018.12	774.89	748.297	714.772	579.384	487.912	369.528	437.699	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	79.3098	96.4066	76.1814	98.2172	1.99799	25821.6	
18	12/25/20	17:20:00		1237.31	696.023	0	0	0	0	0	0	405.975	483.393	1406.43	2222.92	3767.22	5789.58	5731.92	7923.78	9095.5	8733.58	11932.9	11204.9	12677.7	13843.6	14218.5	15254.1	14767.9	15155.3	17521.6	16113.8	20262.1	20935.8	22706.2	23880.2	24867.1	24857.7	25741.9	27818	27147	27222.7	29395.8	27868.4	28109.5	25515.2	27912.2	25966.4	25087.4	25964.2	26304.5	24736.3	25155.1	25726.4	24257.2	25086.4	24915.9	25181.5	25850.3	27665.1	28899.6	29243.6	32410.9	35311.5	35146	34292.2	32682.2	32413.3	32728.4	30714.5	29169.4	28420	27233.1	26622.3	26828.8	23693.3	23554.8	21754.6	20720.7	20139.2	18517.2	17944	15175.1	14740.6	13402.8	12079.4	10869	9954.26	9376.44	7891.54	7059.89	5986.44	5375.66	4992.19	4300.51	4070.2	3483.94	3028.82	2760.54	2412.17	2057.29	2162.57	1427.56	1412.13	1464.07	1303.66	911.139	1041.87	841.806	717.405	467.194	547.288	446.725	245.869	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	78.4005	96.6047	76.1742	98.2172	2.00249	26043.2	
19	12/25/20	17:25:00		0	0	296.157	0	0	0	0	0	135.325	241.78	1622.82	1492.12	3597.59	3799.32	5551.24	8338.62	9648.38	12354.8	12057.8	13247.9	15012.9	15592.5	14074.7	14940.2	16012.9	15873.4	17961.9	18438.5	20538.6	21567.6	19938.6	19917.4	23270.7	22243.5	25055.1	25643.1	26984.7	27995.8	28605.1	27397.1	30043	28932.2	26013.7	27623.6	27078.6	25872.3	28339.7	27718.4	27598.4	27147.4	26651.6	26185	27073.2	27097.5	28578.6	30584.1	30791.8	33402.5	34785.5	34645.6	35978.3	35960.2	35141.2	34586.4	31383.6	30780	30832.1	29355.6	28169.6	27281.1	26219.3	25360.8	24718.6	22610.1	21591	20422.4	19351.4	16911.3	16670.1	14033.1	13882.4	12496	11325.8	10450.5	8900.34	8164.38	7126.94	6225.46	5357.94	4864.44	4527.02	3700.19	3484.41	3355.39	2616.81	2751.52	2374.45	2296.1	1580.41	1776.99	1433.04	1344.95	1073.34	846.074	876.511	576.027	774.602	508.246	332.506	509.568	280	15	FALSE	1	None	4	0.4	1	1	10.1795	9780.1	11.5478	604.296	1.2		Normal Scan	1.26	5.64061	1000	79.1706	96.9072	76.6491	101.815	1.99252	26851.6	
